feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,nnClassifier,relu,NA,10,NA,nan,invscaling,nan,NA,nan,nan,3,nan,adam,NA,0.0890909090909091,33.10814428329468
1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,19,NA,nan,NA,nan,nan,nan,5,NA,distance,0.9690909090909091,37.966100215911865
0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,kneighborsClassifier,NA,brute,nan,NA,12,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9727272727272728,43.360485315322876
0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,23,auto,7,26,nan,nan,NA,NA,0.9127272727272727,51.25817584991455
1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,kneighborsClassifier,NA,brute,nan,NA,22,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9690909090909091,57.65312957763672
0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,nnClassifier,identity,NA,13,NA,nan,adaptive,nan,NA,nan,nan,6,nan,lbfgs,NA,0.08,64.38974642753601
1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,kneighborsClassifier,NA,auto,nan,NA,11,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.98,71.46682238578796
0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,15,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9818181818181818,77.42015790939331
1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,36,NA,nan,NA,nan,nan,nan,5,NA,distance,0.98,82.44665718078613
0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,19,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.9945454545454545,88.38970160484314
0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,49,log2,1,3,nan,nan,NA,NA,0.9672727272727273,94.95515131950378
1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,nnClassifier,relu,NA,24,NA,nan,constant,nan,NA,nan,nan,7,nan,adam,NA,0.0890909090909091,110.87758421897888
0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,32,log2,16,3,nan,nan,NA,NA,0.9327272727272727,117.30691599845886
0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,kneighborsClassifier,NA,auto,nan,NA,30,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.9854545454545455,122.58823227882385
0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,27,log2,3,38,nan,nan,NA,NA,0.9509090909090909,129.65459442138672
1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,25,sqrt,3,34,nan,nan,NA,NA,0.9436363636363636,137.2057490348816
0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,85,log2,2,17,nan,nan,NA,NA,0.9381818181818182,144.49204397201538
