,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,randomForestClassifier,None,None,None,gini,None,None,58,log2,12,10,None,None,None,None,0.9040723981900453,ok,0.5791891659609973
1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,46,sqrt,4,35,None,None,None,None,0.92579185520362,ok,1.1776629048399627
2,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,nnClassifier,relu,None,10.0,None,None,invscaling,None,None,None,None,1.0,None,sgd,None,0.5113122171945701,ok,44.78467808291316
3,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,nnClassifier,identity,None,19.0,None,None,invscaling,None,None,None,None,5.0,None,sgd,None,0.502262443438914,ok,47.34239861695096
4,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,kneighborsClassifier,None,kd_tree,None,None,21.0,None,None,None,None,None,None,3.0,None,distance,0.9393665158371041,ok,47.59935557981953
5,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,kneighborsClassifier,None,auto,None,None,24.0,None,None,None,None,None,None,8.0,None,distance,0.8805429864253393,ok,47.82058023381978
6,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,nnClassifier,relu,None,21.0,None,None,invscaling,None,None,None,None,7.0,None,sgd,None,0.4850678733031674,ok,72.17249274882488
7,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,nnClassifier,relu,None,28.0,None,None,constant,None,None,None,None,4.0,None,lbfgs,None,0.5158371040723982,ok,76.57866845582612
8,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,kneighborsClassifier,None,kd_tree,None,None,18.0,None,None,None,None,None,None,1.0,None,distance,0.918552036199095,ok,76.77320257294923
9,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,kneighborsClassifier,None,ball_tree,None,None,20.0,None,None,None,None,None,None,8.0,None,distance,0.6271493212669683,ok,76.96826642984524
