,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,kneighborsClassifier,None,auto,None,None,24,None,None,None,None,None,None,7,None,distance,0.9420814479638009,ok,0.26290807500481606
1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,nnClassifier,relu,None,22.0,None,None,constant,None,None,None,None,4.0,None,sgd,None,0.5076923076923077,ok,19.745980489999056
2,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,nnClassifier,identity,None,27.0,None,None,adaptive,None,None,None,None,1.0,None,lbfgs,None,0.5067873303167421,ok,20.335632006870583
3,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,nnClassifier,identity,None,13.0,None,None,invscaling,None,None,None,None,4.0,None,adam,None,0.5095022624434389,ok,32.385553791886196
4,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,randomForestClassifier,None,None,None,gini,None,None,82.0,sqrt,20.0,34.0,None,None,None,None,0.8380090497737557,ok,32.91885994002223
5,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,nnClassifier,relu,None,28.0,None,None,constant,None,None,None,None,1.0,None,sgd,None,0.5076923076923077,ok,50.97074315394275
6,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,kneighborsClassifier,None,kd_tree,None,None,29,None,None,None,None,None,None,8,None,distance,0.9393665158371041,ok,51.20870466600172
7,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,kneighborsClassifier,None,brute,None,None,38,None,None,None,None,None,None,10,None,distance,0.9312217194570136,ok,51.42486652988009
8,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,kneighborsClassifier,None,brute,None,None,17,None,None,None,None,None,None,2,None,distance,0.9085972850678733,ok,51.544979171827435
9,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,17.0,auto,5.0,10.0,None,None,None,None,0.9113122171945701,ok,52.12793477694504
10,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,27.0,auto,2.0,27.0,None,None,None,None,0.9194570135746606,ok,52.73652711883187
11,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,kneighborsClassifier,None,ball_tree,None,None,21,None,None,None,None,None,None,3,None,uniform,0.8072398190045249,ok,52.99663705704734
12,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,kneighborsClassifier,None,kd_tree,None,None,25,None,None,None,None,None,None,7,None,distance,0.9167420814479638,ok,53.17444639885798
13,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,randomForestClassifier,None,None,None,gini,None,None,45.0,log2,19.0,20.0,None,None,None,None,0.8796380090497737,ok,53.66570296604186
14,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,kneighborsClassifier,None,brute,None,None,31,None,None,None,None,None,None,9,None,distance,0.8923076923076924,ok,53.880082234041765
15,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,kneighborsClassifier,None,auto,None,None,9,None,None,None,None,None,None,6,None,distance,0.9095022624434389,ok,54.152012646896765
16,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,nnClassifier,logistic,None,14.0,None,None,invscaling,None,None,None,None,3.0,None,adam,None,0.5113122171945701,ok,93.2440044740215
17,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,randomForestClassifier,None,None,None,gini,None,None,25.0,sqrt,11.0,7.0,None,None,None,None,0.7438914027149321,ok,93.75131075899117
18,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,46.0,auto,9.0,24.0,None,None,None,None,0.9294117647058824,ok,94.28610661788844
19,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,80.0,sqrt,15.0,34.0,None,None,None,None,0.8950226244343892,ok,94.8690369699616
20,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,kneighborsClassifier,None,auto,None,None,31,None,None,None,None,None,None,8,None,uniform,0.92579185520362,ok,95.13670722697861
21,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,kneighborsClassifier,None,kd_tree,None,None,30,None,None,None,None,None,None,5,None,distance,0.9484162895927601,ok,95.38781703892164
