,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,nnClassifier,logistic,None,23,None,None,constant,None,None,None,None,9,None,sgd,None,0.5085972850678733,ok,22.150716027943417
1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,kneighborsClassifier,None,kd_tree,None,None,4.0,None,None,None,None,None,None,2.0,None,uniform,0.8018099547511313,ok,22.411010790849105
2,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,26.0,sqrt,9.0,28.0,None,None,None,None,0.9429864253393665,ok,22.983086365973577
3,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,randomForestClassifier,None,None,None,gini,None,None,66.0,sqrt,5.0,31.0,None,None,None,None,0.7149321266968326,ok,23.527685043867677
4,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,74.0,auto,15.0,40.0,None,None,None,None,0.9285067873303168,ok,24.083970893872902
5,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,kneighborsClassifier,None,brute,None,None,37.0,None,None,None,None,None,None,4.0,None,uniform,0.9049773755656109,ok,24.401064418023452
6,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,88.0,log2,9.0,7.0,None,None,None,None,0.9167420814479638,ok,24.970663769869134
7,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,63.0,auto,18.0,20.0,None,None,None,None,0.8986425339366516,ok,25.50937583693303
8,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,39.0,log2,3.0,28.0,None,None,None,None,0.9058823529411765,ok,26.07233989285305
9,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,nnClassifier,identity,None,24,None,None,adaptive,None,None,None,None,7,None,adam,None,0.5176470588235295,ok,32.32476103887893
