,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,nnClassifier,logistic,None,21,None,None,constant,None,None,None,None,2,None,lbfgs,None,0.5085972850678733,ok,5.428203391842544
1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,kneighborsClassifier,None,brute,None,None,20.0,None,None,None,None,None,None,3.0,None,distance,0.9113122171945701,ok,5.569331286940724
2,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,74.0,sqrt,14.0,28.0,None,None,None,None,0.7348416289592761,ok,6.055842028930783
3,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,kneighborsClassifier,None,brute,None,None,13.0,None,None,None,None,None,None,4.0,None,uniform,0.902262443438914,ok,6.285444184904918
4,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,kneighborsClassifier,None,kd_tree,None,None,13.0,None,None,None,None,None,None,3.0,None,uniform,0.9131221719457013,ok,6.5977971609681845
5,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,kneighborsClassifier,None,brute,None,None,30.0,None,None,None,None,None,None,3.0,None,uniform,0.897737556561086,ok,6.834885808872059
6,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,kneighborsClassifier,None,ball_tree,None,None,30.0,None,None,None,None,None,None,2.0,None,uniform,0.9266968325791856,ok,7.113325052894652
7,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,kneighborsClassifier,None,ball_tree,None,None,6.0,None,None,None,None,None,None,3.0,None,distance,0.7475113122171946,ok,7.2809386369772255
8,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,38.0,log2,14.0,28.0,None,None,None,None,0.9239819004524887,ok,7.887825296958908
9,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,48.0,auto,9.0,39.0,None,None,None,None,0.9221719457013575,ok,8.44203078490682
10,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,87.0,auto,13.0,40.0,None,None,None,None,0.9248868778280543,ok,8.971375203924254
11,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,50.0,log2,2.0,34.0,None,None,None,None,0.9131221719457013,ok,9.563379858853295
12,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,12.0,None,None,None,None,None,None,8.0,None,uniform,0.7076923076923077,ok,9.780452702892944
13,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,40.0,sqrt,18.0,18.0,None,None,None,None,0.9031674208144796,ok,10.340318743837997
14,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,nnClassifier,relu,None,31,None,None,constant,None,None,None,None,7,None,lbfgs,None,0.5294117647058824,ok,14.906428634887561
15,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,kneighborsClassifier,None,brute,None,None,23.0,None,None,None,None,None,None,7.0,None,uniform,0.9031674208144796,ok,15.213256035931408
