,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
55,0,1,1,1,0,1,1,1,0,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,25.0,auto,18.0,11.0,None,None,None,None,0.8998778998778999,ok,211.69205265305936
56,0,0,1,1,0,1,0,1,1,1,1,1,kneighborsClassifier,None,ball_tree,None,None,12,None,None,None,None,None,None,8,None,distance,0.8021978021978022,ok,211.76455137017183
57,0,1,1,0,1,0,0,0,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,43.0,log2,15.0,32.0,None,None,None,None,0.8852258852258852,ok,212.76800574315712
58,0,1,1,1,0,1,0,1,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,53.0,log2,12.0,38.0,None,None,None,None,0.9304029304029304,ok,214.30025580106303
59,1,0,0,1,0,1,0,1,0,0,0,1,nnClassifier,relu,None,27.0,None,None,constant,None,None,None,None,8.0,None,adam,None,0.6178266178266179,ok,230.3943731780164
60,0,1,1,1,1,1,1,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,68.0,auto,7.0,24.0,None,None,None,None,0.9304029304029304,ok,232.01282894518226
61,0,1,1,0,0,1,0,1,1,1,1,0,kneighborsClassifier,None,brute,None,None,34,None,None,None,None,None,None,5,None,uniform,0.7557997557997558,ok,232.1710256470833
62,0,1,1,1,0,0,0,0,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,31.0,log2,10.0,21.0,None,None,None,None,0.894993894993895,ok,233.23868656507693
63,1,1,0,1,1,1,0,1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,99.0,sqrt,10.0,6.0,None,None,None,None,0.9108669108669109,ok,234.4138205649797
64,0,0,1,1,0,1,0,1,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,14.0,auto,6.0,16.0,None,None,None,None,0.9304029304029304,ok,235.7640146079939
65,0,1,1,1,0,1,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,9.0,log2,14.0,12.0,None,None,None,None,0.9413919413919414,ok,237.30165579007007
66,0,1,1,1,0,1,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,7.0,log2,13.0,13.0,None,None,None,None,0.9340659340659341,ok,238.6930074840784
67,0,1,1,1,0,1,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,2.0,log2,15.0,9.0,None,None,None,None,0.9010989010989011,ok,239.36095402110368
