,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,0,0,1,0,0,1,0,0,0,1,0,nnClassifier,identity,None,11,None,None,constant,None,None,None,None,8,None,lbfgs,None,0.5860805860805861,ok,0.15015559294261038
1,1,1,0,0,1,0,1,0,1,0,1,0,nnClassifier,identity,None,12,None,None,adaptive,None,None,None,None,7,None,lbfgs,None,0.5824175824175825,ok,0.27998830704018474
2,1,1,1,0,1,0,1,0,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,13.0,sqrt,5.0,21.0,None,None,None,None,0.927960927960928,ok,1.3483112829271704
3,0,0,1,1,1,1,0,0,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,7.0,sqrt,14.0,26.0,None,None,None,None,0.927960927960928,ok,2.3325777191203088
4,0,1,0,1,0,0,1,1,1,1,1,0,kneighborsClassifier,None,kd_tree,None,None,23.0,None,None,None,None,None,None,2.0,None,uniform,0.7081807081807082,ok,2.3871638129930943
5,1,0,0,0,1,1,0,1,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,40.0,sqrt,14.0,20.0,None,None,None,None,0.9194139194139194,ok,3.4592960190493613
6,0,0,1,1,0,0,1,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,48.0,sqrt,9.0,39.0,None,None,None,None,0.905982905982906,ok,4.453155876137316
7,0,1,0,1,0,0,1,0,1,0,0,1,randomForestClassifier,None,None,None,gini,None,None,75.0,auto,19.0,12.0,None,None,None,None,0.9047619047619048,ok,5.33914813096635
8,1,1,1,0,0,1,0,0,1,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,23.0,sqrt,16.0,3.0,None,None,None,None,0.9377289377289377,ok,6.470459833042696
9,1,1,1,0,0,1,0,1,1,0,1,1,kneighborsClassifier,None,auto,None,None,14.0,None,None,None,None,None,None,5.0,None,uniform,0.7667887667887668,ok,6.527683410095051
10,1,1,0,1,0,1,0,0,0,1,0,1,kneighborsClassifier,None,auto,None,None,9.0,None,None,None,None,None,None,2.0,None,distance,0.7631257631257631,ok,6.563029413111508
11,0,0,0,1,0,1,1,1,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,17.0,auto,4.0,15.0,None,None,None,None,0.9133089133089133,ok,7.752363173989579
12,0,1,0,0,1,1,0,0,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,87.0,log2,19.0,2.0,None,None,None,None,0.9169719169719169,ok,8.652282065013424
13,1,0,0,1,0,0,1,1,0,0,1,1,kneighborsClassifier,None,kd_tree,None,None,17.0,None,None,None,None,None,None,5.0,None,distance,0.7472527472527473,ok,8.688123163068667
14,0,1,1,0,1,1,0,1,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,33.0,auto,7.0,12.0,None,None,None,None,0.9267399267399268,ok,9.903357635019347
15,0,0,1,1,1,1,0,1,1,0,1,0,nnClassifier,logistic,None,26,None,None,invscaling,None,None,None,None,3,None,lbfgs,None,0.5738705738705738,ok,13.810132685117424
16,1,0,0,0,0,0,0,1,1,0,1,1,nnClassifier,identity,None,13,None,None,invscaling,None,None,None,None,4,None,adam,None,0.5787545787545788,ok,16.86228528409265
