,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,1,1,0,0,1,0,0,1,0,0,0,nnClassifier,logistic,None,8,None,None,constant,None,None,None,None,7,None,adam,None,0.6007326007326007,ok,37.69421465112828
1,1,0,0,1,0,1,1,0,1,0,0,1,nnClassifier,tanh,None,17,None,None,invscaling,None,None,None,None,2,None,lbfgs,None,0.5677655677655677,ok,42.31933876010589
2,0,1,0,1,0,1,1,0,0,1,1,0,nnClassifier,logistic,None,19,None,None,adaptive,None,None,None,None,6,None,lbfgs,None,0.5836385836385837,ok,46.31980389705859
3,1,0,0,0,1,0,0,0,0,0,1,1,kneighborsClassifier,None,auto,None,None,35.0,None,None,None,None,None,None,8.0,None,uniform,0.7362637362637363,ok,46.37294983421452
4,0,1,0,1,1,1,0,0,1,1,0,1,kneighborsClassifier,None,ball_tree,None,None,2.0,None,None,None,None,None,None,8.0,None,uniform,0.7313797313797313,ok,46.43640950904228
5,1,0,0,0,0,1,1,0,0,1,1,1,kneighborsClassifier,None,brute,None,None,16.0,None,None,None,None,None,None,3.0,None,uniform,0.717948717948718,ok,46.54025092115626
6,1,0,0,0,1,1,1,0,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,14.0,auto,9.0,31.0,None,None,None,None,0.8986568986568987,ok,47.44678538502194
7,1,1,1,0,1,1,0,1,0,0,1,0,kneighborsClassifier,None,auto,None,None,21.0,None,None,None,None,None,None,6.0,None,distance,0.7631257631257631,ok,47.484575492097065
8,1,0,0,0,1,1,0,0,0,1,1,1,nnClassifier,identity,None,26,None,None,constant,None,None,None,None,1,None,adam,None,0.5836385836385837,ok,50.06037594308145
9,0,1,0,1,0,0,0,1,0,1,0,0,kneighborsClassifier,None,brute,None,None,22.0,None,None,None,None,None,None,9.0,None,uniform,0.717948717948718,ok,50.21472875215113
10,1,0,0,1,0,1,0,1,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,17.0,None,None,None,None,None,None,2.0,None,distance,0.7423687423687424,ok,50.25694098719396
11,1,1,1,1,0,0,0,0,0,0,0,0,randomForestClassifier,None,None,None,gini,None,None,2.0,sqrt,15.0,23.0,None,None,None,None,0.800976800976801,ok,50.68699600221589
12,0,1,0,1,1,0,0,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,37.0,sqrt,11.0,4.0,None,None,None,None,0.8302808302808303,ok,51.65015341201797
13,1,0,1,1,0,0,1,0,1,0,1,1,kneighborsClassifier,None,kd_tree,None,None,23.0,None,None,None,None,None,None,1.0,None,uniform,0.7350427350427351,ok,51.70422170800157
14,0,0,1,0,1,1,1,1,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,25.0,sqrt,6.0,24.0,None,None,None,None,0.9035409035409036,ok,52.7005438990891
15,1,1,0,1,1,1,0,1,1,0,0,1,nnClassifier,identity,None,28,None,None,invscaling,None,None,None,None,6,None,adam,None,0.575091575091575,ok,57.491746539017186
16,0,1,1,0,0,1,1,0,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,17.0,None,None,None,None,None,None,3.0,None,uniform,0.724053724053724,ok,57.548943038098514
17,0,0,1,0,1,0,1,1,0,0,1,1,kneighborsClassifier,None,ball_tree,None,None,28.0,None,None,None,None,None,None,9.0,None,distance,0.7704517704517705,ok,57.593889761017635
18,0,0,0,1,0,0,1,1,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,3.0,sqrt,17.0,20.0,None,None,None,None,0.8803418803418803,ok,58.1596426141914
19,1,1,1,0,0,1,0,1,0,0,0,1,nnClassifier,logistic,None,16,None,None,invscaling,None,None,None,None,5,None,sgd,None,0.6971916971916972,ok,60.043327804189175
20,0,0,1,0,1,1,1,1,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,36.0,auto,2.0,36.0,None,None,None,None,0.9035409035409036,ok,61.21586840809323
