,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,0,0,0,1,0,0,1,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,57,auto,14,4,None,None,None,None,0.8485958485958486,ok,0.9973869260866195
1,1,0,0,1,1,0,0,0,0,0,1,1,kneighborsClassifier,None,kd_tree,None,None,17.0,None,None,None,None,None,None,3.0,None,uniform,0.7777777777777778,ok,1.0533196590840816
2,0,1,1,1,1,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,98,log2,6,29,None,None,None,None,0.8693528693528694,ok,2.4162387400865555
3,0,0,1,0,0,0,1,0,1,0,0,0,randomForestClassifier,None,None,None,gini,None,None,64,auto,17,3,None,None,None,None,0.8412698412698413,ok,3.0696747950278223
4,1,1,1,1,1,0,0,1,0,0,1,1,kneighborsClassifier,None,kd_tree,None,None,22.0,None,None,None,None,None,None,2.0,None,distance,0.7435897435897436,ok,3.1102324831299484
5,0,0,1,0,0,1,0,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,65,auto,9,33,None,None,None,None,0.8974358974358975,ok,4.152057206025347
6,0,0,0,0,1,1,0,0,0,1,1,1,nnClassifier,logistic,None,15.0,None,None,adaptive,None,None,None,None,2.0,None,sgd,None,0.5982905982905983,ok,26.59511770005338
7,1,1,1,0,0,1,1,1,0,1,0,0,nnClassifier,relu,None,20.0,None,None,constant,None,None,None,None,10.0,None,sgd,None,0.6068376068376068,ok,45.045720792142674
8,1,0,1,1,1,1,1,0,0,1,1,0,kneighborsClassifier,None,ball_tree,None,None,26.0,None,None,None,None,None,None,9.0,None,uniform,0.8351648351648352,ok,45.120327037991956
9,0,1,1,1,1,1,1,0,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,61,sqrt,2,40,None,None,None,None,0.9206349206349206,ok,46.53399211494252
10,0,1,1,1,0,1,1,0,0,0,1,0,nnClassifier,tanh,None,16.0,None,None,invscaling,None,None,None,None,5.0,None,lbfgs,None,0.5958485958485958,ok,51.71294697909616
11,0,1,0,0,1,1,0,0,0,0,0,1,kneighborsClassifier,None,brute,None,None,35.0,None,None,None,None,None,None,3.0,None,uniform,0.7545787545787546,ok,51.82306735613383
12,1,0,0,0,0,1,1,1,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,65,log2,15,25,None,None,None,None,0.9108669108669109,ok,53.00590570503846
13,0,0,0,1,0,0,0,0,0,0,1,0,nnClassifier,identity,None,12.0,None,None,invscaling,None,None,None,None,2.0,None,sgd,None,0.6117216117216118,ok,55.722023132955655
14,1,0,0,0,0,0,1,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,68,log2,8,37,None,None,None,None,0.8717948717948718,ok,56.69050814793445
15,0,0,0,1,1,0,0,1,1,0,0,0,nnClassifier,tanh,None,30.0,None,None,invscaling,None,None,None,None,2.0,None,lbfgs,None,0.6166056166056166,ok,61.637304118135944
16,1,1,0,0,1,1,1,0,0,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,84,sqrt,18,10,None,None,None,None,0.9072039072039072,ok,62.519463014090434
17,0,0,0,0,1,1,1,0,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,42,auto,16,34,None,None,None,None,0.9035409035409036,ok,63.60673669609241
18,1,1,1,0,1,1,1,1,0,0,1,0,kneighborsClassifier,None,kd_tree,None,None,22.0,None,None,None,None,None,None,1.0,None,uniform,0.7582417582417582,ok,63.66752765793353
19,0,1,0,0,0,0,0,1,0,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,24,sqrt,11,9,None,None,None,None,0.800976800976801,ok,64.59751572692767
20,1,1,1,1,0,1,1,1,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,36,sqrt,3,21,None,None,None,None,0.9145299145299145,ok,66.27210382511839
21,1,1,1,1,0,1,1,0,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,4,sqrt,2,17,None,None,None,None,0.905982905982906,ok,67.03079343214631
22,1,1,1,1,0,1,1,1,1,0,0,1,randomForestClassifier,None,None,None,gini,None,None,37,sqrt,2,19,None,None,None,None,0.9133089133089133,ok,68.43208056804724
23,1,1,1,1,0,1,1,0,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,13,sqrt,4,24,None,None,None,None,0.9157509157509157,ok,69.66893384512514
24,1,1,1,1,0,1,1,0,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,10,sqrt,5,28,None,None,None,None,0.9181929181929182,ok,70.83082614303567
25,0,1,1,1,1,1,1,0,1,0,0,1,randomForestClassifier,None,None,None,gini,None,None,83,sqrt,5,40,None,None,None,None,0.9218559218559218,ok,71.85450865398161
26,0,1,1,1,1,1,1,0,1,0,0,1,randomForestClassifier,None,None,None,gini,None,None,83,sqrt,7,39,None,None,None,None,0.9157509157509157,ok,72.87180823413655
27,0,1,1,1,1,1,1,0,1,0,0,1,randomForestClassifier,None,None,None,gini,None,None,83,sqrt,4,39,None,None,None,None,0.9194139194139194,ok,73.89383986615576
28,0,1,1,1,1,1,1,0,1,0,0,1,randomForestClassifier,None,None,None,gini,None,None,95,sqrt,11,35,None,None,None,None,0.9145299145299145,ok,74.89485427807085
29,0,1,1,1,1,1,1,0,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,75,sqrt,20,31,None,None,None,None,0.9157509157509157,ok,76.1718238000758
30,0,1,1,1,1,1,1,0,1,1,0,1,kneighborsClassifier,None,auto,None,None,2.0,None,None,None,None,None,None,9.0,None,distance,0.7777777777777778,ok,76.24173773406073
31,0,1,1,1,1,1,1,0,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,50,log2,9,39,None,None,None,None,0.9194139194139194,ok,77.58294133492745
32,0,1,1,1,1,1,1,0,1,0,0,1,nnClassifier,identity,None,32.0,None,None,constant,None,None,None,None,10.0,None,adam,None,0.6153846153846154,ok,79.5245003500022
33,0,1,1,1,1,0,1,0,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,91,sqrt,13,14,None,None,None,None,0.8986568986568987,ok,80.8577306100633
