activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,13,gini,1,1,1,20,constant,19,auto,2,10,nnClassifier,10,5,adam,distance,0.9422028353326063,1331.2197489119135
relu,auto,15,gini,1,1,1,21,constant,63,auto,4,13,nnClassifier,5,1,adam,distance,0.9389312977099237,1331.2197801009752
relu,auto,15,gini,1,1,1,21,constant,65,auto,3,9,nnClassifier,6,7,adam,distance,0.9422028353326063,1331.2198114208877
relu,auto,12,gini,1,1,1,23,constant,39,auto,4,8,nnClassifier,7,2,adam,distance,0.9432933478735005,1331.219843209954
relu,auto,14,gini,1,1,1,22,constant,19,auto,3,12,nnClassifier,10,3,adam,distance,0.9345692475463467,1331.2198747689836
relu,auto,13,gini,1,1,1,20,constant,50,auto,4,16,nnClassifier,10,3,adam,distance,0.9422028353326063,1331.2199061489664
relu,auto,9,gini,1,1,1,22,constant,64,auto,3,11,nnClassifier,10,2,adam,distance,0.9400218102508179,1331.2199373280164
relu,auto,20,gini,1,1,1,22,constant,33,auto,2,11,nnClassifier,10,1,adam,distance,0.9432933478735005,1331.219968277961
relu,auto,16,gini,1,1,1,20,constant,86,auto,12,11,nnClassifier,10,1,adam,distance,0.9422028353326063,1331.219998946879
relu,auto,10,gini,1,1,1,21,constant,29,auto,7,26,nnClassifier,7,5,adam,distance,0.9400218102508179,1331.2200293459464
relu,auto,9,gini,1,1,1,22,constant,86,auto,6,10,nnClassifier,6,4,adam,distance,0.9378407851690295,1331.2200603859965
relu,auto,8,gini,1,1,1,22,constant,64,auto,5,19,nnClassifier,10,3,adam,distance,0.9400218102508179,1331.2200911149848
relu,auto,9,gini,1,1,1,19,constant,63,auto,9,14,nnClassifier,10,2,adam,distance,0.9422028353326063,1331.2201223948505
relu,auto,9,gini,1,1,1,28,constant,66,auto,6,28,nnClassifier,8,1,adam,distance,0.9443838604143948,1331.2201530640014
relu,auto,12,gini,1,1,1,26,constant,59,auto,5,10,nnClassifier,10,5,adam,distance,0.9345692475463467,2502.2019744298887
