activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,auto,15,gini,1,1,1,33,constant,32,auto,8,11,nnClassifier,5,3,adam,uniform,0.9378407851690295,102.60850083595142
tanh,auto,27,gini,1,1,0,21,constant,50,log2,4,35,randomForestClassifier,6,3,sgd,uniform,0,102.60855250502937
tanh,auto,12,gini,1,1,0,27,constant,33,log2,12,23,randomForestClassifier,7,3,sgd,uniform,0.9443838604143948,102.60858417488635
tanh,auto,27,gini,1,1,1,26,constant,89,sqrt,15,33,randomForestClassifier,6,7,sgd,distance,0.9247546346782988,102.60861574485898
relu,auto,11,gini,1,1,0,27,constant,82,sqrt,8,15,randomForestClassifier,8,7,adam,uniform,0.9443838604143948,102.60864706384018
relu,auto,12,gini,1,1,0,13,constant,89,log2,12,22,randomForestClassifier,8,8,adam,distance,0,102.60867859399877
tanh,auto,12,gini,1,1,0,26,constant,65,sqrt,12,19,nnClassifier,5,2,sgd,uniform,0.9432933478735005,102.60870883287862
tanh,auto,28,gini,1,1,1,26,constant,30,auto,8,20,randomForestClassifier,5,2,sgd,uniform,0.9432933478735005,102.60873986291699
tanh,auto,27,gini,1,1,0,26,constant,75,log2,11,23,nnClassifier,7,4,sgd,uniform,0.9432933478735005,102.60877106199041
tanh,auto,12,gini,1,1,1,34,constant,44,sqrt,8,16,randomForestClassifier,6,5,adam,uniform,0.8974918211559433,102.6088014820125
relu,auto,12,gini,1,1,1,34,constant,83,sqrt,11,23,randomForestClassifier,7,5,sgd,uniform,0.9029443838604144,102.60883210087195
relu,auto,13,gini,1,1,0,35,constant,24,log2,7,24,randomForestClassifier,4,5,sgd,distance,0.9422028353326063,102.60886281100102
relu,auto,27,gini,1,1,1,18,constant,38,log2,9,14,randomForestClassifier,7,2,adam,uniform,0.9422028353326063,102.60889342986047
relu,auto,16,gini,1,1,0,39,constant,40,sqrt,6,26,nnClassifier,7,3,sgd,distance,0,102.608923869906
