activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
identity,brute,13,entropy,1,0,0,25,adaptive,15,sqrt,20,11,nnClassifier,8,10,sgd,uniform,0.9396551724137931,138.38428948190995
identity,kd_tree,14,entropy,1,0,0,22,adaptive,41,auto,12,17,nnClassifier,5,7,sgd,distance,0,138.38434352097102
tanh,ball_tree,17,entropy,1,0,0,18,invscaling,75,sqrt,20,36,nnClassifier,5,8,adam,uniform,0.9396551724137931,138.38437510002404
relu,kd_tree,16,gini,1,1,0,28,invscaling,20,auto,20,33,nnClassifier,7,10,sgd,uniform,0.9342672413793104,138.38440706999972
identity,auto,24,gini,1,1,1,19,constant,55,sqrt,13,25,nnClassifier,9,10,sgd,distance,0.9299568965517241,138.38443895895034
identity,brute,14,gini,1,1,1,24,adaptive,15,sqrt,17,25,nnClassifier,3,8,sgd,uniform,0.9342672413793104,138.38447039900348
identity,auto,11,gini,1,1,0,34,constant,63,sqrt,12,27,nnClassifier,9,8,sgd,distance,0.9396551724137931,138.38450162787922
identity,auto,13,entropy,1,1,0,32,invscaling,44,sqrt,18,34,nnClassifier,9,5,adam,uniform,0.9396551724137931,138.3845322879497
relu,kd_tree,19,gini,1,1,1,24,constant,77,sqrt,14,12,nnClassifier,8,5,adam,distance,0.8911637931034483,138.38456369703636
identity,kd_tree,19,entropy,1,0,1,28,invscaling,15,sqrt,16,19,nnClassifier,8,10,sgd,distance,0.9331896551724138,138.38459444697946
identity,kd_tree,30,entropy,1,0,1,36,invscaling,34,auto,19,21,nnClassifier,7,10,sgd,distance,0.9342672413793104,138.38462522695772
identity,kd_tree,14,entropy,1,1,1,24,invscaling,76,sqrt,10,8,nnClassifier,9,8,adam,distance,0.9396551724137931,138.38465575594455
relu,brute,13,entropy,1,0,1,24,invscaling,82,auto,11,28,nnClassifier,6,9,sgd,distance,0.9224137931034483,138.38468705583364
tanh,auto,15,entropy,1,0,0,25,constant,87,auto,17,32,nnClassifier,9,9,sgd,uniform,0,138.3847177149728
relu,ball_tree,15,gini,1,1,1,25,adaptive,12,auto,20,10,nnClassifier,8,10,sgd,distance,0.9310344827586207,138.38474732497707
tanh,auto,9,gini,1,0,1,25,adaptive,61,auto,13,18,nnClassifier,3,7,sgd,uniform,0.9396551724137931,138.38477790402249
identity,ball_tree,14,entropy,1,1,0,24,constant,33,sqrt,20,15,nnClassifier,8,7,sgd,distance,0.9342672413793104,138.3848086539656
identity,kd_tree,25,gini,1,1,1,14,invscaling,24,sqrt,11,28,nnClassifier,2,10,adam,distance,0.9342672413793104,138.38483932288364
tanh,auto,25,entropy,1,1,0,26,constant,66,sqrt,19,6,nnClassifier,8,5,sgd,distance,0.8900862068965517,138.38487947289832
identity,brute,13,gini,1,1,0,23,constant,92,auto,11,10,nnClassifier,8,10,sgd,uniform,0.9396551724137931,138.38490994204767
relu,auto,13,gini,1,1,1,25,constant,15,auto,20,11,nnClassifier,8,10,adam,distance,0.9396551724137931,468.5722640408203
relu,auto,15,gini,1,1,1,26,constant,37,auto,16,13,nnClassifier,6,8,adam,distance,0.9396551724137931,468.57231794996187
relu,auto,17,gini,1,1,1,22,constant,71,auto,20,32,nnClassifier,5,9,adam,distance,0.9396551724137931,468.57235146989115
relu,auto,12,gini,1,1,1,24,constant,16,auto,20,29,nnClassifier,7,10,adam,distance,0.9396551724137931,468.5723832589574
relu,auto,20,gini,1,1,1,23,constant,51,auto,16,21,nnClassifier,5,7,adam,distance,0.9299568965517241,468.5724148689769
relu,auto,13,gini,1,1,1,25,constant,13,auto,13,21,nnClassifier,7,10,adam,distance,0.9299568965517241,468.57244655885734
relu,auto,13,gini,1,1,1,30,constant,59,auto,16,23,nnClassifier,5,9,adam,distance,0.9396551724137931,468.5724781078752
relu,auto,13,gini,1,1,1,30,constant,40,auto,18,30,nnClassifier,6,4,adam,distance,0.9396551724137931,468.57250930787995
relu,auto,15,gini,1,1,1,24,constant,73,auto,18,12,nnClassifier,9,9,adam,distance,0.9364224137931034,468.57254073699005
relu,auto,15,gini,1,1,1,28,constant,15,auto,20,15,nnClassifier,10,10,adam,distance,0.9364224137931034,468.5725720268674
relu,auto,26,gini,1,1,1,32,constant,30,auto,20,17,nnClassifier,10,10,adam,distance,0.9396551724137931,468.5726032459643
relu,auto,12,gini,1,1,1,22,constant,72,auto,12,7,nnClassifier,9,5,adam,distance,0.9321120689655172,468.57263446599245
relu,auto,15,gini,1,1,1,26,constant,78,auto,15,24,nnClassifier,10,10,adam,distance,0.9396551724137931,468.5726659849752
relu,auto,11,gini,1,1,1,27,constant,83,auto,20,28,nnClassifier,9,10,adam,distance,0.9396551724137931,468.5726973148994
relu,auto,12,gini,1,1,1,24,constant,16,auto,20,10,nnClassifier,8,10,adam,distance,0.9331896551724138,468.57272851397283
relu,auto,13,gini,1,1,1,26,constant,57,auto,11,14,nnClassifier,7,5,adam,distance,0.9375,468.57275976403616
relu,auto,13,gini,1,1,1,25,constant,29,auto,20,11,nnClassifier,9,7,adam,distance,0.9396551724137931,468.57279092399403
relu,auto,21,gini,1,1,1,12,constant,20,auto,15,24,nnClassifier,3,10,adam,distance,0.9299568965517241,468.57282697292976
relu,auto,21,gini,1,1,1,24,constant,62,auto,20,10,nnClassifier,8,9,adam,distance,0.9396551724137931,468.572868112009
