activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,28,gini,1,1,1,33,constant,40,auto,13,19,nnClassifier,9,9,adam,distance,0.9504310344827587,952.5083566389512
relu,auto,17,gini,1,1,1,36,constant,50,auto,9,37,nnClassifier,7,10,adam,distance,0.9525862068965517,952.5084018579219
relu,auto,21,gini,1,1,1,38,constant,42,auto,14,30,nnClassifier,9,10,adam,distance,0.9515086206896551,952.5084333580453
relu,auto,32,gini,1,1,1,38,constant,37,auto,18,28,nnClassifier,8,10,adam,distance,0.9482758620689655,952.5084647878539
relu,auto,22,gini,1,1,1,26,constant,60,auto,17,30,nnClassifier,10,10,adam,distance,0.9525862068965517,952.5084960078821
relu,auto,32,gini,1,1,1,19,constant,32,auto,17,33,nnClassifier,7,10,adam,distance,0.9504310344827587,952.5085271468852
relu,auto,31,gini,1,1,1,34,constant,42,auto,16,32,nnClassifier,9,7,adam,distance,0.9515086206896551,952.5085581468884
relu,auto,32,gini,1,1,1,38,constant,36,auto,18,14,nnClassifier,8,10,adam,distance,0.9525862068965517,952.5085889168549
relu,auto,32,gini,1,1,1,40,constant,70,auto,18,29,nnClassifier,10,10,adam,distance,0.9515086206896551,952.5086198570207
relu,auto,19,gini,1,1,1,21,constant,74,auto,18,29,nnClassifier,8,10,adam,distance,0.9515086206896551,952.5086510458495
relu,auto,28,gini,1,1,1,26,constant,62,auto,12,33,nnClassifier,8,10,adam,distance,0.9515086206896551,952.5086824160535
relu,auto,32,gini,1,1,1,32,constant,80,auto,11,29,nnClassifier,8,10,adam,distance,0.9515086206896551,952.508713445859
relu,auto,23,gini,1,1,1,22,constant,77,auto,16,29,nnClassifier,8,10,adam,distance,0.9504310344827587,952.508744635852
relu,auto,15,gini,1,1,1,24,constant,61,auto,9,30,nnClassifier,7,1,adam,distance,0.9515086206896551,952.5087759350426
relu,auto,20,gini,1,1,1,24,constant,88,auto,10,29,nnClassifier,8,10,adam,distance,0.9482758620689655,952.5088071250357
relu,auto,30,gini,1,1,1,30,constant,56,auto,16,25,nnClassifier,7,10,adam,distance,0.9525862068965517,1393.0904236279894
relu,auto,32,gini,1,1,1,38,constant,54,auto,17,30,nnClassifier,8,10,adam,distance,0.9515086206896551,1393.0904745480511
relu,auto,30,gini,1,1,1,37,constant,48,auto,17,35,nnClassifier,7,6,adam,distance,0.9515086206896551,1393.0905072470196
relu,auto,27,gini,1,1,1,36,constant,89,auto,10,17,nnClassifier,9,10,adam,distance,0.9525862068965517,1393.0905392069835
relu,auto,29,gini,1,1,1,40,constant,49,auto,20,31,nnClassifier,6,10,adam,distance,0.9515086206896551,1393.0905708470382
relu,auto,32,gini,1,1,1,29,constant,44,auto,11,19,nnClassifier,8,9,adam,distance,0.9504310344827587,1393.090602086857
relu,auto,21,gini,1,1,1,37,constant,51,auto,6,40,nnClassifier,5,10,adam,distance,0.947198275862069,1393.090633956017
relu,auto,25,gini,1,1,1,38,constant,43,auto,18,26,nnClassifier,6,10,adam,distance,0.9504310344827587,1393.090680965921
relu,auto,32,gini,1,1,1,40,constant,41,auto,17,31,nnClassifier,8,10,adam,distance,0.9515086206896551,1393.090712256031
relu,auto,19,gini,1,1,1,30,constant,60,auto,16,29,nnClassifier,9,10,adam,distance,0.9525862068965517,1393.0907434250694
relu,auto,32,gini,1,1,1,21,constant,36,auto,17,29,nnClassifier,4,10,adam,distance,0.9493534482758621,1393.0907749650069
relu,auto,27,gini,1,1,1,38,constant,46,auto,18,32,nnClassifier,7,9,adam,distance,0.9482758620689655,1393.0908061950468
relu,auto,32,gini,1,1,1,38,constant,40,auto,16,18,nnClassifier,8,10,adam,distance,0.9515086206896551,1393.0908381049521
relu,auto,32,gini,1,1,1,40,constant,66,auto,19,32,nnClassifier,8,10,adam,distance,0.9525862068965517,1393.0908698940184
relu,auto,23,gini,1,1,1,25,constant,70,auto,17,33,nnClassifier,8,10,adam,distance,0.9504310344827587,1393.0909014039207
relu,auto,27,gini,1,1,1,30,constant,65,auto,10,32,nnClassifier,8,10,adam,distance,0.9515086206896551,1393.090932474006
