activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,ball_tree,15,gini,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,18,adaptive,74,sqrt,12,12,kneighborsClassifier,7,2,adam,distance,0.9781818181818182,160.8731178320013
tanh,auto,19,gini,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,24,constant,35,auto,13,31,kneighborsClassifier,2,4,adam,distance,0.9818181818181818,160.8732249601744
tanh,ball_tree,28,gini,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,7,invscaling,56,auto,2,26,nnClassifier,5,4,adam,distance,0.0,160.87330099800602
tanh,brute,22,gini,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,30,adaptive,100,auto,4,17,kneighborsClassifier,8,3,adam,distance,0.9563636363636364,160.87337574712
tanh,kd_tree,13,gini,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,15,invscaling,33,sqrt,3,33,kneighborsClassifier,8,3,adam,distance,0.9418181818181818,160.8734503351152
tanh,auto,15,gini,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,18,invscaling,60,sqrt,13,30,kneighborsClassifier,4,6,adam,distance,0.9690909090909091,160.87352490308695
relu,brute,20,gini,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,33,adaptive,18,sqrt,2,7,kneighborsClassifier,8,3,adam,distance,0.9636363636363636,160.87359851202928
tanh,auto,27,gini,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,27,adaptive,32,sqrt,2,34,nnClassifier,4,2,adam,distance,0.03272727272727273,160.8736855702009
tanh,ball_tree,29,gini,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,11,adaptive,62,auto,10,36,kneighborsClassifier,9,4,adam,distance,0.9363636363636364,160.8737597691361
tanh,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,9,invscaling,7,sqrt,15,37,nnClassifier,7,3,adam,distance,0.08727272727272728,160.8738335170783
tanh,ball_tree,29,gini,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,15,constant,19,sqrt,3,36,kneighborsClassifier,8,7,adam,distance,0.9654545454545455,160.87390891602263
relu,ball_tree,14,gini,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,20,constant,10,sqrt,7,16,nnClassifier,6,4,adam,distance,0.08545454545454545,160.87398239411414
tanh,kd_tree,27,gini,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,31,adaptive,14,sqrt,13,26,nnClassifier,6,3,adam,distance,0.08545454545454545,160.8740569332149
tanh,auto,28,gini,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,33,invscaling,22,auto,6,23,kneighborsClassifier,7,6,adam,distance,0.9672727272727273,160.87413317104802
relu,ball_tree,29,gini,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,32,constant,34,sqrt,14,32,nnClassifier,9,4,adam,distance,0.06727272727272728,160.87420841003768
tanh,auto,24,gini,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,38,constant,10,sqrt,2,38,kneighborsClassifier,9,5,adam,distance,0.9745454545454545,160.87428242806345
relu,kd_tree,28,gini,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,16,adaptive,84,auto,3,36,nnClassifier,7,6,adam,distance,0.08545454545454545,160.8743578470312
tanh,ball_tree,13,gini,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,28,constant,73,sqrt,2,23,kneighborsClassifier,5,3,adam,distance,0.9636363636363636,160.87443196517415
tanh,ball_tree,27,gini,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,26,invscaling,45,sqrt,2,34,kneighborsClassifier,6,3,adam,distance,0.9581818181818181,160.87450543418527
tanh,brute,28,gini,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,33,adaptive,99,sqrt,2,36,kneighborsClassifier,8,3,adam,distance,0.9854545454545455,160.87457953207195
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,78,auto,8,16,nnClassifier,8,2,adam,distance,0.9872727272727273,339.32130575203337
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,39,auto,9,32,nnClassifier,4,4,adam,distance,0.9890909090909091,339.32140630017966
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,60,auto,2,22,nnClassifier,9,4,adam,distance,0.08545454545454545,339.3214807182085
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,100,auto,4,19,nnClassifier,8,1,adam,distance,0.990909090909091,339.321554757189
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,37,auto,4,31,nnClassifier,9,1,adam,distance,0.9872727272727273,339.3216287251562
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,64,auto,9,26,nnClassifier,8,4,adam,distance,0.9854545454545455,339.32171530416235
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,constant,22,auto,3,11,nnClassifier,8,4,adam,distance,0.990909090909091,339.32178842206486
