activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,ball_tree,25,gini,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,28,constant,15,auto,18,27,kneighborsClassifier,7,6,sgd,distance,0.9472727272727273,166.9443425810896
tanh,ball_tree,27,gini,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,26,invscaling,77,auto,18,7,kneighborsClassifier,8,2,sgd,distance,0.9745454545454545,166.9444417289924
relu,ball_tree,17,gini,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,13,invscaling,76,auto,15,8,nnClassifier,9,5,sgd,distance,0.08545454545454545,166.94451826810837
identity,ball_tree,31,gini,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,7,constant,47,auto,14,16,nnClassifier,8,2,sgd,distance,0.05818181818181818,166.94459387706593
tanh,ball_tree,22,gini,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,11,constant,15,auto,12,8,kneighborsClassifier,9,7,sgd,distance,0.9745454545454545,166.94466914609075
tanh,ball_tree,28,gini,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,35,invscaling,70,auto,17,15,kneighborsClassifier,8,2,sgd,distance,0.9327272727272727,166.94474325398915
identity,auto,17,gini,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,19,invscaling,41,auto,12,31,kneighborsClassifier,8,6,sgd,distance,0.9418181818181818,166.94481796305627
logistic,ball_tree,31,gini,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,33,invscaling,14,auto,15,36,kneighborsClassifier,9,2,sgd,distance,0.9745454545454545,166.94500387995504
relu,auto,32,gini,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,31,constant,76,auto,19,6,kneighborsClassifier,8,3,adam,distance,0.92,166.94507789914496
identity,ball_tree,20,gini,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,10,invscaling,13,auto,17,34,nnClassifier,6,5,sgd,distance,0.06727272727272728,166.9451511381194
logistic,ball_tree,32,gini,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,12,invscaling,77,auto,18,28,kneighborsClassifier,8,2,sgd,distance,0.9854545454545455,166.94522467604838
identity,ball_tree,32,gini,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,34,constant,94,auto,12,16,nnClassifier,8,8,adam,distance,0.07818181818181819,166.94529928499833
logistic,ball_tree,27,gini,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,14,invscaling,30,auto,20,29,kneighborsClassifier,7,3,sgd,distance,0.9818181818181818,166.9453737239819
tanh,ball_tree,31,gini,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,19,invscaling,87,auto,6,12,kneighborsClassifier,6,1,sgd,distance,0.9727272727272728,166.9454480430577
logistic,ball_tree,15,gini,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,12,constant,39,auto,19,26,nnClassifier,3,6,adam,distance,0.06727272727272728,166.94552172208205
logistic,ball_tree,18,gini,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,14,constant,87,auto,18,15,nnClassifier,7,3,adam,distance,0.08727272727272728,166.94559532008134
logistic,ball_tree,17,gini,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,13,constant,11,auto,11,27,kneighborsClassifier,9,2,sgd,distance,0.9636363636363636,166.94566978910007
identity,auto,24,gini,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,35,constant,44,auto,12,21,nnClassifier,10,2,adam,distance,0.07636363636363637,166.94574338803068
tanh,ball_tree,17,gini,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,12,constant,27,auto,11,17,kneighborsClassifier,8,2,adam,distance,0.9672727272727273,166.94581769709475
