activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,kd_tree,16,entropy,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,17,invscaling,51,auto,4,9,nnClassifier,5,4,sgd,distance,0.06909090909090909,139.938288932899
relu,brute,17,entropy,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,24,invscaling,93,auto,12,33,nnClassifier,1,1,lbfgs,uniform,0.06363636363636363,139.93838034197688
relu,brute,20,entropy,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,28,constant,36,auto,12,19,kneighborsClassifier,1,3,sgd,uniform,0.9218181818181819,139.93845534091815
logistic,brute,18,entropy,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,4,invscaling,32,auto,12,12,kneighborsClassifier,1,1,lbfgs,uniform,0.9836363636363636,139.93852978991345
tanh,auto,14,gini,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,18,invscaling,20,auto,11,17,kneighborsClassifier,6,4,sgd,uniform,0.9654545454545455,139.9386044689454
tanh,kd_tree,26,gini,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,25,invscaling,75,auto,11,15,nnClassifier,5,6,adam,uniform,0.06909090909090909,139.93867781804875
relu,auto,26,entropy,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,8,invscaling,7,auto,6,12,nnClassifier,2,5,lbfgs,uniform,0.06181818181818182,139.9387508679647
identity,auto,18,entropy,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,24,invscaling,53,auto,13,27,nnClassifier,5,2,adam,uniform,0.04909090909090909,139.93882393697277
relu,ball_tree,17,gini,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,35,invscaling,55,auto,8,12,kneighborsClassifier,9,5,sgd,uniform,0.9472727272727273,139.93889764603227
logistic,brute,18,entropy,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,7,invscaling,70,auto,7,12,kneighborsClassifier,6,1,lbfgs,uniform,0.9836363636363636,139.93897053482942
relu,ball_tree,18,entropy,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,4,invscaling,16,auto,15,23,nnClassifier,2,1,lbfgs,uniform,0.016363636363636365,139.939042923972
logistic,brute,23,entropy,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,29,constant,6,auto,3,11,kneighborsClassifier,5,3,adam,distance,0.9836363636363636,139.9391159140505
identity,brute,17,gini,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,19,invscaling,92,auto,7,14,kneighborsClassifier,3,3,adam,uniform,0.9781818181818182,139.93920071283355
