activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,brute,21,gini,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,29,invscaling,18,auto,7,7,kneighborsClassifier,5,1,sgd,distance,0.9563636363636364,151.38890910102054
relu,kd_tree,22,gini,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,20,constant,52,auto,12,5,nnClassifier,8,7,lbfgs,distance,0.03636363636363636,151.38900455087423
relu,kd_tree,22,gini,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,24,adaptive,10,auto,15,35,kneighborsClassifier,9,1,adam,distance,0.9127272727272727,151.3890795998741
tanh,ball_tree,22,gini,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,25,adaptive,62,auto,9,7,kneighborsClassifier,8,1,sgd,distance,0.9454545454545454,151.3891539790202
tanh,auto,25,gini,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,32,invscaling,58,auto,14,8,kneighborsClassifier,5,6,adam,distance,0.9218181818181819,151.38922732882202
tanh,kd_tree,23,gini,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,25,constant,94,auto,7,19,kneighborsClassifier,5,1,sgd,distance,0.9545454545454546,151.38930254802108
relu,ball_tree,25,gini,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,17,invscaling,71,auto,13,31,nnClassifier,9,5,adam,distance,0.07636363636363637,151.38937612785958
relu,brute,15,gini,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,22,adaptive,8,auto,9,7,kneighborsClassifier,9,6,lbfgs,distance,0.9636363636363636,151.38945011701435
relu,kd_tree,21,gini,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,21,adaptive,26,auto,19,8,kneighborsClassifier,10,4,adam,distance,0.94,151.38952366705053
tanh,ball_tree,16,gini,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,9,constant,88,auto,14,18,nnClassifier,10,1,sgd,distance,0.056363636363636366,151.38959646597505
relu,kd_tree,22,gini,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,36,adaptive,96,auto,13,8,kneighborsClassifier,9,5,sgd,distance,0.9745454545454545,151.38968049502
tanh,ball_tree,22,gini,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,25,invscaling,20,auto,16,16,kneighborsClassifier,5,1,sgd,distance,0.9254545454545454,151.3897536250297
tanh,brute,22,gini,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,25,adaptive,37,auto,14,7,kneighborsClassifier,9,1,lbfgs,distance,0.9781818181818182,151.38982730382122
tanh,auto,17,gini,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,17,constant,32,auto,12,23,nnClassifier,9,4,adam,distance,0.07818181818181819,151.38990038400516
tanh,kd_tree,18,gini,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,33,constant,85,auto,14,22,kneighborsClassifier,5,3,adam,distance,0.9363636363636364,151.389973863028
tanh,ball_tree,29,gini,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,34,invscaling,35,auto,13,11,kneighborsClassifier,4,7,sgd,distance,0.9509090909090909,151.39004735299386
tanh,brute,22,gini,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,17,invscaling,33,auto,6,34,kneighborsClassifier,8,5,adam,distance,0.9781818181818182,151.3901205919683
relu,kd_tree,18,gini,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,33,constant,37,auto,7,26,kneighborsClassifier,5,6,adam,distance,0.9418181818181818,151.39019351196475
relu,ball_tree,22,gini,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,22,invscaling,32,auto,4,26,kneighborsClassifier,9,6,adam,distance,0.9745454545454545,151.39026655093767
relu,ball_tree,22,gini,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,21,invscaling,8,auto,8,7,nnClassifier,7,2,adam,distance,0.08,151.39033955987543
