activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,20,gini,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,33,constant,23,sqrt,7,28,kneighborsClassifier,7,8,sgd,distance,0.9363636363636364,208.31852779490873
tanh,auto,13,gini,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,22,constant,88,sqrt,10,24,nnClassifier,2,6,sgd,distance,0.0,208.31862631300464
tanh,auto,18,gini,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,35,constant,26,auto,16,6,kneighborsClassifier,6,6,sgd,distance,0.96,208.3187016020529
identity,auto,19,gini,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,21,constant,81,auto,9,31,kneighborsClassifier,3,6,adam,distance,0.9709090909090909,208.31877590087242
relu,auto,31,gini,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,18,constant,82,auto,11,34,nnClassifier,6,4,adam,distance,0.10545454545454545,208.31885179993697
tanh,auto,17,gini,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,14,constant,49,sqrt,15,28,nnClassifier,6,4,adam,distance,0.01090909090909091,208.3189372890629
relu,auto,8,gini,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,18,constant,60,sqrt,7,19,nnClassifier,5,6,adam,distance,0.10909090909090909,208.31901233806275
identity,auto,20,gini,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,12,constant,12,sqrt,12,33,kneighborsClassifier,6,8,sgd,distance,0.8945454545454545,208.319086646894
identity,auto,21,gini,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,39,constant,94,auto,13,10,kneighborsClassifier,4,5,sgd,distance,0.9454545454545454,208.3191612160299
identity,auto,20,gini,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,39,constant,73,sqrt,15,29,kneighborsClassifier,6,6,sgd,distance,0.9836363636363636,208.3192352540791
relu,auto,17,gini,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,36,auto,15,20,kneighborsClassifier,6,6,sgd,distance,0.9818181818181818,208.31930950307287
tanh,auto,20,gini,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,40,constant,25,sqrt,7,29,kneighborsClassifier,5,5,sgd,distance,0.9818181818181818,208.31938346195966
identity,auto,21,gini,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,20,constant,19,sqrt,15,12,kneighborsClassifier,6,6,sgd,distance,0.9454545454545454,208.31945743085817
identity,auto,19,gini,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,11,constant,10,sqrt,16,12,kneighborsClassifier,6,4,sgd,distance,0.98,208.31953147007152
tanh,auto,25,gini,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,29,constant,17,sqrt,15,24,kneighborsClassifier,3,6,sgd,distance,0.9527272727272728,208.31960557890125
identity,auto,28,gini,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,7,constant,60,sqrt,7,36,nnClassifier,4,6,adam,distance,0.10545454545454545,208.3196800679434
identity,auto,27,gini,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,33,constant,28,sqrt,10,18,nnClassifier,3,6,sgd,distance,0.04363636363636364,208.31975467689335
identity,auto,20,gini,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,26,constant,40,sqrt,14,36,kneighborsClassifier,6,6,sgd,distance,0.9254545454545454,208.3198289759457
tanh,auto,19,gini,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,13,constant,56,sqrt,16,29,nnClassifier,5,6,sgd,distance,0.10909090909090909,208.31991511397064
identity,auto,24,gini,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,40,constant,50,sqrt,10,23,kneighborsClassifier,6,6,adam,distance,0.9636363636363636,208.31998987286352
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,constant,19,auto,11,24,nnClassifier,5,4,adam,distance,0.9763636363636363,428.9224216348957
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,84,auto,14,21,nnClassifier,6,5,adam,distance,0.02727272727272727,428.92251960304566
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,22,auto,18,10,nnClassifier,8,2,adam,distance,0.98,428.92259767185897
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,77,auto,13,27,nnClassifier,3,5,adam,distance,0.9763636363636363,428.92267224099487
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,78,auto,15,31,nnClassifier,5,6,adam,distance,0.10727272727272727,428.9227464199066
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,45,auto,15,24,nnClassifier,8,6,adam,distance,0.10727272727272727,428.92282019904815
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,56,auto,11,15,nnClassifier,6,3,adam,distance,0.10363636363636364,428.9229090078734
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,12,auto,16,29,nnClassifier,4,5,adam,distance,0.9727272727272728,428.922981797019
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,constant,90,auto,17,12,nnClassifier,5,5,adam,distance,0.9763636363636363,428.9230542848818
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,constant,69,auto,16,25,nnClassifier,6,5,adam,distance,0.9836363636363636,428.9231269939337
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,32,auto,17,16,nnClassifier,6,4,adam,distance,0.9818181818181818,428.92320054303855
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,constant,21,auto,11,26,nnClassifier,7,2,adam,distance,0.98,428.92327371193096
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,19,auto,15,14,nnClassifier,5,4,adam,distance,0.9836363636363636,428.9233463408891
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,12,auto,15,14,nnClassifier,4,4,adam,distance,0.9872727272727273,428.9234196499456
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,17,auto,15,20,nnClassifier,6,3,adam,distance,0.98,428.92349285888486
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,constant,56,auto,11,34,nnClassifier,8,5,adam,distance,0.06909090909090909,428.9235657879617
