activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,kd_tree,14,gini,0,1,1,1,15,adaptive,69,auto,20,14,randomForestClassifier,6,6,sgd,uniform,0.8125
logistic,ball_tree,16,gini,1,0,1,1,35,invscaling,32,sqrt,2,37,randomForestClassifier,5,6,lbfgs,uniform,1.0
tanh,brute,16,entropy,1,1,0,1,14,adaptive,63,log2,9,35,nnClassifier,1,5,lbfgs,uniform,0.5115740740740741
relu,brute,17,gini,0,1,0,1,11,invscaling,34,log2,16,39,kneighborsClassifier,2,4,adam,uniform,0.6608796296296297
identity,brute,18,entropy,1,1,0,1,7,constant,64,auto,13,33,randomForestClassifier,6,10,adam,uniform,0.9988425925925926
identity,ball_tree,31,gini,0,0,1,1,6,constant,19,auto,8,7,randomForestClassifier,2,1,lbfgs,distance,0.7696759259259259
relu,brute,16,gini,0,0,0,1,20,invscaling,88,auto,2,16,nnClassifier,8,10,adam,distance,0.4710648148148148
identity,brute,14,entropy,1,0,0,1,11,adaptive,98,log2,20,6,kneighborsClassifier,8,7,adam,distance,1.0
tanh,brute,9,gini,0,1,0,0,19,constant,79,log2,2,19,nnClassifier,10,8,adam,uniform,0.4930555555555556
tanh,brute,30,entropy,0,1,0,1,16,adaptive,67,sqrt,5,35,nnClassifier,7,7,lbfgs,uniform,0.4710648148148148
tanh,auto,10,entropy,0,0,0,0,32,constant,35,auto,6,33,randomForestClassifier,10,5,sgd,distance,0
relu,kd_tree,16,entropy,1,0,1,0,39,adaptive,30,sqrt,15,3,kneighborsClassifier,8,5,sgd,distance,0.8483796296296297
relu,brute,13,gini,1,1,1,0,24,constant,54,sqrt,5,32,randomForestClassifier,7,8,lbfgs,distance,0.9895833333333334
identity,brute,19,entropy,1,0,0,0,33,adaptive,20,sqrt,17,8,nnClassifier,7,2,sgd,distance,0.5092592592592593
relu,auto,27,gini,1,0,1,1,7,invscaling,2,auto,3,14,nnClassifier,4,6,adam,uniform,0.5115740740740741
tanh,kd_tree,11,gini,1,1,0,1,35,adaptive,23,log2,14,20,randomForestClassifier,2,3,sgd,uniform,0.9976851851851852
logistic,kd_tree,19,entropy,0,0,0,1,26,adaptive,5,sqrt,18,28,kneighborsClassifier,10,1,sgd,distance,0.5520833333333334
relu,kd_tree,29,gini,0,1,1,0,5,adaptive,33,log2,4,20,kneighborsClassifier,2,1,adam,distance,0.6354166666666666
