activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,ball_tree,27,entropy,0,0,0,0,25,adaptive,91,auto,17,12,nnClassifier,5,9,adam,uniform,0
identity,brute,31,entropy,0,1,1,0,30,constant,73,auto,10,6,nnClassifier,5,1,adam,distance,0.5370370370370371
logistic,kd_tree,25,entropy,0,0,0,0,38,adaptive,19,auto,3,35,kneighborsClassifier,2,4,lbfgs,distance,0
relu,ball_tree,18,entropy,1,0,0,1,7,adaptive,68,auto,15,37,randomForestClassifier,2,9,sgd,distance,1.0
relu,auto,18,entropy,1,1,0,0,15,invscaling,62,sqrt,10,35,nnClassifier,9,7,sgd,uniform,0.5208333333333334
identity,ball_tree,25,entropy,0,1,1,0,33,constant,48,auto,14,37,nnClassifier,10,7,lbfgs,distance,0.5532407407407407
identity,brute,28,entropy,0,0,0,1,38,constant,73,log2,9,22,randomForestClassifier,10,10,adam,distance,0.6701388888888888
identity,ball_tree,27,gini,0,1,0,0,25,adaptive,18,log2,13,24,randomForestClassifier,4,1,adam,distance,0.5983796296296297
relu,ball_tree,16,entropy,0,1,0,0,33,constant,68,log2,8,38,kneighborsClassifier,1,10,lbfgs,uniform,0.6203703703703703
logistic,auto,23,entropy,1,1,0,0,15,constant,56,log2,2,29,randomForestClassifier,4,5,sgd,distance,0.9849537037037037
logistic,brute,11,gini,1,1,0,1,35,adaptive,63,sqrt,15,8,kneighborsClassifier,3,2,adam,uniform,1.0
relu,auto,21,entropy,1,1,1,1,22,adaptive,79,log2,12,18,kneighborsClassifier,7,3,lbfgs,uniform,0.9710648148148148
identity,brute,31,gini,1,0,1,0,3,constant,84,auto,20,34,kneighborsClassifier,7,4,sgd,distance,0.8634259259259259
identity,auto,10,gini,0,1,0,0,32,adaptive,12,auto,4,31,randomForestClassifier,2,10,sgd,uniform,0.6284722222222222
identity,ball_tree,12,gini,0,1,0,1,5,constant,15,log2,13,21,nnClassifier,1,8,lbfgs,distance,0.47453703703703703
logistic,kd_tree,30,entropy,0,1,0,1,26,constant,27,auto,17,37,kneighborsClassifier,3,10,adam,uniform,0.6388888888888888
logistic,ball_tree,27,entropy,1,1,0,0,27,constant,51,log2,13,15,randomForestClassifier,5,5,lbfgs,uniform,0.9849537037037037
logistic,brute,12,entropy,1,0,1,0,39,constant,46,sqrt,7,28,kneighborsClassifier,5,5,sgd,uniform,0.8530092592592593
identity,auto,27,gini,1,0,1,1,13,adaptive,8,auto,16,30,nnClassifier,2,2,adam,distance,0.5208333333333334
logistic,brute,16,gini,1,1,1,0,3,invscaling,85,sqrt,8,9,kneighborsClassifier,10,1,lbfgs,distance,0.8680555555555556
identity,kd_tree,15,entropy,0,0,0,0,29,adaptive,11,sqrt,4,36,kneighborsClassifier,2,8,adam,distance,0
tanh,brute,31,entropy,0,0,0,0,13,constant,39,sqrt,9,27,nnClassifier,1,9,adam,uniform,0
relu,ball_tree,25,gini,0,1,0,1,23,constant,54,sqrt,3,14,randomForestClassifier,10,3,adam,uniform,0.6157407407407407
logistic,brute,20,gini,1,0,0,1,10,invscaling,18,sqrt,12,37,kneighborsClassifier,6,3,sgd,distance,1.0
identity,brute,13,gini,1,0,1,0,40,invscaling,89,sqrt,10,22,kneighborsClassifier,10,1,sgd,distance,0.8356481481481481
identity,auto,29,entropy,1,0,0,0,31,adaptive,65,auto,3,10,kneighborsClassifier,5,8,sgd,uniform,0.9537037037037037
identity,auto,17,gini,1,1,1,1,29,invscaling,23,log2,12,11,kneighborsClassifier,7,2,lbfgs,uniform,0.9652777777777778
