activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,ball_tree,11,gini,1,0,0,1,31,constant,87,sqrt,9,28,randomForestClassifier,10,7,sgd,distance,1.0
tanh,auto,12,entropy,1,1,0,1,4,adaptive,65,log2,20,33,nnClassifier,6,4,lbfgs,uniform,0.44328703703703703
identity,brute,23,gini,0,1,0,0,23,invscaling,23,auto,3,30,randomForestClassifier,8,2,lbfgs,distance,0.6585648148148148
identity,ball_tree,23,entropy,0,1,0,0,10,adaptive,21,log2,17,8,nnClassifier,9,6,adam,uniform,0.5439814814814815
identity,brute,17,gini,0,0,1,1,39,adaptive,60,sqrt,3,21,randomForestClassifier,7,3,lbfgs,uniform,0.7800925925925926
relu,kd_tree,32,gini,1,0,1,0,18,constant,70,sqrt,4,27,randomForestClassifier,6,7,sgd,uniform,0.9131944444444444
relu,brute,23,gini,0,0,1,0,20,invscaling,54,log2,4,35,randomForestClassifier,8,8,lbfgs,distance,0.6423611111111112
relu,auto,12,entropy,0,0,0,1,37,constant,78,sqrt,3,12,nnClassifier,7,2,sgd,uniform,0.4363425925925926
identity,auto,29,entropy,0,0,0,1,34,adaptive,29,sqrt,17,19,randomForestClassifier,2,5,sgd,distance,0.7037037037037037
tanh,ball_tree,24,entropy,0,0,0,1,27,constant,19,sqrt,15,12,randomForestClassifier,8,1,sgd,distance,0.7037037037037037
relu,kd_tree,19,gini,1,1,0,0,19,constant,61,log2,7,25,nnClassifier,3,10,adam,uniform,0.44212962962962965
relu,kd_tree,11,gini,1,0,0,1,29,invscaling,72,auto,6,18,nnClassifier,9,1,sgd,distance,0.4398148148148148
relu,kd_tree,20,gini,0,0,1,1,21,constant,53,sqrt,2,40,kneighborsClassifier,8,1,lbfgs,distance,0.7222222222222222
logistic,ball_tree,32,gini,1,0,1,1,22,invscaling,56,log2,8,10,randomForestClassifier,7,6,lbfgs,distance,1.0
logistic,kd_tree,20,entropy,0,1,1,1,10,constant,76,log2,18,2,randomForestClassifier,5,3,sgd,distance,0.8148148148148148
tanh,auto,25,gini,0,0,1,1,8,invscaling,81,sqrt,19,4,kneighborsClassifier,5,5,adam,uniform,0.7615740740740741
identity,kd_tree,29,entropy,0,0,0,0,14,adaptive,46,log2,6,4,kneighborsClassifier,2,1,lbfgs,uniform,0
identity,auto,18,entropy,1,0,0,0,16,constant,64,auto,7,14,randomForestClassifier,2,1,lbfgs,uniform,0.9305555555555556
identity,kd_tree,16,gini,1,0,0,0,24,constant,79,log2,14,9,nnClassifier,3,2,adam,distance,0.4652777777777778
identity,kd_tree,17,gini,0,0,0,0,36,adaptive,92,auto,12,16,randomForestClassifier,10,3,lbfgs,uniform,0
identity,kd_tree,20,entropy,0,0,0,1,36,constant,74,sqrt,12,2,nnClassifier,8,2,adam,uniform,0.4363425925925926
tanh,auto,29,entropy,1,1,0,1,4,invscaling,59,log2,17,18,randomForestClassifier,10,10,adam,distance,0.9988425925925926
identity,kd_tree,27,gini,0,0,1,0,19,invscaling,54,auto,19,32,kneighborsClassifier,10,8,adam,distance,0.5972222222222222
tanh,brute,20,entropy,1,1,0,1,29,invscaling,44,auto,19,39,kneighborsClassifier,10,3,sgd,uniform,1.0
relu,brute,22,entropy,1,0,0,0,7,adaptive,93,auto,8,40,randomForestClassifier,5,9,lbfgs,uniform,0.9270833333333334
logistic,kd_tree,29,gini,0,1,0,0,39,invscaling,94,auto,14,16,kneighborsClassifier,2,5,adam,distance,0.6145833333333334
identity,ball_tree,24,entropy,0,0,1,1,24,constant,40,auto,7,3,nnClassifier,2,6,adam,distance,0.4363425925925926
identity,brute,31,entropy,1,1,1,1,22,adaptive,82,auto,17,10,randomForestClassifier,10,4,lbfgs,distance,1.0
logistic,kd_tree,27,entropy,1,1,1,0,11,constant,56,log2,15,39,nnClassifier,2,3,sgd,distance,0.44907407407407407
relu,auto,26,entropy,0,0,1,0,2,constant,76,log2,20,24,nnClassifier,5,7,adam,distance,0.47453703703703703
identity,kd_tree,10,entropy,0,0,1,0,35,adaptive,51,log2,5,14,nnClassifier,6,9,lbfgs,distance,0.5439814814814815
