activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,brute,8,entropy,1,1,0,0,16,invscaling,45,auto,9,16,nnClassifier,1,2,sgd,uniform,0.5636574074074074
identity,kd_tree,29,gini,1,0,1,0,23,invscaling,10,sqrt,19,32,kneighborsClassifier,5,7,sgd,distance,0.8611111111111112
identity,brute,28,entropy,1,1,0,1,9,invscaling,31,auto,9,8,randomForestClassifier,1,9,adam,uniform,1.0
tanh,brute,14,gini,0,1,1,1,3,constant,51,sqrt,13,6,nnClassifier,2,1,sgd,distance,0.49074074074074076
relu,auto,20,entropy,0,0,1,0,36,adaptive,40,log2,9,38,randomForestClassifier,5,5,adam,distance,0.6076388888888888
relu,ball_tree,32,gini,1,1,0,0,14,constant,80,log2,10,19,randomForestClassifier,10,7,lbfgs,uniform,0.9849537037037037
relu,ball_tree,32,gini,0,1,1,1,15,invscaling,69,log2,15,34,randomForestClassifier,5,7,lbfgs,distance,0.7777777777777778
logistic,brute,30,gini,0,1,0,0,16,adaptive,69,sqrt,16,34,nnClassifier,5,9,sgd,distance,0.5636574074074074
tanh,ball_tree,15,gini,1,0,0,0,19,adaptive,65,log2,5,34,nnClassifier,8,6,lbfgs,uniform,0.4849537037037037
logistic,ball_tree,12,entropy,0,1,0,1,39,constant,61,sqrt,12,40,nnClassifier,2,6,adam,uniform,0.46296296296296297
tanh,ball_tree,25,entropy,0,0,0,0,29,invscaling,94,log2,4,31,randomForestClassifier,1,9,sgd,uniform,0
identity,auto,8,entropy,1,1,0,1,15,constant,53,sqrt,8,30,randomForestClassifier,6,8,lbfgs,distance,1.0
tanh,kd_tree,8,entropy,0,0,0,0,38,adaptive,39,sqrt,11,16,kneighborsClassifier,10,1,lbfgs,distance,0
logistic,auto,18,entropy,0,1,0,1,2,constant,36,sqrt,15,16,kneighborsClassifier,1,10,adam,distance,0.6446759259259259
tanh,auto,8,entropy,1,0,1,1,35,invscaling,21,auto,5,24,nnClassifier,7,4,adam,distance,0.4930555555555556
identity,ball_tree,29,entropy,1,1,1,0,34,constant,74,auto,20,25,randomForestClassifier,1,5,lbfgs,uniform,0.9780092592592593
relu,brute,23,entropy,0,0,1,1,29,invscaling,11,sqrt,19,2,nnClassifier,3,1,sgd,distance,0.06597222222222222
relu,ball_tree,8,entropy,1,1,0,0,30,constant,30,sqrt,9,28,kneighborsClassifier,2,5,adam,distance,0.9745370370370371
identity,kd_tree,25,entropy,0,1,0,0,20,constant,29,sqrt,19,26,kneighborsClassifier,5,2,sgd,uniform,0.5821759259259259
tanh,kd_tree,18,gini,0,0,0,1,24,adaptive,44,auto,2,16,randomForestClassifier,10,9,adam,distance,0.6990740740740741
tanh,kd_tree,29,entropy,1,1,0,1,24,adaptive,78,auto,6,15,nnClassifier,2,7,adam,distance,0.49537037037037035
tanh,kd_tree,12,entropy,1,1,1,1,18,invscaling,49,log2,14,31,nnClassifier,5,9,sgd,uniform,0.5081018518518519
identity,kd_tree,24,entropy,1,0,0,0,28,invscaling,27,log2,17,35,randomForestClassifier,9,7,lbfgs,distance,0.9513888888888888
identity,brute,17,gini,0,0,0,1,14,constant,65,sqrt,19,28,kneighborsClassifier,2,2,adam,uniform,0.6990740740740741
logistic,ball_tree,24,gini,1,0,0,0,15,adaptive,62,log2,13,35,nnClassifier,4,4,adam,uniform,0.49537037037037035
relu,kd_tree,24,entropy,0,1,0,1,28,adaptive,34,sqrt,10,30,randomForestClassifier,7,6,adam,distance,0.6400462962962963
identity,brute,27,gini,0,0,0,1,32,constant,49,sqrt,6,7,nnClassifier,4,1,adam,uniform,0.46296296296296297
identity,brute,16,entropy,0,1,1,0,17,constant,69,sqrt,13,15,kneighborsClassifier,9,3,lbfgs,uniform,0.6516203703703703
logistic,kd_tree,8,entropy,1,0,1,0,7,invscaling,21,log2,10,4,kneighborsClassifier,7,7,lbfgs,uniform,0.8587962962962963
tanh,auto,27,gini,1,1,1,1,37,adaptive,100,sqrt,11,31,kneighborsClassifier,5,3,sgd,uniform,0.9675925925925926
identity,ball_tree,20,entropy,0,1,0,1,31,constant,13,sqrt,2,5,randomForestClassifier,1,10,adam,distance,0.6840277777777778
identity,auto,32,gini,1,1,1,1,33,invscaling,71,log2,10,17,kneighborsClassifier,10,8,sgd,uniform,0.9606481481481481
tanh,brute,10,entropy,0,1,0,1,12,constant,63,auto,20,20,randomForestClassifier,2,5,adam,distance,0.6574074074074074
logistic,ball_tree,9,gini,0,0,0,0,12,adaptive,13,auto,18,35,kneighborsClassifier,1,7,sgd,distance,0
identity,ball_tree,24,gini,0,0,0,1,7,invscaling,1,auto,19,15,nnClassifier,3,10,adam,distance,0.46296296296296297
relu,kd_tree,21,entropy,1,0,1,1,33,adaptive,62,auto,15,33,nnClassifier,5,3,lbfgs,uniform,0.49537037037037035
identity,kd_tree,19,entropy,0,0,0,1,2,invscaling,66,auto,6,25,nnClassifier,10,2,lbfgs,uniform,0.46296296296296297
logistic,ball_tree,18,gini,1,1,0,1,31,invscaling,19,auto,6,9,kneighborsClassifier,5,8,lbfgs,distance,1.0
