activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,ball_tree,32,entropy,1,0,1,0,13,adaptive,41,sqrt,20,28,randomForestClassifier,10,3,lbfgs,uniform,0.8993055555555556
identity,kd_tree,31,entropy,1,1,1,0,4,invscaling,3,log2,2,21,randomForestClassifier,4,1,lbfgs,uniform,0.9085648148148148
identity,auto,14,entropy,0,1,1,0,9,adaptive,84,log2,9,31,nnClassifier,4,3,sgd,distance,0.5358796296296297
relu,ball_tree,29,gini,1,1,1,1,6,adaptive,21,log2,15,17,kneighborsClassifier,5,6,sgd,uniform,0.9583333333333334
relu,kd_tree,19,gini,0,0,0,1,9,invscaling,1,auto,13,4,nnClassifier,9,8,lbfgs,uniform,0.47453703703703703
identity,auto,16,gini,1,1,0,0,22,constant,14,sqrt,13,14,kneighborsClassifier,3,7,sgd,uniform,0.9525462962962963
relu,ball_tree,16,gini,0,0,0,0,30,invscaling,2,log2,6,33,kneighborsClassifier,6,8,adam,distance,0
identity,auto,13,gini,1,1,0,1,36,constant,53,auto,5,16,randomForestClassifier,4,9,sgd,distance,1.0
tanh,ball_tree,27,entropy,1,1,0,0,7,adaptive,18,auto,11,22,randomForestClassifier,9,10,sgd,uniform,0.9814814814814815
logistic,ball_tree,28,gini,1,1,1,0,31,invscaling,20,auto,12,32,randomForestClassifier,2,4,sgd,distance,0.9756944444444444
identity,auto,23,entropy,0,1,1,1,11,adaptive,31,auto,20,40,randomForestClassifier,2,7,sgd,uniform,0.7893518518518519
identity,kd_tree,27,gini,0,0,0,1,26,constant,9,auto,18,7,randomForestClassifier,6,7,adam,distance,0.6666666666666666
relu,ball_tree,8,gini,1,1,1,1,23,adaptive,61,log2,6,34,kneighborsClassifier,10,1,adam,uniform,0.9780092592592593
tanh,auto,29,gini,0,1,0,0,25,invscaling,78,sqrt,20,14,nnClassifier,8,6,lbfgs,distance,0.5358796296296297
relu,kd_tree,26,entropy,0,0,0,1,40,adaptive,64,auto,18,21,nnClassifier,1,2,lbfgs,uniform,0.47453703703703703
logistic,ball_tree,32,gini,0,0,1,0,40,adaptive,54,sqrt,14,6,randomForestClassifier,6,7,sgd,distance,0.6354166666666666
tanh,kd_tree,8,entropy,0,0,0,0,4,invscaling,38,sqrt,11,21,kneighborsClassifier,9,3,lbfgs,distance,0
tanh,ball_tree,26,entropy,0,1,0,0,29,constant,23,log2,16,8,kneighborsClassifier,2,6,adam,uniform,0.6111111111111112
logistic,auto,29,entropy,0,1,1,1,34,adaptive,10,sqrt,3,4,randomForestClassifier,6,7,sgd,uniform,0.7893518518518519
logistic,kd_tree,20,gini,0,1,0,0,27,constant,60,auto,9,9,nnClassifier,10,2,sgd,uniform,0.5358796296296297
relu,ball_tree,9,gini,1,0,1,1,37,invscaling,3,log2,19,32,nnClassifier,5,8,adam,distance,0.5046296296296297
tanh,kd_tree,32,gini,0,1,0,0,4,invscaling,30,log2,14,14,kneighborsClassifier,3,5,adam,distance,0.5532407407407407
logistic,kd_tree,30,entropy,1,0,1,1,27,constant,32,log2,20,31,kneighborsClassifier,10,2,sgd,distance,0.9826388888888888
logistic,brute,26,entropy,1,1,0,1,11,constant,37,auto,9,17,randomForestClassifier,3,4,lbfgs,distance,1.0
relu,brute,26,entropy,0,0,0,0,20,invscaling,34,auto,14,30,randomForestClassifier,4,9,adam,distance,0
identity,ball_tree,12,entropy,0,0,1,0,17,constant,42,sqrt,10,3,randomForestClassifier,7,6,sgd,distance,0.6273148148148148
