activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,kd_tree,30,poisson,0,1,1,1,1,0,1,0,19,invscaling,14,log2,12,6,kneighborsRegressor,8,9,lbfgs,uniform,0.4108422725911377
relu,auto,12,poisson,1,1,0,0,0,1,0,0,20,adaptive,45,log2,3,7,randomForestRegressor,5,1,sgd,distance,0.002559996980049495
tanh,auto,15,poisson,1,1,0,1,1,1,0,0,26,adaptive,58,sqrt,4,26,kneighborsRegressor,3,2,lbfgs,distance,-0.23732741225067766
tanh,brute,14,mse,0,0,0,0,1,1,1,0,29,adaptive,50,log2,9,9,kneighborsRegressor,5,6,sgd,distance,-0.019940412716477285
identity,brute,21,poisson,0,1,0,1,0,0,1,0,29,adaptive,2,sqrt,11,22,kneighborsRegressor,5,1,sgd,uniform,-0.8438390556557738
relu,kd_tree,26,poisson,1,0,1,0,1,1,0,1,5,adaptive,86,log2,16,11,nnRegressor,8,1,adam,distance,0.4062273145525932
relu,kd_tree,11,poisson,1,1,0,1,0,0,0,1,14,invscaling,13,sqrt,5,25,kneighborsRegressor,2,2,sgd,distance,-0.44491021242802464
logistic,brute,14,poisson,1,0,0,1,1,0,1,1,3,adaptive,20,log2,19,10,kneighborsRegressor,1,2,sgd,uniform,-0.20402091253327104
tanh,ball_tree,32,mae,1,0,1,0,0,1,0,1,2,constant,78,auto,4,11,randomForestRegressor,2,6,adam,distance,0.30266878842991296
logistic,auto,12,mae,1,1,0,1,0,1,1,0,14,adaptive,65,auto,18,16,randomForestRegressor,8,10,sgd,uniform,0.16194016953691937
relu,kd_tree,30,mae,0,0,0,0,0,1,1,1,39,invscaling,70,sqrt,19,10,kneighborsRegressor,2,7,lbfgs,uniform,-0.0776269715850253
identity,auto,31,poisson,0,0,1,0,0,1,1,1,38,adaptive,58,log2,18,14,nnRegressor,10,8,lbfgs,distance,0.29300306174139157
identity,ball_tree,22,mae,1,1,1,1,1,0,1,1,26,adaptive,75,log2,17,23,nnRegressor,9,5,adam,uniform,0.3474564107711713
relu,ball_tree,9,poisson,1,0,1,1,0,1,1,1,34,adaptive,28,sqrt,19,15,randomForestRegressor,3,1,sgd,distance,0.28646527551753176
tanh,auto,26,poisson,1,0,0,0,0,1,0,1,13,constant,64,sqrt,3,20,nnRegressor,9,3,lbfgs,uniform,0.04886821862163582
logistic,kd_tree,22,poisson,0,0,0,0,1,1,0,0,19,constant,74,sqrt,13,36,kneighborsRegressor,7,9,lbfgs,distance,-0.043993733642410104
identity,auto,18,poisson,1,0,0,1,0,0,1,1,2,adaptive,95,auto,2,9,randomForestRegressor,4,9,lbfgs,distance,0.009544712467100203
relu,ball_tree,29,mae,1,1,1,1,0,1,0,0,6,adaptive,78,log2,11,18,nnRegressor,4,7,lbfgs,distance,0.36274415511701774
relu,brute,22,mae,0,0,0,0,0,1,0,0,26,invscaling,28,sqrt,12,26,randomForestRegressor,9,4,lbfgs,uniform,-0.0502429158977904
identity,auto,13,mae,0,0,1,0,1,0,0,0,27,invscaling,33,auto,20,8,randomForestRegressor,6,9,adam,distance,0.30014835361401426
logistic,auto,31,poisson,0,1,1,0,0,0,0,0,27,adaptive,16,auto,15,6,kneighborsRegressor,10,9,sgd,uniform,0.20369115124583315
relu,auto,31,mae,0,1,0,1,0,1,1,0,38,adaptive,86,sqrt,14,23,kneighborsRegressor,2,6,sgd,distance,-0.006144343813334174
tanh,ball_tree,30,poisson,1,1,1,1,0,1,1,0,16,constant,44,log2,13,38,nnRegressor,4,6,adam,distance,0.5219195090419557
tanh,ball_tree,11,mse,1,0,0,1,0,1,1,0,29,constant,37,log2,5,13,randomForestRegressor,7,6,sgd,distance,0.12982336222172486
tanh,ball_tree,28,mae,0,0,1,0,0,1,1,0,24,constant,18,sqrt,15,31,nnRegressor,7,1,adam,uniform,0.31677035200012615
logistic,auto,27,mae,0,1,1,0,1,0,0,1,5,adaptive,67,auto,17,13,nnRegressor,7,10,sgd,distance,0.3333064066395792
logistic,ball_tree,20,poisson,0,0,1,0,0,0,1,0,37,adaptive,13,sqrt,13,12,randomForestRegressor,7,10,sgd,distance,0.13303895160962553
relu,brute,17,mse,1,1,0,1,0,0,0,1,7,constant,33,auto,12,14,randomForestRegressor,5,10,adam,uniform,0.035517522931553636
identity,kd_tree,14,mae,1,0,1,1,1,0,1,0,22,invscaling,14,sqrt,6,33,randomForestRegressor,10,10,adam,uniform,0.4283453325926978
logistic,ball_tree,27,mse,1,1,0,1,0,0,1,1,7,invscaling,20,log2,6,7,kneighborsRegressor,7,3,sgd,uniform,-0.14532850840053224
tanh,ball_tree,23,mae,1,1,1,1,0,0,0,0,22,adaptive,39,log2,3,11,kneighborsRegressor,7,7,lbfgs,distance,0.21392459166841515
identity,ball_tree,11,mse,1,0,0,1,1,0,1,0,33,invscaling,62,log2,4,2,kneighborsRegressor,8,10,adam,distance,0.13259760382791963
identity,kd_tree,19,poisson,0,1,1,1,0,0,1,1,16,adaptive,34,log2,18,12,nnRegressor,7,8,adam,uniform,0.2881341970878257
logistic,brute,21,mae,0,1,0,1,0,0,0,1,3,invscaling,96,log2,19,31,nnRegressor,6,10,adam,distance,0.034277939667677004
