activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,ball_tree,10,poisson,1,1,1,0,0,1,1,0,16,constant,98,log2,12,5,nnRegressor,7,10,sgd,uniform,0.32834715774970713
tanh,kd_tree,15,mse,1,0,1,0,1,1,1,1,38,constant,85,auto,16,37,kneighborsRegressor,8,8,adam,distance,0.6280676728052885
identity,kd_tree,14,mse,1,1,1,0,1,0,1,1,29,adaptive,44,log2,5,24,randomForestRegressor,4,7,sgd,uniform,0.45295298705619946
relu,auto,17,mae,0,0,0,1,0,1,1,1,4,invscaling,28,auto,8,25,kneighborsRegressor,6,4,lbfgs,distance,0.021102816920251177
relu,brute,17,poisson,1,1,0,1,0,1,0,0,31,adaptive,28,log2,2,35,nnRegressor,4,4,sgd,uniform,0.10099278822662006
logistic,brute,23,mse,1,0,0,0,1,1,1,0,21,adaptive,56,auto,4,33,kneighborsRegressor,6,1,adam,uniform,-0.5567334658644354
tanh,brute,21,mae,1,1,1,1,1,0,0,0,36,invscaling,54,log2,4,35,nnRegressor,6,6,adam,distance,0.3752895085361653
relu,auto,18,mse,0,0,1,1,1,1,1,0,18,invscaling,79,sqrt,5,4,nnRegressor,8,5,lbfgs,distance,0.6919796147260836
relu,kd_tree,28,poisson,0,0,1,1,0,0,0,1,8,constant,12,auto,5,8,randomForestRegressor,4,1,lbfgs,distance,0.19741135138773924
tanh,kd_tree,9,mae,1,0,1,0,1,0,0,0,10,adaptive,25,sqrt,9,11,nnRegressor,5,5,lbfgs,distance,0.3740345264663738
identity,kd_tree,15,poisson,1,0,0,1,0,1,1,1,25,invscaling,45,sqrt,14,17,nnRegressor,5,3,adam,uniform,0.012805916695493247
relu,ball_tree,8,mae,0,1,0,1,0,1,1,1,7,invscaling,31,log2,3,24,randomForestRegressor,7,1,lbfgs,distance,0.21069226904350746
relu,ball_tree,20,mse,0,0,0,1,0,1,0,0,26,constant,97,log2,19,2,randomForestRegressor,7,2,sgd,uniform,0.06756300653180913
logistic,kd_tree,28,mae,0,1,1,1,1,1,1,0,27,invscaling,91,auto,18,24,randomForestRegressor,7,10,sgd,uniform,0.5934051268057572
tanh,kd_tree,11,mae,0,0,0,1,0,1,1,1,29,invscaling,42,sqrt,8,10,randomForestRegressor,3,2,lbfgs,distance,0.20886287425018246
relu,brute,11,poisson,0,0,0,0,0,0,0,1,9,constant,86,auto,20,9,nnRegressor,7,1,sgd,uniform,-0.01502120154702169
logistic,ball_tree,14,mse,1,0,1,1,1,1,1,1,21,invscaling,29,sqrt,16,6,kneighborsRegressor,5,6,adam,uniform,0.7893343389558254
identity,ball_tree,27,poisson,0,0,1,0,1,1,0,0,14,constant,69,auto,17,11,kneighborsRegressor,9,8,lbfgs,distance,0.3282035853758286
relu,kd_tree,29,poisson,1,1,0,0,0,1,1,0,5,invscaling,51,sqrt,8,6,kneighborsRegressor,5,8,lbfgs,uniform,-0.030194536611904743
logistic,ball_tree,9,poisson,1,1,1,0,0,0,0,0,3,adaptive,23,log2,19,31,kneighborsRegressor,3,3,sgd,distance,0.11895960874753009
relu,kd_tree,28,mae,1,0,1,1,0,1,0,0,39,invscaling,42,log2,2,28,nnRegressor,4,6,lbfgs,uniform,0.36918582035974645
logistic,kd_tree,18,mae,0,1,1,1,1,1,1,0,36,constant,87,log2,5,36,kneighborsRegressor,2,8,lbfgs,distance,0.6588140723517772
relu,brute,26,mae,1,1,0,1,0,1,0,1,21,adaptive,2,sqrt,11,2,kneighborsRegressor,3,1,sgd,uniform,-0.6953452939033842
identity,ball_tree,13,mae,1,1,1,1,0,0,0,1,21,constant,59,sqrt,16,20,randomForestRegressor,3,10,sgd,distance,0.3338781374778258
logistic,auto,20,mae,1,0,0,1,1,0,1,1,22,adaptive,60,log2,18,40,kneighborsRegressor,3,4,adam,uniform,0.05349600880352323
identity,auto,20,poisson,0,1,0,1,1,0,1,1,2,constant,23,sqrt,3,25,nnRegressor,7,2,lbfgs,distance,0.092677144960157
relu,kd_tree,28,mse,1,0,1,0,0,0,1,1,3,invscaling,53,auto,6,40,nnRegressor,8,2,lbfgs,uniform,0.29890324466267615
tanh,kd_tree,16,mae,1,0,1,1,0,0,1,0,34,invscaling,45,auto,11,8,kneighborsRegressor,7,8,adam,distance,0.3026264835930609
identity,auto,25,poisson,0,1,0,0,1,0,0,1,23,adaptive,82,log2,4,38,kneighborsRegressor,6,10,adam,uniform,0.005331986604156791
relu,ball_tree,13,mse,0,1,1,1,1,0,1,0,31,invscaling,7,auto,14,35,randomForestRegressor,3,2,adam,distance,0.434115602851875
tanh,auto,19,poisson,0,0,0,0,0,1,1,1,22,constant,94,log2,19,17,nnRegressor,4,3,sgd,distance,0.0670551453285475
tanh,auto,21,mae,0,1,0,1,1,1,1,0,12,invscaling,23,log2,11,10,kneighborsRegressor,4,3,adam,distance,0.174985716188795
logistic,brute,12,poisson,1,0,1,1,1,0,0,1,27,adaptive,40,auto,13,13,randomForestRegressor,2,6,adam,uniform,0.33125051958449203
