activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,brute,21,mse,1,1,0,0,0,1,1,1,18,constant,44,log2,5,38,kneighborsRegressor,9,2,sgd,distance,-0.31915852909430753
tanh,kd_tree,16,poisson,1,0,0,1,1,1,1,0,18,invscaling,66,log2,9,9,nnRegressor,3,5,adam,distance,0.3743158365014333
identity,auto,21,mse,0,1,0,1,1,1,0,1,24,constant,25,log2,15,26,nnRegressor,8,6,sgd,uniform,0.09297144185373551
identity,brute,15,poisson,1,1,1,0,1,0,0,1,14,invscaling,2,auto,18,40,kneighborsRegressor,4,8,sgd,uniform,0.3381705654481849
tanh,ball_tree,21,poisson,1,0,1,0,1,0,1,1,13,invscaling,10,auto,3,16,nnRegressor,7,5,sgd,uniform,0.33247884290992846
relu,brute,13,poisson,1,1,0,1,0,1,0,0,5,constant,37,log2,13,19,nnRegressor,5,3,adam,uniform,0.06898467199735403
tanh,brute,13,poisson,0,1,0,0,0,0,1,1,3,constant,81,auto,8,10,randomForestRegressor,7,4,sgd,distance,0.014036993341315362
relu,ball_tree,15,mae,0,1,0,1,0,0,0,1,16,constant,44,sqrt,9,10,kneighborsRegressor,10,10,lbfgs,distance,-0.07055566315623873
logistic,ball_tree,20,poisson,1,1,0,1,1,0,1,0,16,constant,42,auto,9,16,nnRegressor,2,5,lbfgs,uniform,0.13653015494836318
tanh,auto,25,mae,0,0,1,0,0,0,0,1,34,invscaling,35,sqrt,6,34,nnRegressor,6,6,adam,distance,0.19468201383947004
identity,brute,11,mse,0,0,0,0,0,0,0,0,20,constant,11,sqrt,4,35,kneighborsRegressor,7,1,adam,distance,0
logistic,auto,20,mse,0,1,0,1,1,0,0,1,33,invscaling,25,log2,4,21,randomForestRegressor,4,4,lbfgs,distance,0.08882363293624274
tanh,brute,22,poisson,1,0,0,0,1,0,0,1,28,constant,38,auto,8,14,randomForestRegressor,6,3,lbfgs,distance,0.08155824462994077
identity,auto,32,mse,1,1,1,0,1,0,0,0,26,constant,29,log2,2,12,nnRegressor,9,10,sgd,uniform,0.3248693375915783
tanh,ball_tree,32,mse,1,1,0,1,1,0,1,1,16,invscaling,90,log2,15,11,randomForestRegressor,4,1,sgd,distance,0.2302110859882166
tanh,kd_tree,24,mae,0,1,1,1,1,1,0,1,34,invscaling,44,auto,13,19,randomForestRegressor,2,10,lbfgs,distance,0.46472767953400906
tanh,kd_tree,30,mae,1,1,0,1,0,0,1,1,29,adaptive,69,auto,9,25,randomForestRegressor,9,1,lbfgs,uniform,0.14514975937035168
identity,ball_tree,19,mse,1,1,0,0,0,0,0,0,3,adaptive,20,auto,8,18,nnRegressor,3,1,sgd,uniform,0.020610454883833174
relu,auto,15,mse,0,1,1,1,0,1,1,0,2,invscaling,78,log2,12,8,randomForestRegressor,7,5,lbfgs,uniform,0.4375799561892961
logistic,kd_tree,8,poisson,0,0,0,1,0,1,1,1,30,adaptive,61,sqrt,14,31,randomForestRegressor,4,10,sgd,uniform,0.1749227245518178
identity,auto,14,mae,0,0,1,0,1,1,1,1,28,adaptive,75,sqrt,10,33,kneighborsRegressor,10,9,sgd,uniform,0.6323029737123815
logistic,ball_tree,19,mse,1,0,1,1,0,0,1,1,23,adaptive,30,log2,3,30,randomForestRegressor,2,5,lbfgs,distance,0.3688321523059379
tanh,ball_tree,25,poisson,0,0,1,0,0,1,0,1,33,constant,64,sqrt,9,27,kneighborsRegressor,9,5,lbfgs,distance,0.12759851010814016
identity,brute,29,mae,1,1,1,0,1,0,1,0,8,adaptive,76,auto,16,35,kneighborsRegressor,3,7,sgd,distance,0.32966616927902714
relu,ball_tree,17,mae,1,0,0,0,1,1,1,0,14,invscaling,90,auto,2,35,kneighborsRegressor,9,2,lbfgs,uniform,-0.11175526667846625
identity,brute,24,mae,1,1,1,1,1,0,1,0,17,constant,84,log2,12,38,nnRegressor,1,5,lbfgs,distance,0.3748966782855754
identity,brute,26,poisson,0,1,1,1,0,1,0,1,33,invscaling,91,auto,10,4,nnRegressor,6,10,lbfgs,uniform,0.25785469208581535
identity,ball_tree,25,mse,1,1,1,0,1,1,1,1,22,constant,38,log2,2,23,kneighborsRegressor,8,1,lbfgs,uniform,0.3468261449650999
identity,ball_tree,22,poisson,0,1,1,1,0,1,1,0,7,constant,3,auto,15,7,randomForestRegressor,5,4,lbfgs,uniform,0.007188169254691901
logistic,brute,12,mse,0,1,0,1,1,0,0,0,21,constant,62,auto,12,35,randomForestRegressor,5,10,adam,distance,0.0832869960653958
logistic,brute,13,mae,0,0,0,1,0,0,0,0,23,constant,52,sqrt,11,12,kneighborsRegressor,1,8,sgd,uniform,-0.13241559767978028
logistic,auto,31,mae,1,0,0,0,0,0,0,0,12,adaptive,66,sqrt,19,16,nnRegressor,4,2,lbfgs,uniform,0.02278196834160784
logistic,ball_tree,14,poisson,0,1,1,0,0,0,1,0,7,invscaling,4,log2,5,33,kneighborsRegressor,8,9,sgd,uniform,0.18686220775735385
identity,auto,21,mse,1,1,0,1,0,0,0,0,25,adaptive,10,auto,2,10,randomForestRegressor,9,4,adam,distance,0.024107841474266367
identity,ball_tree,21,mae,0,0,1,0,1,0,0,1,33,adaptive,11,log2,6,15,randomForestRegressor,2,10,sgd,distance,0.3365590631060198
tanh,kd_tree,11,poisson,0,0,0,0,1,1,0,0,37,adaptive,22,sqrt,9,13,nnRegressor,8,6,sgd,distance,0.11336567371541817
identity,kd_tree,29,mse,1,1,1,0,1,0,1,0,13,constant,19,log2,8,35,nnRegressor,8,7,sgd,uniform,0.3563439465237639
relu,ball_tree,27,mae,1,0,1,0,0,0,0,0,17,invscaling,20,sqrt,2,30,nnRegressor,6,3,sgd,distance,0.1774661830740989
logistic,brute,19,mse,0,1,0,1,1,0,1,1,4,adaptive,42,log2,13,30,nnRegressor,7,10,lbfgs,uniform,0.22259582793845034
identity,auto,29,mse,1,0,1,1,1,0,1,1,18,constant,71,log2,10,25,randomForestRegressor,8,5,lbfgs,uniform,0.4793494718048924
logistic,brute,25,poisson,0,0,0,1,1,0,0,0,34,constant,75,log2,17,37,nnRegressor,5,9,lbfgs,uniform,0.09290282676924178
identity,ball_tree,25,poisson,1,0,1,0,0,1,0,0,12,constant,64,auto,7,12,randomForestRegressor,7,3,sgd,uniform,0.23795098059607822
identity,ball_tree,29,mae,1,0,1,0,1,0,1,0,30,constant,51,log2,19,22,randomForestRegressor,5,7,adam,distance,0.3818298113593629
logistic,auto,11,poisson,0,1,1,1,1,1,0,0,23,constant,38,sqrt,7,13,nnRegressor,1,5,sgd,uniform,0.002874223076843929
identity,ball_tree,31,mae,0,1,1,1,1,1,0,0,13,constant,49,auto,19,17,randomForestRegressor,8,7,lbfgs,distance,0.4123739313711289
logistic,kd_tree,11,mae,1,0,0,1,1,1,0,0,19,constant,95,auto,12,22,nnRegressor,3,6,lbfgs,distance,0.12974865147797254
relu,brute,20,mae,0,0,1,0,1,1,0,1,4,invscaling,69,sqrt,5,5,kneighborsRegressor,10,3,lbfgs,uniform,0.17878499728082387
tanh,kd_tree,21,mse,1,0,1,1,0,0,1,0,12,constant,62,sqrt,12,31,randomForestRegressor,2,4,sgd,uniform,0.3355782634143606
logistic,kd_tree,16,poisson,0,1,1,1,0,1,1,1,33,adaptive,59,auto,10,9,nnRegressor,8,10,adam,distance,0.5159418464119093
tanh,brute,16,poisson,1,0,0,0,1,1,1,1,26,adaptive,13,sqrt,9,36,kneighborsRegressor,5,10,adam,distance,0.2777238689257733
relu,kd_tree,20,poisson,1,0,1,0,1,0,1,1,20,invscaling,12,auto,8,31,nnRegressor,4,2,sgd,distance,0.1925577618084109
logistic,kd_tree,26,poisson,0,0,0,0,1,1,1,1,30,constant,82,log2,11,9,kneighborsRegressor,8,1,sgd,uniform,-0.3093350813050646
relu,brute,25,mae,1,1,1,0,0,1,1,1,32,invscaling,65,sqrt,19,21,randomForestRegressor,6,5,adam,uniform,0.3665718292479413
relu,auto,32,mse,1,0,1,1,1,1,0,0,39,constant,92,log2,15,31,nnRegressor,9,3,lbfgs,uniform,0.39722831229832045
relu,brute,16,mae,0,0,1,0,1,1,1,1,24,adaptive,67,log2,9,16,kneighborsRegressor,4,10,lbfgs,uniform,0.6358120041915916
relu,brute,12,poisson,0,1,0,1,0,1,0,1,9,invscaling,8,sqrt,9,31,randomForestRegressor,5,6,lbfgs,distance,0.004270500150604151
logistic,ball_tree,21,mae,1,0,0,0,0,0,0,0,11,constant,44,sqrt,4,22,kneighborsRegressor,2,9,adam,distance,-0.2792871679684126
relu,kd_tree,30,mae,1,0,0,0,0,0,1,0,33,invscaling,49,sqrt,20,14,kneighborsRegressor,4,8,sgd,uniform,-0.08963515847860282
tanh,kd_tree,32,mse,1,0,1,0,1,0,1,1,23,invscaling,30,auto,8,21,nnRegressor,3,3,adam,uniform,0.43266803617619876
identity,ball_tree,24,mse,1,0,0,1,0,1,0,1,16,adaptive,5,auto,14,28,randomForestRegressor,1,8,sgd,uniform,0.10773509108854984
relu,brute,25,poisson,1,1,1,0,1,0,0,0,40,invscaling,99,log2,7,29,kneighborsRegressor,4,1,sgd,distance,-0.17883591157865952
identity,kd_tree,18,poisson,0,0,0,1,0,0,0,0,9,adaptive,73,auto,4,10,randomForestRegressor,7,10,adam,distance,-0.14363454088953342
logistic,auto,12,mse,1,1,1,1,1,0,1,1,34,invscaling,49,log2,17,20,kneighborsRegressor,9,3,lbfgs,distance,0.4728070670120552
logistic,kd_tree,31,mse,1,0,0,0,0,0,0,1,35,constant,12,log2,19,38,randomForestRegressor,10,3,adam,distance,0.02638015009732031
logistic,auto,22,mse,0,1,0,0,0,0,0,0,23,constant,12,log2,8,27,kneighborsRegressor,1,7,sgd,distance,-0.3192122320892119
