activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,brute,16,entropy,1,1,1,24,invscaling,91,sqrt,17,26,nnClassifier,3,10,adam,distance,0.9465648854961832
logistic,kd_tree,13,entropy,0,1,1,10,adaptive,73,sqrt,12,5,nnClassifier,7,1,sgd,distance,0.9520174482006543
logistic,auto,24,entropy,1,1,1,4,constant,48,log2,9,12,nnClassifier,4,1,adam,distance,0.9520174482006543
identity,ball_tree,28,entropy,1,0,0,21,constant,72,log2,9,37,nnClassifier,8,9,sgd,uniform,0.9520174482006543
relu,auto,10,entropy,0,1,0,16,invscaling,29,sqrt,6,13,nnClassifier,6,1,sgd,uniform,0.9520174482006543
identity,kd_tree,21,gini,1,0,1,8,invscaling,10,auto,2,32,kneighborsClassifier,10,6,adam,distance,0.9487459105779716
relu,ball_tree,8,entropy,0,0,1,24,invscaling,27,log2,3,12,kneighborsClassifier,9,5,adam,uniform,0.9574700109051254
identity,kd_tree,28,gini,1,0,0,6,constant,72,sqrt,3,24,nnClassifier,1,9,adam,distance,0.9520174482006543
identity,brute,24,gini,0,1,1,38,invscaling,36,log2,2,31,nnClassifier,10,10,sgd,uniform,0.9487459105779716
logistic,ball_tree,12,entropy,1,0,1,29,adaptive,6,sqrt,2,9,kneighborsClassifier,5,9,lbfgs,uniform,0.9585605234460196
relu,ball_tree,28,entropy,0,0,0,14,invscaling,69,log2,20,14,kneighborsClassifier,9,8,sgd,uniform,0
relu,ball_tree,28,entropy,0,1,1,27,invscaling,77,log2,20,36,nnClassifier,5,8,adam,uniform,0.9432933478735005
relu,brute,8,entropy,1,0,1,11,constant,94,auto,15,18,randomForestClassifier,9,6,sgd,uniform,0.9585605234460196
tanh,auto,31,gini,0,1,0,3,adaptive,21,log2,14,20,nnClassifier,7,5,adam,distance,0.9520174482006543
tanh,auto,30,gini,0,0,1,29,adaptive,49,log2,11,25,nnClassifier,1,5,lbfgs,uniform,0.9498364231188658
tanh,ball_tree,8,gini,0,1,1,10,constant,24,sqrt,7,8,randomForestClassifier,6,2,adam,uniform,0.9585605234460196
identity,ball_tree,29,gini,0,0,1,22,constant,12,log2,16,7,nnClassifier,9,4,sgd,distance,0.9443838604143948
tanh,auto,12,gini,1,0,0,26,adaptive,53,auto,4,20,randomForestClassifier,8,8,lbfgs,distance,0.9585605234460196
tanh,auto,12,entropy,0,1,0,15,invscaling,90,sqrt,6,27,nnClassifier,2,2,adam,distance,0.9520174482006543
logistic,auto,9,gini,1,0,0,25,constant,49,auto,12,12,kneighborsClassifier,7,6,sgd,uniform,0.9585605234460196
relu,kd_tree,25,entropy,0,0,0,12,invscaling,1,log2,9,30,randomForestClassifier,9,8,sgd,distance,0
relu,kd_tree,11,entropy,0,1,1,27,invscaling,66,sqrt,6,29,kneighborsClassifier,1,8,adam,uniform,0.9585605234460196
tanh,brute,30,entropy,0,0,1,8,adaptive,46,sqrt,16,24,kneighborsClassifier,4,1,adam,uniform,0.925845147219193
logistic,ball_tree,9,gini,1,0,1,28,invscaling,69,sqrt,9,4,kneighborsClassifier,9,10,adam,uniform,0.9585605234460196
tanh,auto,13,entropy,1,0,1,36,invscaling,9,log2,14,25,kneighborsClassifier,7,7,lbfgs,distance,0.9498364231188658
relu,kd_tree,11,entropy,1,1,1,30,constant,54,log2,4,16,kneighborsClassifier,7,6,lbfgs,distance,0.955288985823337
logistic,brute,8,entropy,0,1,0,12,constant,79,sqrt,14,14,kneighborsClassifier,5,4,adam,uniform,0.9585605234460196
logistic,brute,14,gini,1,1,1,20,invscaling,70,auto,2,28,nnClassifier,10,1,adam,distance,0.9476553980370774
tanh,auto,27,gini,1,1,1,22,adaptive,96,sqrt,2,39,kneighborsClassifier,5,2,adam,uniform,0.9541984732824428
tanh,brute,9,gini,1,0,0,19,adaptive,3,auto,6,30,nnClassifier,3,5,sgd,uniform,0.9520174482006543
tanh,ball_tree,26,entropy,0,1,0,29,constant,98,sqrt,7,22,nnClassifier,3,4,lbfgs,uniform,0.9520174482006543
relu,kd_tree,11,entropy,0,1,1,9,invscaling,81,sqrt,20,25,nnClassifier,1,10,sgd,uniform,0.9520174482006543
tanh,auto,12,gini,1,0,1,24,constant,90,sqrt,11,32,nnClassifier,9,5,sgd,distance,0.95092693565976
identity,ball_tree,17,entropy,1,1,1,29,adaptive,24,sqrt,6,25,nnClassifier,1,8,adam,uniform,0.9465648854961832
