activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,auto,32,gini,1,0,1,1,0,0,1,0,37,invscaling,86,sqrt,13,33,nnClassifier,6,9,adam,distance,0.5763125763125763
relu,auto,32,entropy,0,1,1,1,0,0,0,1,33,constant,42,log2,14,14,nnClassifier,9,6,sgd,distance,0.5995115995115995
tanh,auto,14,entropy,0,1,0,0,1,0,0,0,9,constant,5,auto,16,34,randomForestClassifier,7,5,lbfgs,uniform,0.7435897435897436
logistic,auto,14,entropy,0,0,0,1,0,0,0,0,38,invscaling,76,sqrt,5,26,kneighborsClassifier,9,6,lbfgs,uniform,0.49694749694749696
logistic,auto,24,gini,0,1,1,0,1,0,1,0,19,constant,32,log2,11,19,randomForestClassifier,8,10,adam,distance,0.7423687423687424
logistic,brute,23,entropy,1,1,1,1,1,1,1,0,20,adaptive,20,auto,12,24,nnClassifier,5,10,lbfgs,distance,0.5115995115995116
tanh,kd_tree,11,entropy,1,0,1,1,0,1,0,1,26,constant,17,log2,4,23,nnClassifier,6,8,adam,distance,0.5555555555555556
identity,auto,26,gini,0,1,0,0,1,0,0,1,38,constant,8,sqrt,7,4,randomForestClassifier,5,3,lbfgs,distance,0.7448107448107448
relu,kd_tree,20,gini,0,0,1,1,1,0,0,0,29,invscaling,36,auto,12,23,kneighborsClassifier,7,1,adam,distance,0.6654456654456654
relu,ball_tree,17,entropy,0,1,0,0,0,1,1,0,26,adaptive,28,log2,14,14,nnClassifier,10,4,adam,distance,0.5470085470085471
relu,kd_tree,10,gini,1,1,1,0,0,0,0,0,24,invscaling,14,auto,2,35,randomForestClassifier,2,5,adam,uniform,0.5873015873015873
identity,brute,22,gini,0,0,1,1,0,1,0,0,33,constant,37,sqrt,13,23,randomForestClassifier,6,1,sgd,uniform,0.8095238095238095
