activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,kd_tree,20,entropy,0,1,1,0,1,0,0,1,24,constant,76,sqrt,2,15,nnClassifier,8,3,adam,uniform,0.5274725274725275
tanh,auto,23,entropy,1,1,0,1,0,0,0,1,20,adaptive,12,log2,19,31,randomForestClassifier,2,10,sgd,uniform,0.5995115995115995
logistic,ball_tree,8,gini,1,1,0,1,1,1,0,0,9,constant,84,log2,17,19,randomForestClassifier,4,10,adam,uniform,0.927960927960928
tanh,brute,14,entropy,0,1,1,0,1,1,1,0,16,constant,7,log2,16,4,kneighborsClassifier,5,8,adam,distance,0.9352869352869353
relu,kd_tree,11,gini,1,1,0,0,0,0,1,0,12,constant,50,auto,16,29,randomForestClassifier,3,3,adam,distance,0.6056166056166056
tanh,brute,20,entropy,0,0,1,0,0,0,0,0,32,adaptive,42,log2,8,3,nnClassifier,3,3,sgd,distance,0.5811965811965812
logistic,brute,19,gini,0,0,0,1,0,1,0,0,8,adaptive,16,auto,14,11,nnClassifier,1,1,lbfgs,distance,0.49572649572649574
tanh,kd_tree,32,entropy,0,1,1,1,0,0,0,0,30,invscaling,50,sqrt,10,22,kneighborsClassifier,5,9,adam,uniform,0.557997557997558
logistic,ball_tree,32,entropy,0,0,1,0,1,1,0,1,19,constant,79,log2,6,14,kneighborsClassifier,7,1,lbfgs,distance,0.9047619047619048
logistic,ball_tree,19,gini,1,1,0,1,0,1,0,1,40,adaptive,72,log2,11,25,kneighborsClassifier,5,9,lbfgs,uniform,0.7619047619047619
relu,ball_tree,31,gini,0,0,0,1,0,1,1,1,38,invscaling,91,log2,17,40,kneighborsClassifier,5,2,adam,uniform,0.6703296703296703
tanh,ball_tree,26,gini,1,1,0,0,1,0,0,0,25,adaptive,67,log2,4,35,nnClassifier,1,4,sgd,uniform,0.5286935286935287
identity,auto,30,gini,0,1,0,0,0,0,1,1,28,adaptive,5,auto,2,11,nnClassifier,6,8,sgd,uniform,0.5824175824175825
tanh,brute,20,entropy,0,1,0,0,0,1,1,1,29,constant,26,sqrt,9,27,randomForestClassifier,5,2,lbfgs,uniform,0.7765567765567766
logistic,brute,24,entropy,0,0,1,1,0,1,0,1,27,adaptive,87,sqrt,2,31,nnClassifier,8,7,adam,uniform,0.5018315018315018
logistic,brute,15,entropy,1,1,1,0,1,1,1,1,16,constant,23,log2,4,24,randomForestClassifier,6,4,lbfgs,distance,0.9462759462759462
tanh,kd_tree,16,gini,1,0,1,1,0,0,1,1,38,adaptive,61,sqrt,4,30,randomForestClassifier,2,7,sgd,distance,0.6117216117216118
tanh,kd_tree,13,entropy,1,1,0,1,0,1,1,1,24,invscaling,22,log2,16,14,randomForestClassifier,6,2,lbfgs,uniform,0.7851037851037851
identity,auto,12,gini,0,0,1,1,0,1,0,1,22,constant,19,log2,7,31,kneighborsClassifier,4,6,sgd,uniform,0.7521367521367521
identity,auto,16,entropy,1,0,0,0,0,0,1,1,34,invscaling,55,log2,9,35,randomForestClassifier,3,3,lbfgs,uniform,0.5934065934065934
relu,kd_tree,13,entropy,0,0,0,0,1,0,1,1,37,constant,26,auto,15,35,kneighborsClassifier,8,3,sgd,uniform,0.7106227106227107
tanh,auto,24,gini,1,1,1,1,0,0,0,0,25,invscaling,8,sqrt,4,27,nnClassifier,7,7,adam,distance,0.5811965811965812
identity,auto,24,gini,0,1,0,1,1,0,0,1,22,invscaling,30,log2,17,13,nnClassifier,5,4,lbfgs,uniform,0.5164835164835165
logistic,auto,15,gini,0,1,0,1,1,0,0,0,26,constant,87,log2,4,12,randomForestClassifier,7,8,sgd,uniform,0.7545787545787546
identity,kd_tree,11,gini,0,0,1,0,0,0,0,1,21,adaptive,55,log2,15,8,kneighborsClassifier,3,8,adam,uniform,0.5543345543345544
tanh,brute,8,gini,0,1,1,1,1,1,0,1,23,constant,84,auto,13,34,kneighborsClassifier,10,1,adam,uniform,0.9157509157509157
tanh,brute,27,entropy,0,1,1,0,1,1,1,1,30,constant,12,log2,11,38,kneighborsClassifier,1,4,sgd,uniform,0.9340659340659341
tanh,brute,32,entropy,1,1,1,1,0,0,1,1,12,invscaling,62,log2,10,8,randomForestClassifier,9,2,sgd,distance,0.6214896214896215
logistic,ball_tree,15,gini,1,1,0,0,0,1,0,0,22,constant,1,auto,18,11,nnClassifier,6,2,sgd,uniform,0.5018315018315018
tanh,brute,9,gini,0,1,1,0,1,1,1,0,8,constant,75,auto,5,24,randomForestClassifier,2,6,sgd,distance,0.9462759462759462
tanh,ball_tree,18,gini,1,0,1,1,0,0,1,0,24,constant,1,sqrt,10,6,randomForestClassifier,8,6,adam,uniform,0.6251526251526252
relu,ball_tree,13,gini,1,1,0,1,1,1,1,0,31,constant,48,auto,13,13,kneighborsClassifier,3,3,lbfgs,distance,0.927960927960928
identity,auto,14,entropy,1,1,0,0,0,0,0,1,38,invscaling,32,auto,18,25,randomForestClassifier,3,10,lbfgs,distance,0.5860805860805861
identity,kd_tree,24,gini,1,0,1,1,1,0,0,0,34,constant,50,auto,18,27,randomForestClassifier,1,8,adam,uniform,0.7765567765567766
tanh,ball_tree,9,gini,0,1,1,1,0,0,1,1,15,constant,22,log2,8,20,kneighborsClassifier,1,7,sgd,uniform,0.5665445665445665
relu,kd_tree,32,entropy,1,0,0,1,0,1,0,0,12,invscaling,69,sqrt,14,16,randomForestClassifier,5,6,sgd,distance,0.7826617826617827
relu,brute,14,entropy,0,0,0,0,0,0,0,0,4,adaptive,65,log2,8,22,kneighborsClassifier,9,1,lbfgs,distance,0
tanh,brute,32,gini,0,0,1,1,0,0,0,0,8,adaptive,30,log2,5,37,nnClassifier,1,7,sgd,uniform,0.5811965811965812
identity,brute,15,gini,0,0,1,0,0,0,0,0,21,invscaling,100,log2,8,28,nnClassifier,4,3,lbfgs,uniform,0.5811965811965812
relu,ball_tree,18,gini,1,1,0,1,1,0,0,0,39,constant,99,sqrt,10,33,kneighborsClassifier,10,1,adam,distance,0.6324786324786325
identity,brute,27,entropy,1,1,1,1,1,1,0,1,17,adaptive,93,log2,7,4,kneighborsClassifier,4,5,lbfgs,uniform,0.927960927960928
relu,ball_tree,13,entropy,0,1,1,1,0,1,0,1,5,constant,91,log2,13,23,nnClassifier,10,6,lbfgs,uniform,0.49572649572649574
tanh,kd_tree,14,gini,1,1,1,1,0,0,1,1,36,adaptive,3,sqrt,16,8,randomForestClassifier,4,3,sgd,distance,0.6239316239316239
logistic,auto,20,entropy,0,0,1,1,0,1,0,1,8,adaptive,94,log2,16,15,kneighborsClassifier,4,3,adam,uniform,0.7362637362637363
relu,ball_tree,32,entropy,1,1,1,1,1,0,0,1,31,constant,35,sqrt,2,22,kneighborsClassifier,5,6,sgd,distance,0.7142857142857143
tanh,kd_tree,20,gini,1,1,1,0,1,0,0,0,9,adaptive,48,sqrt,10,7,nnClassifier,9,2,sgd,uniform,0.5262515262515263
