activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,kd_tree,8,entropy,0,0,1,10,adaptive,13,sqrt,8,23,randomForestClassifier,6,7,sgd,distance,0.9565646594274433
tanh,brute,22,gini,1,1,0,35,adaptive,100,auto,13,23,kneighborsClassifier,1,8,adam,uniform,0.9545903257650543
identity,brute,20,gini,1,1,0,12,constant,11,sqrt,9,26,kneighborsClassifier,4,2,adam,uniform,0.9516288252714709
identity,brute,31,gini,0,0,0,35,adaptive,96,sqrt,16,20,kneighborsClassifier,5,1,sgd,distance,0.0
tanh,auto,25,entropy,0,1,0,34,invscaling,84,auto,10,31,nnClassifier,9,8,adam,uniform,0.9595261599210266
logistic,auto,32,gini,1,0,1,19,invscaling,72,log2,4,6,kneighborsClassifier,5,3,adam,uniform,0.9545903257650543
relu,ball_tree,19,gini,0,0,0,24,invscaling,21,sqrt,13,26,nnClassifier,6,6,lbfgs,distance,0.0
identity,brute,20,gini,1,1,0,23,constant,92,auto,5,37,nnClassifier,7,4,adam,distance,0.9595261599210266
logistic,auto,15,gini,1,0,0,13,invscaling,49,log2,20,33,kneighborsClassifier,2,7,sgd,uniform,0.9545903257650543
relu,auto,19,gini,1,1,0,24,invscaling,36,auto,6,20,kneighborsClassifier,3,9,adam,uniform,0.9545903257650543
logistic,ball_tree,32,gini,0,1,1,6,adaptive,52,auto,8,11,kneighborsClassifier,5,1,lbfgs,uniform,0.9378084896347483
logistic,kd_tree,9,entropy,0,1,1,32,constant,47,auto,20,15,randomForestClassifier,1,7,lbfgs,distance,0.9585389930898321
relu,brute,32,entropy,0,1,1,13,adaptive,26,sqrt,14,31,randomForestClassifier,5,2,adam,uniform,0.9575518262586377
identity,auto,16,entropy,1,0,1,27,constant,40,sqrt,2,30,kneighborsClassifier,4,6,adam,uniform,0.9545903257650543
identity,ball_tree,31,entropy,1,0,0,8,adaptive,6,log2,7,15,nnClassifier,9,7,lbfgs,uniform,0.9595261599210266
logistic,auto,9,gini,0,0,1,32,invscaling,97,sqrt,5,34,kneighborsClassifier,9,3,sgd,distance,0.945705824284304
logistic,auto,22,gini,0,0,0,29,invscaling,28,sqrt,16,19,kneighborsClassifier,4,4,sgd,distance,0.0
relu,kd_tree,22,entropy,0,1,0,33,invscaling,88,auto,2,32,randomForestClassifier,1,9,adam,uniform,0.9545903257650543
logistic,auto,20,gini,1,1,1,4,constant,41,sqrt,10,23,nnClassifier,4,6,lbfgs,distance,0.9378084896347483
logistic,kd_tree,27,entropy,0,0,1,2,adaptive,3,auto,2,37,kneighborsClassifier,1,7,sgd,distance,0.9506416584402764
tanh,auto,25,entropy,0,1,0,34,invscaling,84,auto,10,31,nnClassifier,9,8,adam,uniform,0.9595261599210266
identity,brute,20,gini,1,1,0,23,constant,92,auto,5,37,nnClassifier,7,4,adam,distance,0.9595261599210266
identity,ball_tree,31,entropy,1,0,0,8,adaptive,6,log2,7,15,nnClassifier,9,7,lbfgs,uniform,0.9595261599210266
logistic,kd_tree,9,entropy,0,1,1,32,constant,47,auto,20,15,randomForestClassifier,1,7,lbfgs,distance,0.9585389930898321
relu,brute,32,entropy,0,1,1,13,adaptive,26,sqrt,14,31,randomForestClassifier,5,2,adam,uniform,0.9575518262586377
tanh,kd_tree,8,entropy,0,0,1,10,adaptive,13,sqrt,8,23,randomForestClassifier,6,7,sgd,distance,0.9565646594274433
tanh,brute,22,gini,1,1,0,35,adaptive,100,auto,13,23,kneighborsClassifier,1,8,adam,uniform,0.9545903257650543
logistic,auto,32,gini,1,0,1,19,invscaling,72,log2,4,6,kneighborsClassifier,5,3,adam,uniform,0.9545903257650543
logistic,auto,15,gini,1,0,0,13,invscaling,49,log2,20,33,kneighborsClassifier,2,7,sgd,uniform,0.9545903257650543
relu,auto,19,gini,1,1,0,24,invscaling,36,auto,6,20,kneighborsClassifier,3,9,adam,uniform,0.9545903257650543
tanh,auto,25,entropy,0,1,1,34,constant,92,auto,5,37,nnClassifier,7,4,lbfgs,distance,0.9368213228035538
identity,brute,20,gini,1,1,0,23,adaptive,6,log2,7,15,nnClassifier,9,7,lbfgs,uniform,0.9595261599210266
identity,ball_tree,31,entropy,1,0,0,8,constant,47,auto,20,15,randomForestClassifier,1,7,lbfgs,distance,0.9545903257650543
logistic,kd_tree,9,entropy,0,1,1,32,adaptive,26,sqrt,14,31,randomForestClassifier,5,2,adam,uniform,0.9575518262586377
relu,brute,32,entropy,0,1,1,13,adaptive,13,sqrt,8,23,randomForestClassifier,6,2,sgd,distance,0.9575518262586377
tanh,kd_tree,8,entropy,0,0,1,10,adaptive,100,auto,4,23,kneighborsClassifier,1,8,adam,uniform,0.9565646594274433
tanh,brute,29,gini,1,1,0,35,invscaling,72,log2,4,6,kneighborsClassifier,5,3,adam,uniform,0.9536031589338598
logistic,auto,32,gini,1,0,0,19,invscaling,49,log2,20,33,kneighborsClassifier,2,7,sgd,uniform,0.9545903257650543
logistic,auto,15,gini,1,0,0,13,invscaling,36,auto,6,20,kneighborsClassifier,3,9,adam,uniform,0.9545903257650543
relu,auto,19,gini,1,1,0,24,invscaling,84,auto,10,31,nnClassifier,9,8,lbfgs,uniform,0.9595261599210266
tanh,auto,25,entropy,0,1,0,34,invscaling,84,auto,10,31,nnClassifier,9,8,adam,uniform,0.9595261599210266
identity,brute,20,gini,1,1,0,23,constant,92,auto,5,37,nnClassifier,7,4,adam,distance,0.9595261599210266
identity,ball_tree,31,entropy,1,0,0,8,adaptive,6,log2,7,15,nnClassifier,9,7,lbfgs,uniform,0.9595261599210266
identity,brute,20,gini,1,1,0,23,adaptive,6,log2,7,15,nnClassifier,9,7,lbfgs,uniform,0.9595261599210266
relu,auto,19,gini,1,1,0,24,invscaling,84,auto,10,31,nnClassifier,9,8,lbfgs,uniform,0.9595261599210266
logistic,kd_tree,9,entropy,0,1,1,32,constant,47,auto,20,15,randomForestClassifier,1,7,lbfgs,distance,0.9585389930898321
relu,brute,32,entropy,0,1,1,13,adaptive,26,sqrt,14,31,randomForestClassifier,5,2,adam,uniform,0.9575518262586377
