,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,kneighborsClassifier,None,brute,None,None,15,None,None,None,None,None,None,4,None,uniform,0.5225885225885226,ok,0.37184938602149487
1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,19.0,log2,3.0,19.0,None,None,None,None,0.5103785103785103,ok,6.163218870060518
2,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,kneighborsClassifier,None,ball_tree,None,None,16,None,None,None,None,None,None,4,None,distance,0.4884004884004884,ok,6.226567967096344
3,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,94.0,sqrt,9.0,12.0,None,None,None,None,0.8705738705738706,ok,8.776052176952362
4,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,nnClassifier,identity,None,18.0,None,None,constant,None,None,None,None,2.0,None,sgd,None,0.4456654456654457,ok,14.21972273197025
5,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,kneighborsClassifier,None,auto,None,None,20,None,None,None,None,None,None,5,None,uniform,0.48595848595848595,ok,14.44337711809203
6,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,nnClassifier,tanh,None,26.0,None,None,adaptive,None,None,None,None,10.0,None,sgd,None,0.4908424908424908,ok,31.821624299045652
7,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,nnClassifier,identity,None,10.0,None,None,constant,None,None,None,None,5.0,None,adam,None,0.4810744810744811,ok,43.16690579801798
8,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,88.0,auto,4.0,30.0,None,None,None,None,0.5238095238095238,ok,48.02879137801938
9,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,39.0,log2,12.0,4.0,None,None,None,None,0.49572649572649574,ok,50.86641855794005
10,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,nnClassifier,logistic,None,30.0,None,None,constant,None,None,None,None,5.0,None,adam,None,0.4810744810744811,ok,66.65632234304212
11,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,kneighborsClassifier,None,brute,None,None,24,None,None,None,None,None,None,7,None,distance,0.5958485958485958,ok,66.77826759195887
12,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,randomForestClassifier,None,None,None,gini,None,None,1.0,sqrt,16.0,20.0,None,None,None,None,0.47741147741147744,ok,69.50498910294846
13,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,10.0,sqrt,5.0,3.0,None,None,None,None,0.5054945054945055,ok,72.43168798601255
14,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,46.0,sqrt,15.0,32.0,None,None,None,None,0.8742368742368742,ok,74.37425731797703
15,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,nnClassifier,tanh,None,21.0,None,None,invscaling,None,None,None,None,9.0,None,lbfgs,None,0.47863247863247865,ok,80.02852739207447
16,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,kneighborsClassifier,None,kd_tree,None,None,23,None,None,None,None,None,None,3,None,distance,0.5641025641025641,ok,80.08374450192787
17,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,kneighborsClassifier,None,ball_tree,None,None,23,None,None,None,None,None,None,8,None,distance,0.5958485958485958,ok,80.1420326270163
18,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,54.0,auto,9.0,26.0,None,None,None,None,0.4822954822954823,ok,84.25271138502285
19,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,kneighborsClassifier,None,ball_tree,None,None,32,None,None,None,None,None,None,3,None,uniform,0.5897435897435898,ok,84.3185034529306
20,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,89.0,sqrt,19.0,40.0,None,None,None,None,0.8681318681318682,ok,86.19420136790723
21,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,60.0,sqrt,12.0,14.0,None,None,None,None,0.8705738705738706,ok,88.28057425306179
22,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,62.0,sqrt,14.0,34.0,None,None,None,None,0.8742368742368742,ok,90.2460308780428
23,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,69.0,sqrt,16.0,39.0,None,None,None,None,0.8754578754578755,ok,92.16373420809396
24,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,36.0,sqrt,20.0,40.0,None,None,None,None,0.8742368742368742,ok,94.02190455794334
25,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,74.0,sqrt,20.0,39.0,None,None,None,None,0.873015873015873,ok,95.89106252999045
26,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,71.0,auto,15.0,34.0,None,None,None,None,0.8717948717948718,ok,97.8343821929302
27,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,30.0,log2,18.0,38.0,None,None,None,None,0.8766788766788767,ok,99.73407558188774
28,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,25.0,log2,17.0,27.0,None,None,None,None,0.8754578754578755,ok,101.71285636303946
29,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,21.0,log2,18.0,26.0,None,None,None,None,0.8754578754578755,ok,103.61623981897719
30,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,26.0,log2,18.0,24.0,None,None,None,None,0.8705738705738706,ok,105.5353490030393
31,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,3.0,log2,17.0,29.0,None,None,None,None,0.645909645909646,ok,106.36982972896658
32,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,nnClassifier,relu,None,8.0,None,None,adaptive,None,None,None,None,1.0,None,lbfgs,None,0.4932844932844933,ok,109.21835944894701
33,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,12.0,log2,13.0,14.0,None,None,None,None,0.8754578754578755,ok,111.08778164791875
34,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,kneighborsClassifier,None,auto,None,None,5,None,None,None,None,None,None,1,None,uniform,0.6105006105006106,ok,111.19028178998269
35,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,33.0,log2,9.0,35.0,None,None,None,None,0.8766788766788767,ok,114.37200590688735
36,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,nnClassifier,relu,None,16.0,None,None,invscaling,None,None,None,None,8.0,None,adam,None,0.5079365079365079,ok,140.45854140189476
37,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,32.0,log2,8.0,36.0,None,None,None,None,0.873015873015873,ok,143.45727069396526
38,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,41.0,log2,6.0,36.0,None,None,None,None,0.8705738705738706,ok,146.8824979250785
39,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,nnClassifier,logistic,None,32.0,None,None,adaptive,None,None,None,None,3.0,None,lbfgs,None,0.5177045177045178,ok,150.71168120508082
40,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,kneighborsClassifier,None,kd_tree,None,None,3,None,None,None,None,None,None,9,None,distance,0.49694749694749696,ok,150.8410674559418
