,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,kneighborsClassifier,None,ball_tree,None,None,34,None,None,None,None,None,None,2,None,uniform,0.5262515262515263,ok,0.1176957469433546
1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,nnClassifier,relu,None,18.0,None,None,invscaling,None,None,None,None,2.0,None,sgd,None,0.49572649572649574,ok,5.9021814009174705
2,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,62.0,auto,9.0,26.0,None,None,None,None,0.49694749694749696,ok,11.400758042931557
3,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,nnClassifier,logistic,None,12.0,None,None,adaptive,None,None,None,None,5.0,None,sgd,None,0.5042735042735043,ok,25.1126137948595
4,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,48.0,log2,10.0,14.0,None,None,None,None,0.5067155067155067,ok,30.459602231858298
5,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1,kneighborsClassifier,None,auto,None,None,12,None,None,None,None,None,None,8,None,uniform,0.5946275946275946,ok,30.729815118014812
6,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,62.0,auto,3.0,33.0,None,None,None,None,0.4981684981684982,ok,35.482090551871806
7,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,nnClassifier,logistic,None,21.0,None,None,invscaling,None,None,None,None,2.0,None,lbfgs,None,0.5042735042735043,ok,35.62624607188627
8,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,kneighborsClassifier,None,ball_tree,None,None,27,None,None,None,None,None,None,9,None,uniform,0.5042735042735043,ok,35.70305071002804
9,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,nnClassifier,tanh,None,21.0,None,None,adaptive,None,None,None,None,5.0,None,sgd,None,0.5225885225885226,ok,55.146753235021606
10,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,80.0,sqrt,19.0,27.0,None,None,None,None,0.6568986568986569,ok,57.58653558394872
11,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,randomForestClassifier,None,None,None,gini,None,None,3.0,log2,5.0,22.0,None,None,None,None,0.6532356532356532,ok,58.55610570893623
12,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,81.0,sqrt,5.0,40.0,None,None,None,None,0.5177045177045178,ok,63.21853362303227
13,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,nnClassifier,logistic,None,14.0,None,None,invscaling,None,None,None,None,6.0,None,sgd,None,0.0,ok,65.47399794799276
14,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,kneighborsClassifier,None,auto,None,None,25,None,None,None,None,None,None,7,None,uniform,0.4908424908424908,ok,65.54909430607222
15,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,9.0,log2,15.0,34.0,None,None,None,None,0.5335775335775336,ok,67.60340314893983
16,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,randomForestClassifier,None,None,None,gini,None,None,78.0,auto,19.0,9.0,None,None,None,None,0.5262515262515263,ok,70.29215253097937
17,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,nnClassifier,identity,None,23.0,None,None,constant,None,None,None,None,9.0,None,sgd,None,0.4884004884004884,ok,72.53817164991051
18,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,nnClassifier,logistic,None,27.0,None,None,constant,None,None,None,None,10.0,None,lbfgs,None,0.49572649572649574,ok,73.28507570689544
19,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,kneighborsClassifier,None,brute,None,None,29,None,None,None,None,None,None,10,None,distance,0.48717948717948717,ok,73.4259526738897
20,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,randomForestClassifier,None,None,None,gini,None,None,7.0,sqrt,20.0,23.0,None,None,None,None,0.6544566544566545,ok,75.14687653887086
21,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,randomForestClassifier,None,None,None,gini,None,None,33.0,sqrt,20.0,24.0,None,None,None,None,0.6507936507936508,ok,77.68840172397904
22,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,randomForestClassifier,None,None,None,gini,None,None,99.0,sqrt,16.0,16.0,None,None,None,None,0.6495726495726496,ok,80.24555439688265
23,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,randomForestClassifier,None,None,None,gini,None,None,25.0,sqrt,17.0,30.0,None,None,None,None,0.6507936507936508,ok,82.77701638592407
24,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,randomForestClassifier,None,None,None,gini,None,None,100.0,sqrt,13.0,17.0,None,None,None,None,0.6532356532356532,ok,85.44200793001801
25,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,randomForestClassifier,None,None,None,gini,None,None,85.0,sqrt,20.0,29.0,None,None,None,None,0.6507936507936508,ok,87.8756295950152
26,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,randomForestClassifier,None,None,None,gini,None,None,25.0,sqrt,18.0,39.0,None,None,None,None,0.6532356532356532,ok,90.37810740689747
27,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,randomForestClassifier,None,None,None,gini,None,None,46.0,sqrt,13.0,20.0,None,None,None,None,0.652014652014652,ok,93.02944010705687
28,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,randomForestClassifier,None,None,None,gini,None,None,66.0,sqrt,20.0,9.0,None,None,None,None,0.6483516483516484,ok,95.5881547529716
29,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,kneighborsClassifier,None,kd_tree,None,None,2,None,None,None,None,None,None,3,None,distance,0.5641025641025641,ok,95.69230829691514
30,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,91.0,sqrt,14.0,27.0,None,None,None,None,0.6532356532356532,ok,98.32747119804844
31,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,randomForestClassifier,None,None,None,gini,None,None,14.0,sqrt,17.0,35.0,None,None,None,None,0.6507936507936508,ok,100.76837497693487
32,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,72.0,sqrt,12.0,20.0,None,None,None,None,0.6568986568986569,ok,103.48950605699793
33,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,kneighborsClassifier,None,kd_tree,None,None,14,None,None,None,None,None,None,5,None,distance,0.5836385836385837,ok,103.5812086770311
34,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,72.0,log2,7.0,19.0,None,None,None,None,0.6568986568986569,ok,106.52810229104944
35,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,69.0,log2,6.0,3.0,None,None,None,None,0.6471306471306472,ok,112.01253018900752
36,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,nnClassifier,relu,None,31.0,None,None,constant,None,None,None,None,8.0,None,adam,None,0.4945054945054945,ok,127.42514946102165
37,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,57.0,log2,8.0,12.0,None,None,None,None,0.6556776556776557,ok,130.29297061706893
38,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,kneighborsClassifier,None,brute,None,None,38,None,None,None,None,None,None,5,None,distance,0.5946275946275946,ok,130.4574812639039
39,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,96.0,log2,2.0,18.0,None,None,None,None,0.8669108669108669,ok,133.49423168995418
40,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,nnClassifier,identity,None,8.0,None,None,adaptive,None,None,None,None,7.0,None,adam,None,0.48473748473748474,ok,144.89916817401536
41,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,94.0,log2,2.0,2.0,None,None,None,None,0.8681318681318682,ok,147.37009652308188
