,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,randomForestClassifier,None,None,None,gini,None,None,54,auto,12,26,None,None,None,None,0.4896214896214896,ok,2.4440315919928253
1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,22,log2,14,4,None,None,None,None,0.49694749694749696,ok,6.039752156008035
2,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,nnClassifier,identity,None,16.0,None,None,adaptive,None,None,None,None,2.0,None,adam,None,0.536019536019536,ok,12.440766295185313
3,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,39,sqrt,8,17,None,None,None,None,0.6666666666666666,ok,17.363234629156068
4,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,kneighborsClassifier,None,brute,None,None,39.0,None,None,None,None,None,None,2.0,None,uniform,0.49206349206349204,ok,17.476831584004685
5,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,randomForestClassifier,None,None,None,gini,None,None,10,log2,9,26,None,None,None,None,0.8644688644688645,ok,19.343999300152063
6,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,nnClassifier,identity,None,28.0,None,None,adaptive,None,None,None,None,4.0,None,adam,None,0.5347985347985348,ok,23.239249285077676
7,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,randomForestClassifier,None,None,None,gini,None,None,38,auto,17,35,None,None,None,None,0.8693528693528694,ok,25.674915743991733
8,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,80,log2,12,5,None,None,None,None,0.8742368742368742,ok,29.984214838128537
9,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,kneighborsClassifier,None,brute,None,None,23.0,None,None,None,None,None,None,7.0,None,distance,0.5995115995115995,ok,30.125772261992097
10,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,kneighborsClassifier,None,auto,None,None,8.0,None,None,None,None,None,None,9.0,None,distance,0.47863247863247865,ok,30.27007777406834
11,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,21,auto,11,9,None,None,None,None,0.663003663003663,ok,33.07974031800404
12,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,nnClassifier,logistic,None,25.0,None,None,constant,None,None,None,None,4.0,None,sgd,None,0.23687423687423687,ok,34.52328088320792
13,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,nnClassifier,identity,None,24.0,None,None,constant,None,None,None,None,3.0,None,lbfgs,None,0.5433455433455433,ok,34.75249371305108
14,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,1,kneighborsClassifier,None,kd_tree,None,None,8.0,None,None,None,None,None,None,9.0,None,distance,0.5054945054945055,ok,34.81902857404202
15,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,42,auto,19,15,None,None,None,None,0.6703296703296703,ok,37.933677674038336
16,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,nnClassifier,relu,None,10.0,None,None,adaptive,None,None,None,None,5.0,None,adam,None,0.5311355311355311,ok,78.03909567114897
17,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,kneighborsClassifier,None,auto,None,None,9.0,None,None,None,None,None,None,9.0,None,uniform,0.4810744810744811,ok,78.1363021901343
18,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,kneighborsClassifier,None,kd_tree,None,None,28.0,None,None,None,None,None,None,3.0,None,distance,0.5128205128205128,ok,78.20027423813008
19,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,kneighborsClassifier,None,ball_tree,None,None,39.0,None,None,None,None,None,None,1.0,None,uniform,0.5152625152625152,ok,78.27465104218572
20,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,95,log2,18,40,None,None,None,None,0.8693528693528694,ok,80.77569122309797
21,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,73,sqrt,2,39,None,None,None,None,0.873015873015873,ok,85.557575795101
22,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,83,sqrt,3,34,None,None,None,None,0.873015873015873,ok,90.55648279399611
23,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,98,sqrt,3,32,None,None,None,None,0.8754578754578755,ok,95.68648743606173
24,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,99,sqrt,6,26,None,None,None,None,0.8693528693528694,ok,100.57350278506055
25,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,70,log2,15,3,None,None,None,None,0.8717948717948718,ok,104.89350469014607
26,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,87,log2,6,30,None,None,None,None,0.8742368742368742,ok,109.82053788099438
