,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,kneighborsClassifier,None,kd_tree,None,None,34,None,None,None,None,None,None,3,None,distance,0.5042735042735043,ok,0.09672278678044677
1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,nnClassifier,relu,None,27.0,None,None,adaptive,None,None,None,None,7.0,None,adam,None,0.49572649572649574,ok,16.9176514998544
2,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,nnClassifier,tanh,None,20.0,None,None,invscaling,None,None,None,None,2.0,None,sgd,None,0.3235653235653236,ok,18.995477239834145
3,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,42.0,auto,4.0,11.0,None,None,None,None,0.6605616605616605,ok,21.989531761966646
4,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,kneighborsClassifier,None,kd_tree,None,None,21,None,None,None,None,None,None,9,None,distance,0.7081807081807082,ok,22.062430755933747
5,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,65.0,log2,2.0,36.0,None,None,None,None,0.503052503052503,ok,24.75086541590281
6,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,nnClassifier,tanh,None,26.0,None,None,constant,None,None,None,None,7.0,None,lbfgs,None,0.48595848595848595,ok,30.46910774987191
7,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,88.0,sqrt,5.0,14.0,None,None,None,None,0.6752136752136753,ok,35.58490565395914
8,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,randomForestClassifier,None,None,None,gini,None,None,75.0,log2,9.0,39.0,None,None,None,None,0.4810744810744811,ok,38.43270595581271
9,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,kneighborsClassifier,None,brute,None,None,19,None,None,None,None,None,None,2,None,uniform,0.5482295482295483,ok,38.538839623797685
10,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,kneighborsClassifier,None,brute,None,None,15,None,None,None,None,None,None,7,None,distance,0.6239316239316239,ok,38.67196726799011
11,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,32.0,sqrt,6.0,20.0,None,None,None,None,0.6581196581196581,ok,41.47588442498818
12,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,nnClassifier,tanh,None,23.0,None,None,adaptive,None,None,None,None,6.0,None,adam,None,0.514041514041514,ok,62.25767216994427
13,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,kneighborsClassifier,None,brute,None,None,32,None,None,None,None,None,None,4,None,distance,0.5946275946275946,ok,62.458287997869775
14,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,51.0,auto,16.0,21.0,None,None,None,None,0.46886446886446886,ok,66.02090344694443
15,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,nnClassifier,tanh,None,16.0,None,None,invscaling,None,None,None,None,7.0,None,lbfgs,None,0.4542124542124542,ok,71.78366847895086
