activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,kd_tree,28,mse,1,1,1,0,1,1,1,1,1,1,0,1,1,1,16,invscaling,48,auto,18,19,nnRegressor,8,8,lbfgs,distance,0.6785520619871664,135.3708987769205
relu,auto,21,mse,0,1,1,0,1,1,1,1,1,1,1,1,1,1,9,constant,51,auto,17,40,nnRegressor,6,8,lbfgs,distance,0.6700219433838936,135.3709619170986
tanh,kd_tree,20,mse,1,1,1,1,0,1,0,1,0,1,0,1,1,1,36,invscaling,71,auto,12,27,nnRegressor,9,7,sgd,uniform,0.6422788356276352,135.37100725597702
tanh,auto,23,mse,0,1,1,0,0,1,1,1,1,1,0,1,1,1,11,constant,22,auto,13,30,nnRegressor,7,9,sgd,distance,0.6483961625059134,135.37105281511322
tanh,kd_tree,13,mse,0,1,1,0,1,1,0,1,1,1,1,1,0,1,21,invscaling,79,auto,9,18,nnRegressor,6,8,lbfgs,distance,0.6881752664847725,135.3710972550325
tanh,kd_tree,16,mse,0,1,1,0,0,1,0,1,1,1,1,1,0,1,23,invscaling,69,auto,16,39,nnRegressor,7,7,lbfgs,uniform,0.6568340969585973,135.37114123394713
tanh,auto,22,mse,0,1,1,1,0,1,1,1,1,1,0,1,1,1,28,constant,69,auto,9,38,nnRegressor,6,8,lbfgs,distance,0.6796495032075804,135.37118480401114
tanh,kd_tree,13,mse,0,1,1,0,0,1,1,1,0,1,0,1,1,1,15,invscaling,9,auto,6,38,nnRegressor,8,8,adam,distance,0.6756099120344552,135.3712289230898
relu,kd_tree,14,mse,1,1,1,0,0,1,0,1,1,1,1,1,1,1,20,invscaling,85,auto,10,10,nnRegressor,6,5,lbfgs,uniform,0.7195264423070802,135.37127242190763
tanh,ball_tree,14,mse,0,1,1,0,1,1,0,1,0,1,1,1,1,1,14,constant,55,auto,13,19,nnRegressor,6,9,lbfgs,uniform,0.6256305766478226,135.37133583100513
