activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,ball_tree,17,mse,1,1,0,0,1,1,1,1,1,0,0,1,1,1,36,constant,14,auto,7,30,nnRegressor,6,8,lbfgs,uniform,0.6380223819186037,168.33641244401224
relu,ball_tree,25,mse,1,1,0,1,1,1,1,1,1,0,0,1,1,1,9,constant,37,auto,5,21,nnRegressor,6,5,lbfgs,distance,0.47503793715842324,168.33647346287034
relu,ball_tree,24,mse,1,1,0,1,1,1,1,1,1,1,0,1,1,1,15,constant,22,auto,6,32,nnRegressor,8,7,sgd,uniform,0.7348727526423209,168.3365198718384
identity,ball_tree,31,mse,1,1,0,1,1,1,1,1,1,1,0,1,1,1,7,constant,92,auto,12,32,nnRegressor,5,6,sgd,distance,0.688343735890514,168.33656407194212
relu,ball_tree,32,mse,1,1,0,0,1,1,1,1,1,1,1,1,1,1,19,constant,33,auto,10,15,nnRegressor,6,7,lbfgs,distance,0.7390898138573333,168.33660820079967
tanh,auto,22,mse,1,1,0,1,1,1,1,1,1,1,1,1,1,1,11,constant,74,auto,14,37,nnRegressor,9,9,sgd,distance,0.6548574337412612,168.33665188984014
logistic,auto,12,mse,1,1,1,0,1,1,1,1,1,1,1,1,1,1,19,constant,48,auto,9,31,nnRegressor,8,6,lbfgs,distance,0.7253301213367636,168.33669641893357
logistic,ball_tree,17,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,90,auto,15,37,nnRegressor,9,5,lbfgs,uniform,0.6554340754831793,168.3367403189186
identity,ball_tree,30,mse,1,1,0,0,1,1,1,1,1,0,0,1,1,1,15,constant,7,auto,3,22,nnRegressor,8,7,lbfgs,uniform,0.6012539261215863,168.33678403799422
logistic,ball_tree,25,mse,1,1,0,1,1,1,1,1,1,0,0,1,1,1,8,constant,51,auto,15,37,nnRegressor,9,7,adam,distance,0.6174820976549336,168.33682753681205
logistic,ball_tree,32,mse,1,1,0,0,1,1,1,1,1,0,0,1,1,1,12,constant,61,auto,5,37,nnRegressor,8,6,lbfgs,uniform,0.7788623836299904,168.3368713769596
logistic,ball_tree,29,mse,1,1,0,1,1,1,1,1,1,1,0,1,1,1,33,constant,9,auto,3,30,nnRegressor,8,4,adam,distance,0.6563306808445069,168.33692517597228
logistic,auto,14,mse,1,1,1,1,1,1,1,1,1,0,0,1,1,1,35,constant,7,auto,5,11,nnRegressor,10,5,adam,uniform,0.5883731107826518,168.3369685348589
tanh,auto,19,mse,1,1,0,1,1,1,1,1,1,0,1,1,1,1,11,constant,71,auto,5,28,nnRegressor,3,4,lbfgs,uniform,0.6577357285852168,168.33701202389784
logistic,ball_tree,18,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,80,auto,6,27,nnRegressor,5,5,lbfgs,distance,0.7359571912662343,168.33705510385334
relu,auto,32,mse,1,1,0,0,1,1,1,1,1,1,0,1,1,1,31,constant,92,auto,11,12,nnRegressor,8,7,sgd,uniform,0.6705821933217573,168.33709794282913
relu,ball_tree,32,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,20,auto,10,10,nnRegressor,8,7,adam,distance,0.7441674916898842,168.33714576181956
identity,ball_tree,24,mse,1,1,0,0,1,1,1,1,1,1,1,1,1,1,31,constant,77,auto,10,30,nnRegressor,6,5,sgd,uniform,0.7190496015452976,168.3371884219814
relu,ball_tree,17,mse,1,1,1,1,1,1,1,1,1,1,0,1,1,1,24,constant,64,auto,14,6,nnRegressor,6,4,lbfgs,uniform,0.6769022862116001,168.33723178086802
relu,ball_tree,23,mse,1,1,0,0,1,1,1,1,1,1,0,1,1,1,25,constant,41,auto,13,17,nnRegressor,8,3,sgd,uniform,0.5427663324970329,168.3372749898117
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,18,auto,9,34,nnRegressor,10,4,adam,distance,0.7718253685619234,437.92583873681724
relu,auto,27,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,41,auto,9,25,nnRegressor,10,6,adam,distance,0.7850455076174991,437.9259121459909
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,26,auto,7,36,nnRegressor,10,6,adam,distance,0.7816480431047617,437.9259582259692
relu,auto,27,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,88,auto,11,36,nnRegressor,9,4,adam,distance,0.7589234775357036,437.9260022658855
relu,auto,28,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,37,auto,14,19,nnRegressor,8,5,adam,distance,0.7952699173236193,437.9260470448062
relu,auto,18,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,73,auto,14,39,nnRegressor,10,6,adam,distance,0.7692882782270374,437.92609149497
relu,auto,16,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,52,auto,13,33,nnRegressor,9,3,adam,distance,0.7816449888662889,437.9261357039213
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,88,auto,13,37,nnRegressor,10,3,adam,distance,0.7969864912440234,437.92617923393846
relu,auto,26,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,11,auto,7,26,nnRegressor,10,6,adam,distance,0.7376030486375751,437.9262231129687
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,55,auto,13,36,nnRegressor,9,9,adam,distance,0.7842206828803868,437.9262665628921
relu,auto,28,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,65,auto,9,37,nnRegressor,10,5,adam,distance,0.7788623836299904,437.9263096128125
relu,auto,25,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,constant,13,auto,7,34,nnRegressor,9,6,adam,distance,0.7944017200886367,437.92635331186466
relu,auto,18,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,11,auto,9,15,nnRegressor,8,3,adam,distance,0.7702881542823083,437.92639656178653
relu,auto,18,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,75,auto,4,32,nnRegressor,7,6,adam,distance,0.786934952317166,437.926439700881
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,84,auto,6,31,nnRegressor,6,5,adam,distance,0.796676351849953,437.92648299084976
relu,auto,28,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,88,auto,15,16,nnRegressor,10,3,adam,distance,0.7743698426480323,437.9265264507849
relu,auto,28,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,24,auto,8,14,nnRegressor,7,3,adam,distance,0.7962638090812797,437.9265695598442
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,81,auto,14,34,nnRegressor,10,3,adam,distance,0.7546519624519843,437.92661240999587
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,68,auto,13,10,nnRegressor,10,2,adam,distance,0.7862771777133053,437.9266556589864
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,45,auto,14,21,nnRegressor,8,7,adam,distance,0.7711200730031651,437.92669857898727
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,22,auto,10,30,nnRegressor,10,6,adam,distance,0.7973380893778247,1027.6907003689557
relu,auto,28,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,43,auto,11,27,nnRegressor,10,6,adam,distance,0.7998018205416465,1027.6907633789815
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,30,auto,8,35,nnRegressor,10,6,adam,distance,0.7876821476616205,1027.6908085178584
relu,auto,25,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,84,auto,7,32,nnRegressor,10,4,adam,distance,0.7821396723965631,1027.690853267908
relu,auto,30,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,41,auto,10,23,nnRegressor,9,5,adam,distance,0.7937338934057581,1027.6909077269956
relu,auto,17,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,69,auto,13,35,nnRegressor,10,5,adam,distance,0.7882874467129853,1027.6909519969486
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,48,auto,14,29,nnRegressor,10,7,adam,distance,0.7822362529197171,1027.6909963868093
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,84,auto,9,33,nnRegressor,10,5,adam,distance,0.7973380893778247,1027.691040206002
relu,auto,24,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,15,auto,10,27,nnRegressor,10,5,adam,distance,0.7926532802368124,1027.6910839758348
relu,auto,25,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,51,auto,9,32,nnRegressor,9,10,adam,distance,0.7811936893246327,1027.6911277158652
relu,auto,25,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,61,auto,11,33,nnRegressor,10,5,adam,distance,0.7977159114154535,1027.6911718349438
relu,auto,29,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,17,auto,4,30,nnRegressor,10,6,adam,distance,0.7736438523314941,1027.691215654835
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,15,auto,11,19,nnRegressor,9,7,adam,distance,0.7851856721567975,1027.6912590949796
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,71,auto,8,28,nnRegressor,10,7,adam,distance,0.7970832351704372,1027.6913023539819
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,80,auto,10,27,nnRegressor,6,6,adam,distance,0.7818983890022417,1027.6913455838803
relu,auto,26,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,84,auto,15,20,nnRegressor,10,3,adam,distance,0.7977159114154535,1027.6913885530084
relu,auto,30,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,28,auto,7,18,nnRegressor,10,7,adam,distance,0.7949292407936823,1027.691444272874
relu,auto,24,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,77,auto,13,30,nnRegressor,10,2,adam,distance,0.7876821476616205,1027.6914892129134
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,64,auto,9,14,nnRegressor,10,6,adam,distance,0.7973380893778247,1027.6915334318765
relu,auto,24,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,41,auto,10,25,nnRegressor,10,7,adam,distance,0.7927443006481033,1027.6915768620092
relu,auto,27,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,18,auto,10,26,nnRegressor,10,6,adam,distance,0.7986130073991041,1570.4376722008456
relu,auto,26,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,39,auto,11,25,nnRegressor,10,6,adam,distance,0.7977159114154535,1570.4377358797938
relu,auto,25,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,26,auto,11,31,nnRegressor,10,5,adam,distance,0.7918853027953141,1570.4377815797925
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,80,auto,9,28,nnRegressor,10,4,adam,distance,0.7901312043746391,1570.4378265698906
relu,auto,26,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,37,auto,8,19,nnRegressor,8,7,adam,distance,0.7766239710699872,1570.4378707688302
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,65,auto,11,31,nnRegressor,10,4,adam,distance,0.7965274367413746,1570.4379250789061
relu,auto,24,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,44,auto,12,26,nnRegressor,10,5,adam,distance,0.7876821476616205,1570.4379692778457
relu,auto,26,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,80,auto,8,29,nnRegressor,10,6,adam,distance,0.7986130073991041,1570.4380124178715
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,17,auto,11,28,nnRegressor,10,5,adam,distance,0.8023696742519855,1570.4380556677934
relu,auto,27,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,47,auto,12,34,nnRegressor,10,6,adam,distance,0.7736438523314941,1570.4380988269113
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,57,auto,8,29,nnRegressor,10,5,adam,distance,0.7901312043746391,1570.4381416568067
