activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,kd_tree,23,entropy,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,29,constant,21,sqrt,15,9,kneighborsClassifier,3,10,adam,distance,0.9926082365364308
relu,auto,17,entropy,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,34,invscaling,6,log2,13,8,randomForestClassifier,3,5,lbfgs,distance,0.9926082365364308
identity,brute,23,gini,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,35,constant,76,log2,8,24,nnClassifier,2,8,sgd,distance,1.0
identity,auto,15,gini,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,20,constant,57,auto,8,37,randomForestClassifier,6,9,adam,distance,0.9926082365364308
relu,kd_tree,23,gini,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,29,invscaling,31,sqrt,12,4,nnClassifier,3,7,adam,distance,1.0
identity,brute,11,entropy,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,16,invscaling,100,auto,6,2,kneighborsClassifier,9,7,adam,uniform,0.9915522703273495
identity,brute,23,entropy,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,28,invscaling,1,auto,18,28,randomForestClassifier,1,8,sgd,distance,0.9915522703273495
relu,kd_tree,27,gini,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,27,constant,22,auto,16,27,nnClassifier,1,5,sgd,uniform,1.0
logistic,brute,19,gini,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,33,invscaling,5,auto,14,35,kneighborsClassifier,2,4,lbfgs,uniform,0.9926082365364308
logistic,brute,22,gini,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,17,adaptive,15,auto,3,36,nnClassifier,4,5,adam,uniform,1.0
identity,kd_tree,26,entropy,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,26,adaptive,34,auto,9,2,randomForestClassifier,7,4,sgd,uniform,0.9926082365364308
identity,kd_tree,21,entropy,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,21,adaptive,83,log2,5,30,nnClassifier,6,6,lbfgs,uniform,1.0
relu,auto,18,entropy,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,9,constant,92,sqrt,3,12,nnClassifier,3,10,lbfgs,uniform,1.0
identity,auto,20,gini,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,27,adaptive,94,sqrt,17,14,randomForestClassifier,3,10,lbfgs,uniform,0.9926082365364308
logistic,kd_tree,19,entropy,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,37,adaptive,28,auto,13,16,kneighborsClassifier,8,9,lbfgs,distance,0.9926082365364308
identity,auto,23,entropy,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,5,constant,13,log2,5,10,randomForestClassifier,4,6,lbfgs,uniform,0.9926082365364308
relu,brute,30,gini,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,24,invscaling,39,log2,15,7,kneighborsClassifier,7,3,adam,uniform,0.9915522703273495
tanh,ball_tree,11,entropy,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,7,constant,51,sqrt,4,30,randomForestClassifier,8,5,lbfgs,distance,0.9926082365364308
logistic,kd_tree,16,entropy,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,21,invscaling,48,log2,18,9,randomForestClassifier,4,2,sgd,uniform,0.9926082365364308
relu,kd_tree,28,entropy,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,12,invscaling,6,sqrt,12,6,nnClassifier,5,4,lbfgs,distance,1.0
logistic,ball_tree,24,entropy,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,4,constant,76,log2,5,8,nnClassifier,5,5,lbfgs,distance,1.0
relu,kd_tree,18,entropy,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,30,constant,20,sqrt,19,39,nnClassifier,7,10,lbfgs,uniform,1.0
identity,auto,24,gini,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,21,constant,58,sqrt,13,26,kneighborsClassifier,7,9,adam,uniform,0.9915522703273495
