activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,ball_tree,8,gini,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,12,invscaling,95,auto,4,35,nnClassifier,10,9,sgd,uniform,1.0
relu,auto,22,gini,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,38,adaptive,60,auto,15,4,randomForestClassifier,10,1,adam,distance,0.9936642027455121
identity,ball_tree,32,entropy,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,35,adaptive,29,auto,12,36,kneighborsClassifier,7,9,lbfgs,uniform,0.9936642027455121
identity,kd_tree,8,entropy,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,24,adaptive,17,sqrt,5,21,kneighborsClassifier,8,5,sgd,distance,0.9936642027455121
identity,kd_tree,17,gini,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,21,constant,32,auto,9,29,kneighborsClassifier,6,6,sgd,distance,0.9947201689545935
relu,kd_tree,13,gini,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,16,adaptive,53,log2,9,26,nnClassifier,2,5,lbfgs,distance,1.0
logistic,ball_tree,12,entropy,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,29,adaptive,49,sqrt,9,36,randomForestClassifier,7,8,lbfgs,uniform,0.9936642027455121
relu,auto,31,entropy,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,36,adaptive,80,sqrt,15,39,randomForestClassifier,9,1,adam,uniform,0.9936642027455121
identity,brute,20,entropy,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,25,constant,10,sqrt,8,26,kneighborsClassifier,2,7,lbfgs,uniform,0.9936642027455121
logistic,brute,15,gini,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,33,adaptive,69,sqrt,15,33,nnClassifier,6,1,sgd,distance,1.0
identity,brute,30,gini,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,30,constant,69,log2,20,36,randomForestClassifier,6,3,lbfgs,uniform,0.9936642027455121
logistic,kd_tree,10,gini,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,17,constant,85,log2,19,39,randomForestClassifier,2,4,adam,distance,0.9936642027455121
identity,auto,11,entropy,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,15,adaptive,43,sqrt,11,19,randomForestClassifier,4,6,adam,uniform,0.9936642027455121
relu,brute,19,gini,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,19,adaptive,26,log2,15,36,randomForestClassifier,4,8,lbfgs,uniform,0.9936642027455121
logistic,kd_tree,9,entropy,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,11,adaptive,48,sqrt,8,30,randomForestClassifier,6,1,sgd,uniform,0.9936642027455121
tanh,brute,12,gini,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,18,adaptive,31,sqrt,9,4,kneighborsClassifier,9,7,lbfgs,uniform,0.9936642027455121
relu,auto,18,entropy,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,28,adaptive,10,log2,9,8,kneighborsClassifier,8,6,lbfgs,uniform,0.9936642027455121
tanh,auto,24,entropy,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,27,constant,7,sqrt,9,39,kneighborsClassifier,8,9,adam,uniform,0.9936642027455121
logistic,auto,21,gini,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,38,constant,20,auto,11,17,kneighborsClassifier,3,2,lbfgs,distance,0.9947201689545935
tanh,auto,32,gini,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,36,constant,55,sqrt,11,26,kneighborsClassifier,6,5,adam,uniform,0.9936642027455121
