activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,auto,17,gini,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,39,constant,86,auto,3,25,nnClassifier,5,5,adam,distance,1.0
logistic,kd_tree,29,entropy,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,35,adaptive,41,auto,18,15,randomForestClassifier,4,2,sgd,uniform,0.9926082365364308
identity,brute,8,gini,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,27,constant,60,auto,8,23,kneighborsClassifier,1,6,sgd,distance,0.9936642027455121
identity,auto,8,gini,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,11,constant,29,log2,10,23,nnClassifier,9,1,adam,distance,1.0
logistic,auto,12,entropy,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,2,constant,100,log2,16,10,randomForestClassifier,6,7,sgd,distance,0.9926082365364308
tanh,auto,11,entropy,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,20,invscaling,27,sqrt,14,35,kneighborsClassifier,7,10,sgd,distance,0.9926082365364308
relu,ball_tree,29,gini,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,36,invscaling,19,log2,20,23,nnClassifier,7,5,lbfgs,uniform,1.0
identity,brute,32,gini,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,23,constant,94,sqrt,10,16,nnClassifier,8,1,sgd,uniform,1.0
relu,kd_tree,18,entropy,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,25,adaptive,42,sqrt,7,20,nnClassifier,2,5,sgd,distance,1.0
identity,brute,10,entropy,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,15,invscaling,72,sqrt,17,13,kneighborsClassifier,4,6,sgd,distance,0.9936642027455121
relu,auto,21,gini,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,40,adaptive,98,log2,10,21,kneighborsClassifier,1,2,lbfgs,uniform,0.9915522703273495
relu,ball_tree,23,gini,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,36,invscaling,77,auto,9,19,randomForestClassifier,1,9,sgd,distance,0.9926082365364308
identity,auto,31,entropy,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,4,adaptive,7,log2,9,17,nnClassifier,9,6,lbfgs,uniform,1.0
logistic,brute,9,entropy,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,14,adaptive,100,log2,2,6,randomForestClassifier,7,6,sgd,distance,0.9926082365364308
identity,brute,30,entropy,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,3,constant,74,sqrt,6,38,nnClassifier,3,9,sgd,distance,1.0
identity,brute,26,gini,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,3,invscaling,51,auto,12,30,kneighborsClassifier,1,5,lbfgs,distance,0.9936642027455121
relu,ball_tree,8,entropy,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,9,adaptive,4,auto,20,23,nnClassifier,10,1,adam,distance,1.0
logistic,auto,26,entropy,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,10,adaptive,62,sqrt,20,18,randomForestClassifier,3,3,lbfgs,uniform,0.9915522703273495
identity,brute,32,entropy,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,3,invscaling,54,sqrt,10,31,nnClassifier,4,5,sgd,distance,1.0
tanh,auto,15,gini,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,27,constant,57,log2,16,24,nnClassifier,8,9,adam,uniform,1.0
