feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,randomForestRegressor,NA,NA,nan,poisson,nan,NA,68,auto,14,24,nan,nan,NA,NA,0.07896299334250678,35.04362344741821
0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,nnRegressor,identity,NA,20,NA,nan,invscaling,nan,NA,nan,nan,3,nan,sgd,NA,0.4836562751672244,42.10404086112976
0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,kneighborsRegressor,NA,brute,nan,NA,6,NA,nan,NA,nan,nan,nan,7,NA,distance,-0.01783382457588134,47.930647134780884
1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,nnRegressor,logistic,NA,12,NA,nan,invscaling,nan,NA,nan,nan,2,nan,sgd,NA,-0.0005813325920382972,55.75830292701721
0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,nnRegressor,logistic,NA,30,NA,nan,constant,nan,NA,nan,nan,6,nan,sgd,NA,0.040640944293948156,61.69080591201782
1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,nnRegressor,identity,NA,17,NA,nan,invscaling,nan,NA,nan,nan,2,nan,adam,NA,-0.018704950679583554,68.24755573272705
0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,nnRegressor,identity,NA,32,NA,nan,invscaling,nan,NA,nan,nan,4,nan,sgd,NA,0.3794800704935388,74.346351146698
0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,nnRegressor,identity,NA,29,NA,nan,invscaling,nan,NA,nan,nan,5,nan,adam,NA,0.16464240069197267,80.29229235649109
0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,nnRegressor,identity,NA,23,NA,nan,invscaling,nan,NA,nan,nan,7,nan,adam,NA,0.48300477911099615,88.31759023666382
1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,nnRegressor,identity,NA,31,NA,nan,constant,nan,NA,nan,nan,9,nan,lbfgs,NA,0.19385428071953892,93.3254747390747
0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,nnRegressor,identity,NA,20,NA,nan,invscaling,nan,NA,nan,nan,1,nan,lbfgs,NA,0.4675735063548121,98.58073568344116
0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,nnRegressor,tanh,NA,32,NA,nan,invscaling,nan,NA,nan,nan,4,nan,lbfgs,NA,0.03190260439741921,109.90429019927979
1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,kneighborsRegressor,NA,brute,nan,NA,9,NA,nan,NA,nan,nan,nan,8,NA,distance,0.4223227074808845,115.78411889076233
1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,nnRegressor,identity,NA,22,NA,nan,invscaling,nan,NA,nan,nan,10,nan,sgd,NA,0.3951479330474351,122.03755617141724
0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,nnRegressor,tanh,NA,16,NA,nan,constant,nan,NA,nan,nan,10,nan,adam,NA,0.3912215692168851,131.88526439666748
0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,nnRegressor,relu,NA,14,NA,nan,invscaling,nan,NA,nan,nan,8,nan,adam,NA,0.3584900627705143,140.00121521949768
1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,nnRegressor,identity,NA,9,NA,nan,invscaling,nan,NA,nan,nan,2,nan,adam,NA,0.47335309289893246,151.7391164302826
1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,nnRegressor,identity,NA,16,NA,nan,invscaling,nan,NA,nan,nan,3,nan,sgd,NA,0.48570835403294255,158.47099328041077
0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,nnRegressor,logistic,NA,28,NA,nan,constant,nan,NA,nan,nan,2,nan,sgd,NA,0.0232509585049423,164.70777535438538
1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,nnRegressor,relu,NA,23,NA,nan,invscaling,nan,NA,nan,nan,5,nan,adam,NA,0.3755382420230593,172.29011011123657
0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,kneighborsRegressor,NA,brute,nan,NA,18,NA,nan,NA,nan,nan,nan,2,NA,uniform,-0.01122266097739355,177.37122321128845
1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,kneighborsRegressor,NA,kd_tree,nan,NA,19,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.4010325471467885,182.86506962776184
1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,nnRegressor,identity,NA,15,NA,nan,invscaling,nan,NA,nan,nan,8,nan,sgd,NA,0.47692396997377284,190.11445498466492
0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,nnRegressor,identity,NA,22,NA,nan,invscaling,nan,NA,nan,nan,4,nan,sgd,NA,0.1777669859410994,196.01209902763367
0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,nnRegressor,identity,NA,16,NA,nan,adaptive,nan,NA,nan,nan,1,nan,lbfgs,NA,0.4722816536490766,201.60367155075073
0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,nnRegressor,identity,NA,20,NA,nan,invscaling,nan,NA,nan,nan,4,nan,lbfgs,NA,0.46673630213180284,207.21457076072693
