feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,randomForestRegressor,NA,NA,nan,mae,nan,NA,39,auto,5,16,nan,nan,NA,NA,0.130201786089166,233.10691022872925
0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,kneighborsRegressor,NA,kd_tree,nan,NA,35,NA,nan,NA,nan,nan,nan,4,NA,uniform,-0.022913551824890632,237.80001401901245
0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,randomForestRegressor,NA,NA,nan,mae,nan,NA,73,log2,16,16,nan,nan,NA,NA,0.32393898394547005,295.33291268348694
1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,randomForestRegressor,NA,NA,nan,poisson,nan,NA,67,auto,14,36,nan,nan,NA,NA,0.24862901666317827,325.6257646083832
1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,6,auto,19,35,nan,nan,NA,NA,0.4875205702055564,335.4873239994049
1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,3,log2,19,12,nan,nan,NA,NA,0.013300850287779165,340.7428767681122
0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,randomForestRegressor,NA,NA,nan,poisson,nan,NA,28,auto,18,28,nan,nan,NA,NA,0.1735693163975891,358.5577449798584
0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,kneighborsRegressor,NA,brute,nan,NA,15,NA,nan,NA,nan,nan,nan,1,NA,distance,-0.07514311441374688,363.43912863731384
1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,70,auto,3,9,nan,nan,NA,NA,0.3962018631199504,378.363135099411
0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,randomForestRegressor,NA,NA,nan,mse,nan,NA,92,sqrt,19,39,nan,nan,NA,NA,0.3449214690624176,385.3499574661255
1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,randomForestRegressor,NA,NA,nan,mae,nan,NA,27,auto,20,37,nan,nan,NA,NA,0.37437498298159433,578.0022120475769
1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,27,log2,15,11,nan,nan,NA,NA,0.3677825778125765,584.6026003360748
0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,5,sqrt,18,21,nan,nan,NA,NA,0.28749557511458956,590.1544122695923
0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,15,log2,19,10,nan,nan,NA,NA,0.20332495114839555,596.220041513443
0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,nnRegressor,relu,NA,16,NA,nan,constant,nan,NA,nan,nan,3,nan,lbfgs,NA,0.2342646759551037,601.8101394176483
1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,7,auto,9,9,nan,nan,NA,NA,0.47401192920142243,611.5081601142883
0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,randomForestRegressor,NA,NA,nan,mae,nan,NA,10,auto,6,29,nan,nan,NA,NA,-0.01246350053960077,822.1312990188599
