activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,kd_tree,12,entropy,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,15,constant,48,log2,14,12,kneighborsClassifier,9,10,lbfgs,uniform,0.00390625
tanh,brute,23,entropy,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,13,invscaling,67,auto,5,36,nnClassifier,10,5,adam,distance,0.986328125
tanh,kd_tree,11,gini,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,15,invscaling,59,log2,4,14,kneighborsClassifier,5,5,lbfgs,distance,0.009765625
identity,ball_tree,28,entropy,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,4,adaptive,13,log2,16,8,nnClassifier,8,8,sgd,uniform,0.984375
identity,ball_tree,9,gini,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,3,constant,44,log2,12,29,nnClassifier,7,5,lbfgs,uniform,0.984375
identity,kd_tree,27,gini,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,8,invscaling,71,auto,4,36,kneighborsClassifier,5,1,sgd,uniform,0.01171875
tanh,ball_tree,8,gini,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,22,adaptive,37,auto,6,32,randomForestClassifier,10,5,adam,distance,0.638671875
identity,brute,27,entropy,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,15,constant,51,auto,17,4,nnClassifier,3,9,lbfgs,distance,0.98828125
relu,kd_tree,19,entropy,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,13,invscaling,51,sqrt,16,37,randomForestClassifier,5,4,adam,uniform,0.427734375
tanh,auto,29,entropy,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,9,constant,77,log2,2,19,kneighborsClassifier,3,3,adam,uniform,0.01171875
identity,kd_tree,23,gini,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,11,constant,19,log2,12,24,kneighborsClassifier,2,8,lbfgs,distance,0.013671875
identity,auto,21,gini,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,28,invscaling,16,auto,3,31,nnClassifier,9,6,sgd,uniform,0.9921875
identity,kd_tree,25,entropy,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,30,constant,6,auto,19,14,kneighborsClassifier,4,7,lbfgs,uniform,0.03125
relu,brute,23,entropy,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,2,adaptive,47,log2,13,4,randomForestClassifier,2,4,sgd,uniform,0.53515625
identity,kd_tree,9,entropy,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,36,adaptive,47,log2,13,14,randomForestClassifier,4,8,lbfgs,distance,0.54296875
logistic,auto,15,entropy,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,36,adaptive,81,sqrt,9,31,kneighborsClassifier,3,5,adam,distance,0.02734375
tanh,ball_tree,17,gini,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,36,constant,3,sqrt,18,31,randomForestClassifier,2,4,adam,distance,0.033203125
relu,ball_tree,23,entropy,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,26,adaptive,70,sqrt,18,28,kneighborsClassifier,7,8,sgd,uniform,0.00390625
logistic,auto,26,entropy,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,14,constant,68,log2,17,6,randomForestClassifier,7,7,sgd,uniform,0.470703125
relu,brute,19,gini,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,16,invscaling,100,log2,8,30,randomForestClassifier,7,6,lbfgs,distance,0.576171875
identity,auto,21,gini,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,28,invscaling,16,auto,3,31,nnClassifier,9,6,sgd,uniform,0.9921875
identity,brute,27,entropy,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,15,constant,51,auto,17,4,nnClassifier,3,9,lbfgs,distance,0.98828125
tanh,brute,23,entropy,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,13,invscaling,67,auto,5,36,nnClassifier,10,5,adam,distance,0.986328125
identity,ball_tree,28,entropy,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,4,adaptive,13,log2,16,8,nnClassifier,8,8,sgd,uniform,0.984375
identity,ball_tree,9,gini,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,3,constant,44,log2,12,29,nnClassifier,7,5,lbfgs,uniform,0.984375
tanh,ball_tree,8,gini,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,22,adaptive,37,auto,6,32,randomForestClassifier,10,5,adam,distance,0.638671875
relu,brute,19,gini,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,16,invscaling,100,log2,8,30,randomForestClassifier,7,6,lbfgs,distance,0.576171875
identity,kd_tree,9,entropy,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,36,adaptive,47,log2,13,14,randomForestClassifier,4,8,lbfgs,distance,0.54296875
relu,brute,23,entropy,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,2,adaptive,47,log2,13,4,randomForestClassifier,2,4,sgd,uniform,0.53515625
logistic,auto,26,entropy,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,14,constant,68,log2,17,6,randomForestClassifier,7,7,sgd,uniform,0.470703125
identity,auto,21,gini,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,15,constant,51,auto,17,4,nnClassifier,3,9,lbfgs,distance,0.990234375
identity,brute,27,entropy,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,13,invscaling,67,auto,5,36,nnClassifier,10,5,adam,distance,0.982421875
