activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,ball_tree,22,gini,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,27,constant,59,log2,18,39,nnClassifier,5,3,adam,distance,0.990234375
relu,kd_tree,22,entropy,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,35,adaptive,28,sqrt,4,20,randomForestClassifier,1,4,lbfgs,distance,0.45703125
identity,kd_tree,8,entropy,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,35,invscaling,56,sqrt,6,23,randomForestClassifier,7,3,adam,distance,0.119140625
relu,ball_tree,30,gini,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,2,adaptive,52,sqrt,18,38,kneighborsClassifier,2,6,sgd,distance,0.005859375
logistic,brute,32,gini,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,2,adaptive,76,sqrt,12,38,nnClassifier,9,7,adam,distance,0.98828125
tanh,brute,8,gini,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,29,constant,47,sqrt,6,37,nnClassifier,1,4,sgd,distance,0.994140625
logistic,auto,8,gini,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,11,constant,20,log2,2,37,kneighborsClassifier,4,8,sgd,distance,0.02734375
tanh,auto,27,gini,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,29,invscaling,58,auto,14,32,randomForestClassifier,3,10,adam,uniform,0.123046875
tanh,brute,8,entropy,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,33,adaptive,77,log2,10,18,randomForestClassifier,2,1,lbfgs,uniform,0.095703125
identity,auto,30,gini,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,29,constant,93,sqrt,11,33,nnClassifier,5,8,adam,distance,0.9921875
identity,ball_tree,12,entropy,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,29,constant,87,log2,12,2,randomForestClassifier,1,1,lbfgs,uniform,0.046875
logistic,ball_tree,17,entropy,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,39,constant,30,auto,11,30,randomForestClassifier,9,9,lbfgs,distance,0.14453125
relu,auto,8,gini,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,16,invscaling,18,auto,14,17,randomForestClassifier,1,5,adam,distance,0.1015625
tanh,auto,8,entropy,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,34,adaptive,3,sqrt,19,26,randomForestClassifier,8,1,sgd,uniform,0.001953125
identity,auto,29,entropy,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,23,adaptive,18,sqrt,3,15,randomForestClassifier,6,1,sgd,distance,0.017578125
relu,brute,25,entropy,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,24,adaptive,6,sqrt,2,26,kneighborsClassifier,1,10,adam,distance,0.017578125
identity,brute,11,gini,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,31,invscaling,94,log2,10,10,randomForestClassifier,10,1,lbfgs,distance,0.01171875
tanh,brute,30,entropy,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,15,constant,61,auto,11,30,kneighborsClassifier,8,2,lbfgs,uniform,0.02734375
logistic,auto,18,gini,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,7,invscaling,82,auto,10,7,nnClassifier,7,3,adam,uniform,0.986328125
logistic,kd_tree,14,gini,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,21,constant,22,log2,18,6,nnClassifier,7,4,lbfgs,distance,0.986328125
tanh,brute,8,gini,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,29,constant,47,sqrt,6,37,nnClassifier,1,4,sgd,distance,0.994140625
identity,auto,30,gini,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,29,constant,93,sqrt,11,33,nnClassifier,5,8,adam,distance,0.9921875
relu,ball_tree,22,gini,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,27,constant,59,log2,18,39,nnClassifier,5,3,adam,distance,0.990234375
logistic,brute,32,gini,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,2,adaptive,76,sqrt,12,38,nnClassifier,9,7,adam,distance,0.98828125
logistic,auto,18,gini,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,7,invscaling,82,auto,10,7,nnClassifier,7,3,adam,uniform,0.986328125
logistic,kd_tree,14,gini,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,21,constant,22,log2,18,6,nnClassifier,7,4,lbfgs,distance,0.986328125
relu,kd_tree,22,entropy,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,35,adaptive,28,sqrt,4,20,randomForestClassifier,1,4,lbfgs,distance,0.45703125
logistic,ball_tree,17,entropy,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,39,constant,30,auto,11,30,randomForestClassifier,9,9,lbfgs,distance,0.14453125
tanh,auto,27,gini,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,29,invscaling,58,auto,14,32,randomForestClassifier,3,10,adam,uniform,0.123046875
identity,kd_tree,8,entropy,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,35,invscaling,56,sqrt,6,23,randomForestClassifier,7,3,adam,distance,0.119140625
tanh,brute,8,gini,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,29,constant,93,sqrt,11,33,nnClassifier,5,8,adam,distance,0.9921875
identity,kd_tree,30,gini,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,27,adaptive,59,log2,18,39,nnClassifier,5,10,adam,distance,0.990234375
relu,ball_tree,22,gini,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,35,adaptive,91,sqrt,12,38,nnClassifier,9,7,adam,distance,0.9921875
relu,brute,12,gini,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,7,invscaling,82,auto,10,7,nnClassifier,7,3,lbfgs,uniform,0.984375
logistic,auto,18,gini,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,21,constant,22,log2,18,6,nnClassifier,7,4,lbfgs,distance,0.984375
