activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,brute,17,entropy,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,4,adaptive,79,log2,20,17,randomForestClassifier,2,5,adam,uniform,0.48046875
tanh,kd_tree,11,entropy,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,27,invscaling,40,auto,4,11,kneighborsClassifier,9,2,sgd,distance,0.0234375
identity,auto,19,entropy,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,38,invscaling,18,log2,15,38,randomForestClassifier,4,9,sgd,uniform,0.39453125
tanh,kd_tree,25,gini,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,27,adaptive,25,log2,12,38,randomForestClassifier,5,4,adam,distance,0.486328125
tanh,brute,28,gini,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,36,invscaling,63,auto,14,26,nnClassifier,10,4,adam,distance,0.98828125
relu,kd_tree,22,entropy,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,4,adaptive,15,sqrt,2,10,nnClassifier,1,6,sgd,distance,0.9921875
identity,auto,14,entropy,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,30,constant,59,sqrt,12,27,kneighborsClassifier,2,2,lbfgs,uniform,0.009765625
identity,auto,21,entropy,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,9,constant,70,sqrt,9,4,kneighborsClassifier,1,1,adam,distance,0.00390625
tanh,ball_tree,18,gini,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,40,invscaling,1,log2,2,29,kneighborsClassifier,1,5,lbfgs,uniform,0.01953125
tanh,auto,30,gini,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,2,invscaling,17,sqrt,6,29,nnClassifier,8,2,lbfgs,uniform,0.986328125
relu,brute,20,entropy,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,37,constant,55,sqrt,15,5,nnClassifier,7,3,lbfgs,uniform,0.98828125
logistic,brute,15,entropy,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,24,adaptive,71,sqrt,19,25,kneighborsClassifier,1,5,lbfgs,uniform,0.001953125
tanh,auto,21,entropy,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,13,constant,60,sqrt,8,11,nnClassifier,3,1,sgd,uniform,0.990234375
logistic,kd_tree,24,entropy,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,9,adaptive,36,sqrt,11,17,nnClassifier,5,5,adam,distance,0.986328125
logistic,ball_tree,30,entropy,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,34,invscaling,20,auto,3,28,randomForestClassifier,5,9,lbfgs,distance,0.54296875
identity,ball_tree,12,entropy,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,12,invscaling,83,sqrt,4,23,nnClassifier,10,8,adam,uniform,0.9921875
relu,auto,8,gini,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,18,invscaling,20,auto,16,26,nnClassifier,4,3,adam,uniform,0.986328125
tanh,ball_tree,29,gini,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,39,constant,33,sqrt,11,31,kneighborsClassifier,7,10,adam,uniform,0.013671875
relu,auto,16,entropy,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,6,constant,45,log2,7,27,nnClassifier,4,7,adam,uniform,0.98828125
identity,auto,17,gini,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,30,invscaling,74,auto,15,12,nnClassifier,3,7,lbfgs,distance,0.986328125
relu,kd_tree,22,entropy,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,4,adaptive,15,sqrt,2,10,nnClassifier,1,6,sgd,distance,0.9921875
identity,ball_tree,12,entropy,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,12,invscaling,83,sqrt,4,23,nnClassifier,10,8,adam,uniform,0.9921875
tanh,auto,21,entropy,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,13,constant,60,sqrt,8,11,nnClassifier,3,1,sgd,uniform,0.990234375
tanh,brute,28,gini,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,36,invscaling,63,auto,14,26,nnClassifier,10,4,adam,distance,0.98828125
relu,brute,20,entropy,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,37,constant,55,sqrt,15,5,nnClassifier,7,3,lbfgs,uniform,0.98828125
relu,auto,16,entropy,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,6,constant,45,log2,7,27,nnClassifier,4,7,adam,uniform,0.98828125
tanh,auto,30,gini,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,2,invscaling,17,sqrt,6,29,nnClassifier,8,2,lbfgs,uniform,0.986328125
logistic,kd_tree,24,entropy,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,9,adaptive,36,sqrt,11,17,nnClassifier,5,5,adam,distance,0.986328125
relu,auto,8,gini,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,18,invscaling,20,auto,16,26,nnClassifier,4,3,adam,uniform,0.986328125
identity,auto,17,gini,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,30,invscaling,74,auto,15,12,nnClassifier,3,7,lbfgs,distance,0.986328125
relu,kd_tree,22,entropy,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,12,invscaling,83,auto,4,7,nnClassifier,10,8,adam,uniform,0.98828125
identity,ball_tree,12,entropy,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,13,constant,60,sqrt,8,11,nnClassifier,3,1,sgd,uniform,0.9921875
tanh,auto,21,entropy,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,36,invscaling,63,auto,14,26,nnClassifier,10,4,adam,distance,0.98828125
tanh,brute,28,gini,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,37,constant,55,sqrt,15,5,nnClassifier,7,3,lbfgs,distance,0.986328125
