activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,brute,19,entropy,1,0,1,1,0,8,adaptive,18,auto,13,4,nnClassifier,10,1,lbfgs,distance,0.562962962962963
relu,brute,27,entropy,1,0,0,1,1,8,adaptive,37,log2,7,15,randomForestClassifier,2,6,lbfgs,uniform,0.837037037037037
identity,kd_tree,14,gini,1,1,0,1,1,22,invscaling,8,log2,4,23,randomForestClassifier,9,6,adam,distance,0.8574074074074074
relu,brute,17,entropy,0,0,0,0,0,18,invscaling,64,sqrt,6,17,randomForestClassifier,6,1,adam,distance,0
tanh,brute,8,gini,0,0,1,0,0,35,constant,64,sqrt,19,16,randomForestClassifier,3,4,adam,uniform,0.7111111111111111
tanh,kd_tree,26,gini,1,0,0,0,0,28,constant,67,sqrt,17,40,kneighborsClassifier,2,2,adam,distance,0.6888888888888889
identity,brute,29,entropy,0,0,1,0,0,4,constant,49,auto,8,36,nnClassifier,1,9,adam,distance,0.6518518518518519
identity,kd_tree,14,gini,0,0,0,0,0,13,adaptive,75,log2,15,6,randomForestClassifier,2,3,lbfgs,distance,0
relu,brute,26,entropy,0,1,0,1,1,24,adaptive,63,auto,13,15,nnClassifier,8,2,sgd,distance,0.5888888888888889
tanh,kd_tree,13,gini,1,0,0,1,0,29,invscaling,30,sqrt,12,23,randomForestClassifier,5,10,adam,uniform,0.8277777777777777
tanh,ball_tree,26,gini,1,1,0,0,1,39,adaptive,69,log2,16,7,kneighborsClassifier,6,1,lbfgs,distance,0.825925925925926
relu,kd_tree,27,entropy,0,1,0,0,1,11,invscaling,47,log2,20,40,nnClassifier,1,2,lbfgs,uniform,0.6777777777777778
logistic,brute,23,entropy,0,0,0,1,1,22,constant,79,log2,2,32,kneighborsClassifier,10,3,sgd,distance,0.7777777777777778
logistic,auto,17,entropy,1,1,1,0,1,16,adaptive,72,auto,5,33,nnClassifier,5,7,lbfgs,uniform,0.5703703703703704
relu,kd_tree,23,gini,0,1,0,1,0,26,constant,21,auto,10,37,nnClassifier,2,8,sgd,distance,0.5574074074074075
relu,brute,27,entropy,1,0,1,0,1,18,adaptive,53,auto,18,24,kneighborsClassifier,2,3,lbfgs,distance,0.8444444444444444
identity,ball_tree,21,entropy,1,1,0,1,1,34,adaptive,96,sqrt,13,8,kneighborsClassifier,9,8,lbfgs,distance,0.8833333333333333
tanh,brute,22,entropy,1,1,1,1,0,25,constant,6,log2,15,36,nnClassifier,9,8,lbfgs,uniform,0.5703703703703704
identity,brute,29,entropy,0,1,1,0,0,5,invscaling,90,log2,9,19,randomForestClassifier,1,6,sgd,distance,0.7907407407407407
logistic,auto,12,gini,1,1,0,0,0,4,constant,69,log2,8,6,randomForestClassifier,1,4,adam,distance,0.8074074074074075
logistic,kd_tree,26,gini,0,0,0,0,1,40,constant,67,sqrt,5,25,randomForestClassifier,10,6,sgd,distance,0.7648148148148148
tanh,auto,10,gini,0,0,1,0,1,26,constant,20,auto,4,3,nnClassifier,10,6,lbfgs,distance,0.575925925925926
logistic,ball_tree,14,gini,1,0,1,1,1,39,constant,21,sqrt,20,27,randomForestClassifier,1,2,sgd,distance,0.8592592592592593
identity,ball_tree,15,gini,0,0,1,1,0,16,adaptive,30,log2,12,35,randomForestClassifier,5,2,sgd,uniform,0.8018518518518518
logistic,ball_tree,20,entropy,0,0,0,1,1,6,invscaling,86,log2,3,6,nnClassifier,2,2,lbfgs,uniform,0.5722222222222222
relu,brute,26,entropy,0,1,1,0,1,35,adaptive,49,sqrt,17,5,nnClassifier,6,6,lbfgs,uniform,0.5907407407407408
logistic,ball_tree,9,gini,1,1,1,0,0,14,invscaling,19,sqrt,20,9,kneighborsClassifier,2,5,sgd,distance,0.8555555555555555
tanh,kd_tree,20,gini,1,0,1,1,1,31,adaptive,64,log2,5,22,nnClassifier,2,8,adam,distance,0.5611111111111111
tanh,auto,18,gini,0,0,0,0,1,7,constant,67,auto,12,19,kneighborsClassifier,6,4,sgd,distance,0.7407407407407407
logistic,auto,26,gini,0,1,1,1,0,11,adaptive,77,log2,7,33,nnClassifier,5,7,adam,distance,0.5777777777777777
logistic,brute,19,gini,0,1,1,0,0,18,constant,78,log2,9,26,randomForestClassifier,9,6,sgd,distance,0.7962962962962963
logistic,ball_tree,19,entropy,0,0,1,0,0,34,adaptive,18,auto,15,21,kneighborsClassifier,4,7,sgd,distance,0.7037037037037037
logistic,ball_tree,9,entropy,1,1,1,0,0,26,invscaling,27,log2,8,3,randomForestClassifier,6,9,adam,uniform,0.8611111111111112
logistic,brute,21,entropy,0,0,0,1,0,24,invscaling,77,sqrt,19,32,kneighborsClassifier,6,1,adam,distance,0.7462962962962963
logistic,auto,26,entropy,1,1,1,1,1,40,constant,45,auto,20,29,kneighborsClassifier,3,3,lbfgs,distance,0.8925925925925926
tanh,ball_tree,13,gini,0,0,0,0,0,14,constant,30,log2,12,23,kneighborsClassifier,3,2,sgd,uniform,0
relu,ball_tree,13,gini,0,0,1,0,0,10,constant,72,sqrt,15,5,kneighborsClassifier,6,4,adam,uniform,0.7185185185185186
tanh,auto,24,gini,1,0,0,1,0,19,invscaling,28,auto,15,7,randomForestClassifier,9,8,sgd,uniform,0.8203703703703704
identity,auto,24,gini,1,1,0,1,0,30,invscaling,93,auto,6,7,nnClassifier,4,9,sgd,distance,0.5740740740740741
relu,brute,28,entropy,1,1,0,1,1,30,adaptive,16,sqrt,2,11,kneighborsClassifier,1,9,lbfgs,distance,0.8851851851851852
logistic,brute,22,gini,0,0,1,0,0,27,constant,1,sqrt,7,26,kneighborsClassifier,6,9,lbfgs,uniform,0.7314814814814815
tanh,brute,8,gini,1,0,0,1,0,25,adaptive,39,log2,3,11,nnClassifier,9,4,lbfgs,uniform,0.5611111111111111
tanh,ball_tree,22,entropy,1,1,0,1,1,27,invscaling,88,auto,14,6,kneighborsClassifier,6,5,sgd,distance,0.8740740740740741
logistic,auto,18,entropy,0,1,1,0,1,15,constant,97,sqrt,13,8,nnClassifier,4,4,adam,uniform,0.6166666666666667
tanh,brute,23,entropy,0,0,1,0,1,37,invscaling,99,log2,10,28,kneighborsClassifier,1,6,adam,uniform,0.7870370370370371
identity,ball_tree,30,entropy,1,1,1,0,1,16,invscaling,6,log2,15,16,kneighborsClassifier,3,1,sgd,uniform,0.8870370370370371
logistic,kd_tree,15,entropy,1,0,1,1,1,21,constant,2,sqrt,7,14,nnClassifier,8,4,adam,distance,0.5555555555555556
relu,brute,29,gini,1,1,0,1,1,4,invscaling,25,sqrt,12,26,randomForestClassifier,4,10,lbfgs,uniform,0.8740740740740741
identity,kd_tree,27,gini,0,1,0,1,1,16,constant,28,sqrt,18,38,kneighborsClassifier,2,1,sgd,uniform,0.825925925925926
logistic,auto,18,gini,0,1,0,1,1,12,invscaling,73,sqrt,13,30,nnClassifier,3,4,adam,uniform,0.5481481481481482
relu,ball_tree,17,gini,0,1,0,1,1,32,invscaling,96,sqrt,8,24,kneighborsClassifier,2,8,sgd,uniform,0.8351851851851851
tanh,ball_tree,21,entropy,0,1,0,1,0,4,constant,35,auto,14,5,randomForestClassifier,1,10,lbfgs,distance,0.8111111111111111
