activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,brute,12,gini,1,0,1,1,0,37,adaptive,85,log2,10,37,kneighborsClassifier,3,4,adam,distance,0.8777777777777778
tanh,ball_tree,29,gini,1,1,0,1,1,3,constant,64,auto,16,33,nnClassifier,10,9,adam,uniform,0.6
identity,auto,25,gini,1,0,0,0,1,17,invscaling,59,auto,18,2,nnClassifier,10,7,sgd,uniform,0.687037037037037
tanh,ball_tree,21,gini,0,0,0,1,1,29,constant,67,auto,19,13,nnClassifier,8,8,lbfgs,distance,0.587037037037037
relu,kd_tree,30,entropy,1,1,0,0,0,8,adaptive,85,log2,13,33,randomForestClassifier,9,3,lbfgs,distance,0.8111111111111111
identity,brute,18,entropy,0,1,1,1,0,2,constant,2,log2,6,12,nnClassifier,2,7,lbfgs,uniform,0.6092592592592593
logistic,auto,26,gini,0,1,0,1,0,36,constant,37,sqrt,16,16,nnClassifier,7,5,adam,uniform,0.5833333333333334
tanh,kd_tree,9,gini,1,1,1,0,0,34,adaptive,44,auto,7,23,nnClassifier,10,6,lbfgs,distance,0.6148148148148148
tanh,auto,31,entropy,1,0,1,1,1,19,adaptive,6,log2,11,24,nnClassifier,10,5,sgd,distance,0.6018518518518519
tanh,auto,12,entropy,0,1,0,1,1,2,adaptive,95,sqrt,17,20,randomForestClassifier,6,4,sgd,uniform,0.8203703703703704
logistic,brute,25,gini,1,1,0,0,0,30,adaptive,29,log2,17,7,kneighborsClassifier,3,9,sgd,distance,0.8296296296296296
logistic,auto,15,gini,1,1,1,0,0,10,invscaling,30,auto,10,35,kneighborsClassifier,8,8,adam,distance,0.8740740740740741
identity,ball_tree,13,gini,0,1,1,1,1,18,constant,94,auto,8,23,randomForestClassifier,6,1,lbfgs,distance,0.8537037037037037
logistic,ball_tree,32,entropy,0,1,1,1,0,10,adaptive,43,sqrt,13,38,nnClassifier,9,6,sgd,distance,0.6037037037037037
identity,auto,25,gini,1,0,0,1,0,32,adaptive,92,auto,14,10,randomForestClassifier,4,5,lbfgs,uniform,0.8444444444444444
logistic,ball_tree,25,gini,1,1,0,0,0,8,adaptive,22,auto,7,27,randomForestClassifier,3,7,adam,uniform,0.8148148148148148
tanh,kd_tree,19,entropy,1,1,1,1,1,38,adaptive,9,auto,6,30,nnClassifier,8,3,sgd,distance,0.6055555555555555
relu,brute,13,gini,0,0,0,1,0,3,constant,9,log2,12,7,kneighborsClassifier,7,6,lbfgs,distance,0.7537037037037037
logistic,kd_tree,8,entropy,0,1,0,0,0,21,adaptive,59,auto,7,25,nnClassifier,6,1,lbfgs,uniform,0.6333333333333333
relu,brute,8,gini,0,1,0,1,1,33,constant,47,log2,9,22,randomForestClassifier,2,10,adam,distance,0.8203703703703704
logistic,ball_tree,14,entropy,0,0,0,1,1,4,invscaling,96,sqrt,10,17,randomForestClassifier,5,3,sgd,uniform,0.7925925925925926
tanh,ball_tree,11,entropy,0,1,1,1,0,31,adaptive,76,log2,17,5,nnClassifier,3,4,adam,uniform,0.5851851851851851
relu,auto,13,gini,1,1,1,1,1,12,invscaling,72,auto,18,14,nnClassifier,1,6,adam,distance,0.6259259259259259
tanh,kd_tree,18,gini,1,0,1,1,1,16,constant,66,auto,14,6,kneighborsClassifier,9,5,lbfgs,uniform,0.8555555555555555
identity,kd_tree,18,entropy,1,1,1,1,0,11,constant,83,log2,6,29,nnClassifier,10,9,lbfgs,uniform,0.6111111111111112
tanh,kd_tree,24,entropy,1,1,0,0,0,35,constant,87,sqrt,10,2,randomForestClassifier,1,10,lbfgs,uniform,0.8185185185185185
logistic,ball_tree,23,entropy,1,0,0,0,0,23,constant,93,sqrt,8,23,randomForestClassifier,1,10,lbfgs,uniform,0.7074074074074074
tanh,auto,10,entropy,0,0,1,1,0,28,invscaling,81,log2,10,35,nnClassifier,7,1,adam,uniform,0.5796296296296296
identity,kd_tree,21,entropy,1,1,1,1,1,21,invscaling,43,auto,18,22,randomForestClassifier,4,1,adam,distance,0.8925925925925926
identity,brute,11,gini,1,0,1,1,0,26,invscaling,67,sqrt,12,33,nnClassifier,8,5,lbfgs,uniform,0.6111111111111112
tanh,auto,11,entropy,0,1,0,1,1,40,invscaling,34,log2,6,37,nnClassifier,4,2,adam,uniform,0.5925925925925926
relu,brute,24,gini,1,1,0,0,1,35,adaptive,62,sqrt,4,17,nnClassifier,6,3,sgd,uniform,0.6259259259259259
identity,brute,20,entropy,1,0,1,0,0,4,invscaling,63,sqrt,17,7,kneighborsClassifier,3,5,adam,distance,0.8018518518518518
logistic,brute,19,gini,1,1,1,0,1,36,invscaling,63,sqrt,11,38,randomForestClassifier,9,3,lbfgs,distance,0.8629629629629629
tanh,ball_tree,11,gini,1,0,0,1,1,39,invscaling,87,log2,3,39,randomForestClassifier,6,5,adam,distance,0.8555555555555555
relu,brute,25,entropy,0,0,1,1,0,34,constant,26,auto,8,3,nnClassifier,5,7,lbfgs,distance,0.5796296296296296
relu,brute,18,entropy,1,1,0,1,0,7,constant,35,sqrt,20,38,nnClassifier,10,1,sgd,distance,0.6055555555555555
identity,kd_tree,26,entropy,0,0,0,0,1,14,adaptive,11,log2,5,8,nnClassifier,2,6,adam,uniform,0.6944444444444444
identity,kd_tree,8,entropy,0,0,1,1,0,27,invscaling,72,auto,20,19,nnClassifier,5,10,lbfgs,uniform,0.6222222222222222
identity,auto,31,gini,1,0,1,0,1,2,invscaling,18,auto,4,23,randomForestClassifier,2,8,adam,uniform,0.8518518518518519
identity,ball_tree,19,entropy,1,1,1,1,1,17,adaptive,20,log2,14,25,randomForestClassifier,3,3,sgd,uniform,0.8851851851851852
identity,auto,29,gini,1,1,0,1,0,30,adaptive,18,log2,17,23,kneighborsClassifier,5,3,lbfgs,distance,0.8592592592592593
relu,ball_tree,10,entropy,1,0,0,1,0,22,constant,64,sqrt,8,16,nnClassifier,9,6,adam,distance,0.6092592592592593
logistic,brute,24,gini,1,0,1,1,1,3,adaptive,26,sqrt,14,31,kneighborsClassifier,10,10,adam,distance,0.8962962962962963
tanh,kd_tree,17,gini,0,1,0,0,0,10,invscaling,54,auto,20,40,kneighborsClassifier,2,3,sgd,distance,0.6759259259259259
tanh,auto,20,entropy,0,1,1,0,0,30,adaptive,13,sqrt,14,14,kneighborsClassifier,3,8,lbfgs,uniform,0.7722222222222223
relu,kd_tree,21,entropy,0,1,1,0,0,29,invscaling,100,log2,5,18,nnClassifier,6,10,adam,uniform,0.5703703703703704
relu,ball_tree,11,entropy,0,0,0,1,0,17,adaptive,65,auto,17,3,kneighborsClassifier,6,9,lbfgs,uniform,0.75
