activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,kd_tree,24,entropy,0,0,1,1,1,21,constant,46,auto,20,5,nnClassifier,6,6,lbfgs,uniform,0.6185185185185185
logistic,kd_tree,23,gini,0,0,1,0,1,33,adaptive,56,auto,3,9,kneighborsClassifier,10,2,sgd,uniform,0.7462962962962963
tanh,kd_tree,22,entropy,1,0,0,1,0,3,constant,82,auto,16,22,kneighborsClassifier,1,5,lbfgs,uniform,0.7777777777777778
tanh,kd_tree,18,gini,0,0,0,0,1,12,adaptive,63,log2,2,5,kneighborsClassifier,4,4,sgd,uniform,0.7018518518518518
relu,kd_tree,26,entropy,1,1,0,1,0,38,invscaling,7,log2,8,17,kneighborsClassifier,8,8,lbfgs,uniform,0.8185185185185185
identity,kd_tree,9,entropy,0,1,1,0,0,24,invscaling,50,log2,8,30,nnClassifier,7,4,adam,uniform,0.6648148148148149
relu,ball_tree,9,gini,0,1,1,1,1,13,invscaling,31,log2,18,32,randomForestClassifier,5,9,sgd,uniform,0.8462962962962963
identity,brute,28,gini,1,1,0,0,0,15,adaptive,18,sqrt,3,24,nnClassifier,2,5,sgd,uniform,0.6444444444444445
relu,auto,14,gini,1,0,0,0,1,40,invscaling,38,log2,3,10,randomForestClassifier,5,5,sgd,distance,0.7703703703703704
logistic,brute,20,gini,1,1,1,0,0,39,invscaling,59,sqrt,6,36,kneighborsClassifier,7,8,sgd,uniform,0.8092592592592592
identity,auto,26,gini,1,1,1,0,0,31,constant,52,sqrt,18,16,randomForestClassifier,3,8,lbfgs,distance,0.8092592592592592
relu,ball_tree,14,gini,1,0,1,1,1,37,constant,25,auto,9,2,randomForestClassifier,9,9,adam,distance,0.8574074074074074
logistic,kd_tree,13,entropy,1,0,0,1,0,33,invscaling,72,log2,9,5,nnClassifier,6,2,sgd,uniform,0.7055555555555556
logistic,ball_tree,22,gini,0,1,1,1,0,34,adaptive,6,auto,13,29,randomForestClassifier,10,3,lbfgs,uniform,0.8111111111111111
logistic,kd_tree,31,gini,1,1,0,1,1,17,constant,72,log2,3,31,randomForestClassifier,4,6,sgd,uniform,0.8518518518518519
identity,auto,12,gini,1,1,1,1,0,12,invscaling,90,auto,7,22,kneighborsClassifier,1,4,sgd,distance,0.8777777777777778
tanh,brute,22,entropy,0,0,0,0,0,35,invscaling,4,log2,7,38,nnClassifier,10,6,sgd,distance,0
identity,kd_tree,12,gini,1,0,1,0,0,27,constant,92,auto,8,12,nnClassifier,3,3,lbfgs,uniform,0.6722222222222223
relu,brute,10,gini,1,0,1,0,1,19,adaptive,83,log2,13,36,kneighborsClassifier,3,9,lbfgs,distance,0.8351851851851851
logistic,brute,23,gini,0,0,0,0,1,29,adaptive,74,sqrt,17,39,randomForestClassifier,10,6,sgd,uniform,0.7388888888888889
relu,ball_tree,28,entropy,0,0,0,1,1,38,constant,73,sqrt,14,24,nnClassifier,4,1,sgd,uniform,0.6148148148148148
logistic,ball_tree,19,gini,0,0,1,1,1,14,invscaling,22,log2,13,35,kneighborsClassifier,1,9,sgd,uniform,0.8
identity,brute,32,gini,1,0,1,0,0,17,constant,19,auto,2,4,nnClassifier,2,1,adam,uniform,0.6648148148148149
identity,kd_tree,12,entropy,1,1,0,0,0,40,adaptive,35,log2,16,30,kneighborsClassifier,2,5,lbfgs,uniform,0.7833333333333333
identity,brute,13,gini,1,1,1,0,0,10,adaptive,94,log2,13,40,nnClassifier,6,3,adam,uniform,0.6537037037037037
tanh,brute,23,entropy,0,0,0,0,1,21,constant,39,log2,5,34,randomForestClassifier,8,4,sgd,distance,0.725925925925926
tanh,ball_tree,17,gini,1,1,1,0,0,2,invscaling,47,sqrt,4,38,kneighborsClassifier,9,2,lbfgs,uniform,0.8092592592592592
logistic,ball_tree,29,gini,0,1,0,1,0,15,invscaling,78,sqrt,18,3,randomForestClassifier,10,4,adam,distance,0.8037037037037037
logistic,kd_tree,15,gini,0,1,0,0,1,12,invscaling,38,log2,11,32,randomForestClassifier,8,10,sgd,uniform,0.7870370370370371
identity,auto,21,entropy,1,0,0,1,0,40,invscaling,81,auto,4,35,nnClassifier,5,2,adam,uniform,0.6685185185185185
relu,kd_tree,10,gini,0,0,1,0,0,32,invscaling,33,auto,17,15,nnClassifier,9,5,lbfgs,uniform,0.6537037037037037
identity,auto,25,entropy,0,0,1,1,0,21,invscaling,42,log2,20,27,kneighborsClassifier,3,7,lbfgs,uniform,0.7666666666666667
logistic,brute,11,gini,1,0,1,1,0,15,constant,35,auto,9,27,kneighborsClassifier,9,7,lbfgs,uniform,0.7962962962962963
tanh,kd_tree,30,entropy,1,1,1,0,0,30,constant,10,auto,8,25,nnClassifier,9,9,sgd,distance,0.5611111111111111
identity,ball_tree,20,entropy,0,1,1,0,1,35,invscaling,96,log2,19,35,randomForestClassifier,6,3,adam,uniform,0.7944444444444444
tanh,auto,12,gini,0,0,0,0,1,22,invscaling,100,auto,3,21,kneighborsClassifier,8,2,sgd,distance,0.6814814814814815
identity,brute,25,gini,1,0,1,1,0,19,constant,26,log2,9,33,randomForestClassifier,8,8,lbfgs,uniform,0.8240740740740741
logistic,kd_tree,13,gini,0,0,1,0,0,21,invscaling,93,sqrt,20,27,nnClassifier,9,1,sgd,uniform,0.7055555555555556
logistic,ball_tree,28,entropy,1,1,1,0,1,35,adaptive,63,sqrt,9,14,nnClassifier,4,8,adam,distance,0.5574074074074075
