activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,brute,14,entropy,1,0,1,0,0,17,invscaling,28,log2,4,40,randomForestClassifier,6,9,lbfgs,uniform,0.8222222222222222
logistic,brute,19,entropy,1,1,1,1,1,27,constant,1,auto,7,22,kneighborsClassifier,8,9,adam,distance,0.9314814814814815
identity,brute,14,gini,0,1,0,1,1,17,constant,52,log2,11,17,nnClassifier,4,5,lbfgs,distance,0.6481481481481481
relu,ball_tree,30,gini,0,1,0,0,0,8,constant,78,auto,20,16,kneighborsClassifier,8,5,sgd,distance,0.6944444444444444
relu,brute,24,entropy,1,1,1,1,0,35,constant,35,log2,19,5,nnClassifier,4,2,lbfgs,uniform,0.5555555555555556
relu,auto,19,gini,0,1,1,1,0,5,adaptive,42,log2,4,36,nnClassifier,6,7,lbfgs,uniform,0.5685185185185185
logistic,auto,22,gini,1,1,0,0,0,18,constant,42,auto,11,21,kneighborsClassifier,7,6,sgd,uniform,0.7981481481481482
tanh,ball_tree,17,gini,0,0,1,0,0,21,constant,21,log2,9,33,randomForestClassifier,1,5,lbfgs,uniform,0.7074074074074074
tanh,auto,14,gini,1,1,0,0,0,11,constant,82,sqrt,5,28,kneighborsClassifier,5,1,lbfgs,distance,0.7722222222222223
logistic,ball_tree,19,entropy,0,0,0,1,0,36,constant,71,auto,8,40,nnClassifier,9,2,sgd,uniform,0.5814814814814815
tanh,ball_tree,12,entropy,0,1,1,0,0,14,invscaling,80,sqrt,3,8,randomForestClassifier,9,2,sgd,distance,0.8
identity,kd_tree,16,gini,0,1,1,1,0,37,invscaling,57,log2,20,18,nnClassifier,3,6,adam,distance,0.6222222222222222
identity,ball_tree,21,gini,0,1,1,0,0,2,constant,59,auto,6,16,kneighborsClassifier,2,2,sgd,distance,0.7703703703703704
identity,ball_tree,19,gini,0,0,0,1,0,13,invscaling,26,auto,14,8,nnClassifier,8,1,adam,uniform,0.6592592592592592
logistic,auto,21,gini,1,0,1,0,0,2,adaptive,26,log2,11,35,randomForestClassifier,3,10,sgd,uniform,0.8185185185185185
logistic,ball_tree,15,gini,1,1,0,0,0,33,invscaling,99,log2,14,16,randomForestClassifier,6,2,sgd,distance,0.8148148148148148
identity,auto,26,gini,0,0,0,1,0,18,invscaling,22,log2,9,20,randomForestClassifier,4,7,lbfgs,uniform,0.7777777777777778
identity,kd_tree,10,entropy,0,0,1,1,0,27,constant,97,log2,16,10,nnClassifier,2,9,adam,uniform,0.6240740740740741
relu,auto,21,gini,1,0,1,0,1,16,constant,88,sqrt,18,3,kneighborsClassifier,7,9,sgd,distance,0.8944444444444445
relu,auto,19,entropy,0,0,0,0,1,38,constant,91,auto,5,5,kneighborsClassifier,7,7,lbfgs,uniform,0.7592592592592593
relu,kd_tree,9,entropy,0,0,0,0,1,16,invscaling,9,log2,4,14,kneighborsClassifier,4,9,adam,uniform,0.7611111111111111
logistic,ball_tree,17,gini,1,0,0,1,0,19,adaptive,9,log2,11,39,kneighborsClassifier,3,2,lbfgs,distance,0.7888888888888889
logistic,auto,30,gini,0,0,1,1,1,32,adaptive,14,log2,16,35,kneighborsClassifier,2,7,lbfgs,uniform,0.8314814814814815
relu,kd_tree,23,entropy,0,0,1,1,0,34,adaptive,39,sqrt,9,31,randomForestClassifier,6,7,lbfgs,uniform,0.7777777777777778
logistic,kd_tree,10,gini,1,0,1,0,1,23,adaptive,42,sqrt,2,5,nnClassifier,9,7,adam,distance,0.6055555555555555
identity,kd_tree,11,gini,1,1,0,1,1,29,constant,41,sqrt,12,38,randomForestClassifier,10,1,sgd,uniform,0.8740740740740741
logistic,kd_tree,27,gini,1,0,0,0,1,40,constant,92,sqrt,12,25,randomForestClassifier,3,2,sgd,distance,0.8333333333333334
relu,auto,29,entropy,0,0,1,1,1,40,invscaling,78,sqrt,11,16,kneighborsClassifier,2,9,adam,uniform,0.8351851851851851
relu,auto,12,gini,1,0,0,1,0,29,constant,70,sqrt,11,21,kneighborsClassifier,1,10,adam,uniform,0.8277777777777777
identity,kd_tree,18,entropy,0,1,0,0,1,11,invscaling,96,log2,15,6,randomForestClassifier,1,9,sgd,uniform,0.8092592592592592
tanh,kd_tree,21,entropy,1,0,0,0,0,22,invscaling,11,auto,6,23,kneighborsClassifier,4,10,lbfgs,uniform,0.6759259259259259
logistic,ball_tree,25,entropy,1,1,0,1,1,30,adaptive,88,log2,10,23,randomForestClassifier,5,7,sgd,uniform,0.8851851851851852
relu,brute,14,gini,0,1,1,1,0,26,adaptive,2,log2,15,32,kneighborsClassifier,6,6,lbfgs,distance,0.8629629629629629
logistic,auto,23,gini,1,1,0,0,1,30,adaptive,65,auto,17,6,kneighborsClassifier,10,2,adam,distance,0.8703703703703703
logistic,brute,9,gini,1,0,1,1,1,28,constant,50,sqrt,17,2,randomForestClassifier,6,5,adam,distance,0.8851851851851852
tanh,ball_tree,25,gini,1,1,1,1,0,30,adaptive,14,auto,11,17,nnClassifier,6,8,adam,uniform,0.5814814814814815
tanh,ball_tree,24,gini,0,1,0,0,1,13,constant,57,sqrt,12,33,nnClassifier,5,7,lbfgs,distance,0.6351851851851852
tanh,brute,13,entropy,1,1,0,0,0,19,constant,70,log2,15,34,kneighborsClassifier,8,3,adam,distance,0.7981481481481482
tanh,kd_tree,32,entropy,1,0,1,0,0,40,adaptive,100,sqrt,13,33,randomForestClassifier,6,1,sgd,distance,0.8185185185185185
identity,brute,23,gini,0,1,1,1,0,33,adaptive,97,sqrt,18,5,nnClassifier,4,10,adam,distance,0.6185185185185185
relu,ball_tree,19,entropy,1,0,1,1,1,36,adaptive,5,log2,5,22,nnClassifier,9,5,adam,distance,0.5703703703703704
tanh,brute,16,gini,0,1,0,0,0,29,constant,52,log2,14,19,kneighborsClassifier,1,1,lbfgs,distance,0.65
logistic,brute,22,entropy,0,0,0,1,0,7,invscaling,42,log2,20,35,nnClassifier,9,8,lbfgs,uniform,0.5555555555555556
logistic,ball_tree,15,entropy,0,1,0,1,0,19,constant,54,sqrt,5,7,randomForestClassifier,7,4,sgd,uniform,0.8037037037037037
relu,kd_tree,22,gini,1,1,0,1,0,11,adaptive,100,auto,20,28,kneighborsClassifier,5,5,lbfgs,distance,0.8574074074074074
identity,kd_tree,9,entropy,0,1,1,1,0,40,invscaling,90,log2,17,36,kneighborsClassifier,5,9,sgd,distance,0.8462962962962963
identity,brute,30,gini,1,0,0,0,1,35,invscaling,22,auto,17,7,randomForestClassifier,2,4,lbfgs,uniform,0.837037037037037
logistic,kd_tree,10,entropy,0,0,0,1,0,27,constant,62,sqrt,15,25,nnClassifier,1,8,lbfgs,uniform,0.5444444444444444
identity,ball_tree,32,gini,0,1,0,1,1,32,constant,49,auto,3,30,nnClassifier,6,10,sgd,distance,0.6537037037037037
identity,ball_tree,19,gini,0,1,0,1,0,18,constant,99,log2,10,34,kneighborsClassifier,2,9,lbfgs,distance,0.812962962962963
logistic,kd_tree,20,gini,1,1,0,0,0,6,adaptive,39,sqrt,9,30,randomForestClassifier,7,4,lbfgs,uniform,0.8
identity,kd_tree,10,entropy,1,1,0,0,1,3,invscaling,66,log2,14,14,kneighborsClassifier,4,7,lbfgs,distance,0.8777777777777778
logistic,auto,13,gini,0,1,0,0,0,32,constant,85,auto,7,26,kneighborsClassifier,2,4,lbfgs,distance,0.6944444444444444
identity,ball_tree,21,gini,0,0,1,1,0,3,adaptive,56,log2,10,33,kneighborsClassifier,6,7,adam,distance,0.8
identity,auto,11,entropy,1,1,1,1,0,39,constant,68,auto,20,4,nnClassifier,10,10,sgd,uniform,0.6111111111111112
relu,auto,32,gini,1,0,0,0,0,2,adaptive,47,log2,15,33,nnClassifier,4,6,sgd,uniform,0.7
identity,auto,29,gini,0,0,1,0,0,28,invscaling,69,sqrt,15,38,randomForestClassifier,4,3,adam,uniform,0.7277777777777777
tanh,ball_tree,21,gini,0,0,0,1,0,33,invscaling,25,sqrt,5,31,kneighborsClassifier,2,10,sgd,uniform,0.7796296296296297
identity,brute,12,gini,1,1,0,1,0,5,adaptive,61,log2,4,40,nnClassifier,9,4,adam,distance,0.6055555555555555
relu,auto,11,entropy,0,1,0,0,1,7,constant,79,log2,2,25,kneighborsClassifier,7,7,sgd,distance,0.8074074074074075
identity,ball_tree,22,gini,1,0,1,1,1,13,invscaling,55,log2,6,28,kneighborsClassifier,8,8,adam,distance,0.9055555555555556
tanh,kd_tree,18,entropy,0,0,1,0,0,33,constant,56,log2,18,36,nnClassifier,9,8,lbfgs,distance,0.7
logistic,brute,11,gini,1,1,1,0,1,33,invscaling,46,sqrt,14,27,nnClassifier,4,7,sgd,distance,0.7
tanh,ball_tree,32,gini,0,1,0,0,1,23,constant,86,auto,10,39,kneighborsClassifier,7,8,lbfgs,distance,0.8074074074074075
identity,brute,28,gini,0,0,1,0,1,21,invscaling,32,auto,2,28,nnClassifier,9,1,lbfgs,distance,0.6685185185185185
logistic,auto,15,gini,0,0,1,1,1,32,constant,59,log2,15,21,kneighborsClassifier,4,10,sgd,distance,0.85
identity,brute,13,gini,1,0,0,1,1,10,adaptive,31,sqrt,16,4,nnClassifier,1,6,sgd,uniform,0.65
logistic,auto,12,entropy,1,1,1,0,0,3,invscaling,62,auto,9,9,nnClassifier,3,10,lbfgs,distance,0.5907407407407408
identity,ball_tree,27,gini,0,1,1,1,1,6,adaptive,58,log2,17,19,nnClassifier,5,5,adam,uniform,0.6277777777777778
relu,brute,28,entropy,1,0,1,0,0,28,constant,18,log2,4,5,nnClassifier,2,3,lbfgs,uniform,0.7
tanh,auto,32,gini,0,0,1,1,1,19,adaptive,6,sqrt,8,27,randomForestClassifier,10,5,sgd,uniform,0.8240740740740741
tanh,auto,14,gini,1,1,0,0,0,3,invscaling,77,auto,7,10,nnClassifier,5,5,sgd,uniform,0.6185185185185185
identity,ball_tree,31,entropy,1,0,0,0,1,40,invscaling,94,log2,10,10,kneighborsClassifier,10,8,adam,uniform,0.8018518518518518
logistic,auto,28,gini,0,1,1,0,1,24,invscaling,14,log2,6,5,kneighborsClassifier,7,5,lbfgs,distance,0.8759259259259259
relu,kd_tree,31,entropy,0,1,0,0,1,25,invscaling,46,sqrt,8,38,nnClassifier,8,1,lbfgs,distance,0.5907407407407408
tanh,ball_tree,17,entropy,0,1,1,0,0,7,adaptive,84,log2,12,2,randomForestClassifier,1,6,sgd,uniform,0.7851851851851852
tanh,kd_tree,19,gini,1,0,1,1,0,13,adaptive,44,log2,11,29,kneighborsClassifier,2,9,sgd,uniform,0.8685185185185185
logistic,auto,18,gini,1,0,1,0,1,3,invscaling,75,log2,15,35,randomForestClassifier,10,3,adam,distance,0.8666666666666667
identity,auto,11,gini,1,0,1,1,0,34,adaptive,58,log2,19,36,randomForestClassifier,8,5,adam,uniform,0.8611111111111112
tanh,auto,10,gini,1,1,1,1,0,33,adaptive,43,auto,18,22,nnClassifier,5,4,adam,distance,0.5944444444444444
relu,kd_tree,19,entropy,1,0,1,1,1,16,adaptive,83,auto,2,4,kneighborsClassifier,10,8,adam,uniform,0.8796296296296297
relu,brute,30,gini,0,1,1,1,0,26,constant,13,sqrt,20,35,randomForestClassifier,5,4,lbfgs,uniform,0.8240740740740741
logistic,brute,9,gini,0,1,0,0,0,33,invscaling,52,sqrt,5,40,nnClassifier,7,10,sgd,uniform,0.7
tanh,kd_tree,10,gini,0,1,0,0,0,25,invscaling,72,sqrt,2,18,kneighborsClassifier,8,4,sgd,uniform,0.7148148148148148
logistic,kd_tree,31,entropy,1,1,1,1,1,18,adaptive,75,auto,16,37,kneighborsClassifier,4,4,lbfgs,distance,0.9203703703703704
relu,brute,18,entropy,0,0,0,1,1,33,invscaling,96,log2,15,22,randomForestClassifier,9,9,lbfgs,distance,0.8240740740740741
identity,brute,12,gini,0,1,0,0,0,26,invscaling,86,log2,6,22,kneighborsClassifier,7,8,lbfgs,uniform,0.7055555555555556
tanh,auto,8,entropy,1,0,1,0,1,11,constant,80,sqrt,4,18,kneighborsClassifier,9,1,adam,uniform,0.8777777777777778
identity,auto,10,entropy,0,1,1,1,1,13,constant,10,log2,14,5,kneighborsClassifier,5,1,sgd,distance,0.8796296296296297
identity,auto,13,entropy,0,1,0,0,0,32,constant,25,auto,2,26,kneighborsClassifier,2,6,lbfgs,distance,0.6907407407407408
tanh,brute,23,gini,0,1,0,1,0,22,invscaling,55,sqrt,7,38,kneighborsClassifier,9,5,adam,uniform,0.7888888888888889
relu,auto,21,gini,0,0,0,1,0,4,constant,92,log2,15,11,nnClassifier,7,7,lbfgs,uniform,0.5518518518518518
logistic,auto,30,entropy,1,1,0,0,1,19,adaptive,3,sqrt,4,9,randomForestClassifier,3,1,sgd,distance,0.7796296296296297
logistic,kd_tree,22,entropy,1,1,1,0,0,11,invscaling,26,auto,13,30,randomForestClassifier,5,10,adam,uniform,0.8796296296296297
tanh,brute,11,entropy,0,1,1,0,1,39,constant,85,log2,2,34,nnClassifier,7,7,adam,uniform,0.6018518518518519
relu,auto,11,entropy,0,1,1,0,1,4,adaptive,36,log2,14,10,nnClassifier,6,3,adam,uniform,0.575925925925926
tanh,kd_tree,32,entropy,0,1,1,1,1,5,adaptive,49,auto,9,4,randomForestClassifier,9,5,sgd,uniform,0.8833333333333333
identity,brute,12,entropy,0,1,0,0,1,23,adaptive,4,log2,16,29,randomForestClassifier,2,8,sgd,distance,0.7981481481481482
relu,auto,32,gini,1,0,1,0,1,5,adaptive,12,log2,7,9,nnClassifier,9,1,sgd,uniform,0.587037037037037
relu,auto,21,gini,1,1,0,0,0,30,constant,59,sqrt,7,4,kneighborsClassifier,8,8,adam,distance,0.8166666666666667
