activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,kd_tree,8,entropy,1,0,0,0,0,24,constant,97,log2,14,30,randomForestClassifier,7,5,lbfgs,distance,0.6722222222222223
identity,ball_tree,31,gini,0,0,1,1,0,10,adaptive,98,log2,8,8,kneighborsClassifier,9,2,lbfgs,distance,0.7611111111111111
identity,kd_tree,22,gini,1,1,1,1,1,28,adaptive,24,sqrt,20,5,kneighborsClassifier,7,6,adam,uniform,0.8925925925925926
tanh,auto,23,entropy,0,0,1,0,1,7,constant,70,log2,16,20,nnClassifier,1,1,adam,distance,0.6351851851851852
relu,ball_tree,10,entropy,1,1,1,0,1,37,adaptive,51,log2,5,25,nnClassifier,1,3,adam,distance,0.5722222222222222
identity,auto,19,gini,0,0,1,1,1,22,constant,26,log2,11,30,kneighborsClassifier,4,1,sgd,distance,0.8388888888888889
identity,kd_tree,28,gini,0,1,0,1,0,39,constant,77,sqrt,16,31,kneighborsClassifier,9,1,sgd,distance,0.7833333333333333
identity,kd_tree,15,gini,1,0,1,0,1,17,adaptive,55,log2,16,6,nnClassifier,1,8,lbfgs,uniform,0.6481481481481481
tanh,brute,21,gini,1,0,1,0,1,32,invscaling,77,auto,3,11,kneighborsClassifier,1,9,sgd,uniform,0.85
identity,ball_tree,30,gini,0,1,1,1,0,9,invscaling,59,log2,3,14,kneighborsClassifier,2,7,sgd,uniform,0.8185185185185185
tanh,auto,27,entropy,1,1,1,0,0,39,constant,23,sqrt,8,24,kneighborsClassifier,10,6,lbfgs,uniform,0.8425925925925926
relu,brute,20,entropy,1,0,0,0,1,4,adaptive,21,auto,12,26,kneighborsClassifier,9,4,adam,distance,0.7907407407407407
logistic,ball_tree,30,gini,0,1,1,1,1,27,constant,68,log2,3,11,randomForestClassifier,2,9,lbfgs,uniform,0.8851851851851852
identity,kd_tree,20,gini,0,1,0,1,1,40,invscaling,77,log2,12,21,nnClassifier,4,6,adam,uniform,0.6277777777777778
logistic,auto,29,entropy,1,0,1,0,0,2,adaptive,75,sqrt,9,22,kneighborsClassifier,2,2,sgd,distance,0.7722222222222223
identity,brute,28,entropy,1,0,0,0,0,17,constant,95,auto,16,8,kneighborsClassifier,2,3,lbfgs,uniform,0.6611111111111111
identity,brute,13,gini,1,0,0,1,1,5,invscaling,18,sqrt,12,33,nnClassifier,3,4,sgd,distance,0.6111111111111112
relu,ball_tree,10,gini,0,1,0,0,1,13,adaptive,65,auto,19,11,randomForestClassifier,9,8,adam,distance,0.8166666666666667
identity,kd_tree,10,gini,0,1,1,0,0,33,adaptive,22,sqrt,16,35,randomForestClassifier,5,4,lbfgs,uniform,0.7796296296296297
logistic,kd_tree,26,entropy,0,1,1,0,1,11,constant,63,auto,6,4,randomForestClassifier,1,6,sgd,distance,0.8537037037037037
logistic,brute,27,entropy,1,0,1,1,1,33,constant,47,auto,13,5,randomForestClassifier,5,6,lbfgs,distance,0.8537037037037037
tanh,ball_tree,20,entropy,1,1,1,1,1,36,invscaling,77,log2,11,29,randomForestClassifier,1,1,lbfgs,distance,0.8703703703703703
tanh,ball_tree,19,gini,0,1,1,1,0,9,constant,72,sqrt,7,11,randomForestClassifier,2,1,sgd,distance,0.8185185185185185
relu,auto,18,entropy,0,1,1,1,1,38,invscaling,80,log2,16,2,nnClassifier,6,1,lbfgs,distance,0.5962962962962963
identity,kd_tree,14,entropy,1,0,0,0,0,15,adaptive,20,log2,5,6,nnClassifier,6,7,sgd,distance,0.7111111111111111
tanh,ball_tree,16,entropy,1,0,1,0,1,14,invscaling,35,sqrt,18,35,randomForestClassifier,6,5,lbfgs,distance,0.8481481481481481
tanh,brute,28,entropy,1,1,0,1,0,23,adaptive,24,log2,10,3,kneighborsClassifier,7,5,adam,uniform,0.8481481481481481
