activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,auto,22,gini,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,18,adaptive,40,sqrt,4,10,randomForestClassifier,5,7,sgd,distance,0.1875
identity,auto,26,gini,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,8,adaptive,29,sqrt,20,8,kneighborsClassifier,10,1,sgd,distance,0.0078125
identity,brute,9,gini,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,22,adaptive,44,sqrt,12,36,nnClassifier,2,4,adam,uniform,0.984375
logistic,ball_tree,8,entropy,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,27,constant,88,log2,20,11,kneighborsClassifier,7,6,sgd,uniform,0.01171875
relu,kd_tree,18,gini,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,29,constant,39,auto,2,11,nnClassifier,2,2,lbfgs,distance,0.986328125
relu,brute,23,gini,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,21,invscaling,84,log2,9,36,randomForestClassifier,10,7,sgd,distance,0.5
relu,brute,11,gini,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,32,adaptive,47,sqrt,9,25,randomForestClassifier,6,1,sgd,uniform,0.0390625
identity,ball_tree,9,gini,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,17,invscaling,24,sqrt,3,8,randomForestClassifier,6,5,lbfgs,uniform,0.70703125
logistic,brute,13,entropy,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,5,invscaling,50,log2,2,5,randomForestClassifier,5,2,lbfgs,uniform,0.6328125
logistic,ball_tree,16,gini,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,16,constant,37,auto,18,7,kneighborsClassifier,7,2,sgd,uniform,0.009765625
identity,brute,16,entropy,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,4,adaptive,69,auto,16,29,nnClassifier,3,9,sgd,distance,0.9921875
tanh,brute,28,entropy,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,22,invscaling,99,auto,11,35,kneighborsClassifier,9,7,lbfgs,uniform,0.009765625
logistic,auto,25,entropy,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,14,invscaling,41,sqrt,8,37,randomForestClassifier,7,6,adam,uniform,0.02734375
tanh,brute,19,gini,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,16,invscaling,92,auto,9,28,randomForestClassifier,7,4,sgd,distance,0.1640625
tanh,brute,11,gini,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,32,adaptive,55,sqrt,11,24,nnClassifier,8,5,lbfgs,distance,0.986328125
tanh,kd_tree,12,entropy,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,26,invscaling,98,auto,12,8,kneighborsClassifier,8,9,lbfgs,uniform,0.013671875
relu,brute,8,entropy,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,39,constant,82,log2,16,5,nnClassifier,3,6,lbfgs,uniform,0.990234375
logistic,brute,14,gini,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,14,adaptive,40,auto,9,27,kneighborsClassifier,10,6,lbfgs,distance,0.005859375
identity,brute,12,gini,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,19,adaptive,92,log2,5,6,nnClassifier,4,1,adam,distance,0.9921875
tanh,ball_tree,32,gini,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,37,constant,72,auto,17,33,nnClassifier,6,8,lbfgs,distance,0.9921875
logistic,brute,19,entropy,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,6,adaptive,49,auto,15,16,kneighborsClassifier,6,9,lbfgs,distance,0.0078125
identity,auto,17,entropy,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,9,invscaling,34,auto,19,3,nnClassifier,10,10,lbfgs,uniform,0.9921875
tanh,ball_tree,26,gini,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,11,invscaling,97,sqrt,13,16,nnClassifier,2,6,adam,distance,0.9921875
relu,auto,27,entropy,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,27,invscaling,20,sqrt,8,7,kneighborsClassifier,8,7,adam,uniform,0.001953125
logistic,brute,12,gini,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,12,adaptive,37,log2,3,31,kneighborsClassifier,10,8,sgd,distance,0.01171875
relu,brute,23,entropy,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,15,invscaling,46,sqrt,10,27,nnClassifier,1,5,lbfgs,distance,0.98828125
identity,kd_tree,22,entropy,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,30,constant,6,auto,3,5,nnClassifier,5,1,adam,distance,0.990234375
logistic,kd_tree,18,gini,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,34,adaptive,80,auto,9,7,kneighborsClassifier,1,10,sgd,distance,0.005859375
identity,ball_tree,20,gini,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,28,constant,86,auto,13,6,kneighborsClassifier,8,9,lbfgs,uniform,0.009765625
tanh,auto,10,entropy,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,36,constant,51,log2,5,36,randomForestClassifier,1,10,adam,uniform,0.01953125
logistic,auto,9,entropy,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,14,invscaling,28,log2,3,2,nnClassifier,9,1,sgd,distance,0.9921875
relu,brute,30,gini,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,28,adaptive,61,sqrt,5,23,kneighborsClassifier,9,5,sgd,distance,0.015625
identity,kd_tree,20,entropy,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,6,constant,55,auto,12,10,kneighborsClassifier,4,9,sgd,distance,0.009765625
logistic,auto,18,gini,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,15,constant,36,auto,5,8,nnClassifier,10,6,lbfgs,uniform,0.984375
logistic,brute,17,entropy,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,15,invscaling,59,log2,9,31,kneighborsClassifier,7,7,sgd,distance,0.0234375
relu,ball_tree,9,entropy,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,16,constant,80,sqrt,16,23,kneighborsClassifier,5,8,sgd,distance,0.017578125
relu,ball_tree,13,entropy,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,32,adaptive,23,auto,16,16,nnClassifier,5,8,sgd,distance,0.990234375
tanh,auto,32,entropy,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,2,constant,58,sqrt,5,12,randomForestClassifier,5,3,adam,distance,0.173828125
logistic,brute,8,entropy,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,32,constant,6,log2,17,38,kneighborsClassifier,10,2,lbfgs,uniform,0.017578125
tanh,auto,29,entropy,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,22,adaptive,76,log2,9,27,nnClassifier,3,2,lbfgs,distance,0.986328125
identity,ball_tree,13,gini,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,14,invscaling,98,auto,14,31,randomForestClassifier,4,1,lbfgs,distance,0.02734375
logistic,kd_tree,24,entropy,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,3,invscaling,41,sqrt,6,9,nnClassifier,1,8,sgd,distance,0.9921875
tanh,auto,10,entropy,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,33,invscaling,17,log2,17,31,kneighborsClassifier,3,4,sgd,distance,0.02734375
tanh,kd_tree,12,entropy,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,30,constant,26,log2,14,7,kneighborsClassifier,3,5,sgd,uniform,0.017578125
tanh,ball_tree,26,entropy,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,15,invscaling,11,sqrt,5,4,nnClassifier,2,6,adam,uniform,0.984375
identity,brute,8,gini,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,40,constant,3,log2,18,2,kneighborsClassifier,10,4,sgd,uniform,0.005859375
logistic,brute,25,gini,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,16,invscaling,61,sqrt,6,31,randomForestClassifier,1,8,sgd,distance,0.484375
identity,brute,8,entropy,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,33,invscaling,27,sqrt,19,39,kneighborsClassifier,9,4,sgd,distance,0.009765625
logistic,kd_tree,14,entropy,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,21,invscaling,37,log2,9,30,nnClassifier,6,4,sgd,distance,0.9921875
tanh,kd_tree,17,entropy,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,26,invscaling,10,log2,5,2,nnClassifier,1,6,adam,distance,0.98828125
relu,kd_tree,31,entropy,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,10,invscaling,32,auto,17,7,nnClassifier,4,2,adam,distance,0.986328125
