activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,kd_tree,14,entropy,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,28,adaptive,21,auto,10,31,nnClassifier,8,8,sgd,uniform,0.990234375
logistic,brute,14,entropy,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,6,constant,96,sqrt,5,17,kneighborsClassifier,10,10,adam,distance,0.009765625
relu,ball_tree,23,gini,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,30,invscaling,21,sqrt,5,13,randomForestClassifier,9,8,lbfgs,distance,0.03125
relu,ball_tree,25,entropy,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,2,invscaling,51,sqrt,12,4,nnClassifier,7,6,adam,uniform,0.990234375
relu,ball_tree,15,entropy,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,37,invscaling,86,log2,2,21,randomForestClassifier,3,6,lbfgs,distance,0.130859375
logistic,ball_tree,21,gini,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,24,invscaling,6,sqrt,19,9,randomForestClassifier,3,7,sgd,uniform,0.015625
logistic,ball_tree,10,gini,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,39,invscaling,16,log2,14,24,kneighborsClassifier,1,10,adam,distance,0.0078125
logistic,ball_tree,22,gini,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,3,adaptive,81,log2,18,8,randomForestClassifier,10,4,lbfgs,distance,0.0546875
tanh,auto,15,entropy,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,22,invscaling,18,log2,16,6,kneighborsClassifier,5,9,adam,distance,0.025390625
logistic,ball_tree,28,gini,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,15,adaptive,40,sqrt,14,14,kneighborsClassifier,10,9,lbfgs,distance,0.01953125
identity,kd_tree,13,entropy,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,33,constant,69,log2,12,2,nnClassifier,5,4,sgd,uniform,0.984375
relu,auto,32,gini,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,18,invscaling,50,sqrt,12,38,randomForestClassifier,7,2,adam,distance,0.57421875
tanh,auto,13,entropy,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,29,constant,3,auto,6,13,kneighborsClassifier,9,6,adam,distance,0.013671875
tanh,brute,21,gini,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,30,constant,19,log2,16,14,randomForestClassifier,8,3,sgd,distance,0.166015625
logistic,brute,26,gini,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,28,invscaling,1,log2,6,6,nnClassifier,8,5,lbfgs,distance,0.986328125
identity,ball_tree,26,gini,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,38,constant,91,auto,14,8,randomForestClassifier,2,9,adam,distance,0.615234375
tanh,auto,32,entropy,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,11,adaptive,22,log2,14,35,randomForestClassifier,4,2,lbfgs,uniform,0.412109375
tanh,auto,31,gini,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,39,adaptive,97,auto,9,14,randomForestClassifier,2,8,lbfgs,uniform,0.607421875
logistic,kd_tree,17,gini,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,37,invscaling,60,sqrt,18,33,nnClassifier,3,1,lbfgs,distance,0.986328125
identity,auto,12,entropy,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,6,constant,44,log2,5,33,kneighborsClassifier,7,1,adam,distance,0.01953125
tanh,ball_tree,15,gini,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,13,invscaling,97,sqrt,5,8,nnClassifier,7,1,sgd,distance,0.990234375
relu,auto,13,entropy,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,36,adaptive,3,sqrt,20,16,randomForestClassifier,10,9,adam,uniform,0.115234375
identity,auto,16,gini,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,36,constant,53,log2,19,21,randomForestClassifier,6,6,adam,distance,0.13671875
relu,brute,28,gini,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,22,constant,33,log2,14,22,nnClassifier,2,4,sgd,uniform,0.990234375
relu,ball_tree,23,gini,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,32,invscaling,82,auto,20,21,kneighborsClassifier,10,10,sgd,distance,0.0234375
logistic,brute,27,entropy,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,2,adaptive,52,auto,17,27,randomForestClassifier,10,9,adam,distance,0.40625
relu,kd_tree,10,gini,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,9,adaptive,51,log2,18,12,randomForestClassifier,9,2,sgd,uniform,0.04296875
identity,brute,13,gini,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,37,adaptive,94,sqrt,18,37,randomForestClassifier,8,5,sgd,distance,0.08984375
logistic,auto,29,entropy,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,26,invscaling,83,log2,20,37,nnClassifier,4,3,lbfgs,uniform,0.990234375
logistic,auto,26,entropy,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,29,adaptive,12,log2,9,7,kneighborsClassifier,1,5,adam,uniform,0.015625
tanh,auto,9,gini,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,27,invscaling,63,auto,12,28,randomForestClassifier,4,5,sgd,uniform,0.12109375
tanh,brute,22,gini,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,14,adaptive,50,auto,9,6,kneighborsClassifier,4,2,lbfgs,uniform,0.02734375
identity,ball_tree,17,gini,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,2,adaptive,50,log2,3,20,nnClassifier,4,1,sgd,distance,0.98828125
relu,ball_tree,28,entropy,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,29,invscaling,72,sqrt,4,26,kneighborsClassifier,10,8,lbfgs,distance,0.01171875
identity,auto,28,gini,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,15,adaptive,20,log2,12,35,nnClassifier,6,1,lbfgs,uniform,0.986328125
relu,brute,26,entropy,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,8,constant,6,sqrt,13,23,kneighborsClassifier,10,9,sgd,uniform,0.00390625
logistic,ball_tree,18,gini,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,17,invscaling,33,sqrt,17,8,kneighborsClassifier,9,10,sgd,distance,0.00390625
