activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,ball_tree,14,gini,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,18,constant,48,sqrt,16,11,kneighborsClassifier,4,2,lbfgs,uniform,0.005859375
logistic,ball_tree,18,entropy,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,8,invscaling,3,log2,5,3,randomForestClassifier,4,1,adam,uniform,0.10546875
relu,auto,23,entropy,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,38,adaptive,37,auto,20,5,kneighborsClassifier,3,8,sgd,uniform,0.015625
relu,ball_tree,8,entropy,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,30,constant,23,sqrt,18,31,nnClassifier,2,1,adam,distance,0.984375
logistic,auto,23,gini,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,6,constant,55,auto,14,2,randomForestClassifier,2,1,sgd,uniform,0.576171875
logistic,ball_tree,19,gini,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,18,constant,45,auto,20,18,nnClassifier,9,5,adam,uniform,0.98828125
logistic,brute,15,entropy,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,40,invscaling,85,log2,13,5,nnClassifier,6,3,sgd,uniform,0.994140625
relu,ball_tree,17,entropy,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,14,invscaling,11,sqrt,5,26,nnClassifier,4,2,sgd,distance,0.994140625
identity,auto,18,gini,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,32,invscaling,86,sqrt,12,35,nnClassifier,4,5,adam,uniform,0.986328125
relu,auto,25,gini,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,16,adaptive,58,auto,19,20,nnClassifier,8,8,adam,uniform,0.982421875
identity,brute,24,gini,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,15,invscaling,5,auto,7,38,nnClassifier,10,6,sgd,uniform,0.994140625
logistic,kd_tree,15,entropy,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,12,adaptive,89,sqrt,20,18,nnClassifier,9,5,lbfgs,distance,0.994140625
tanh,ball_tree,9,gini,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,14,invscaling,69,auto,3,31,randomForestClassifier,3,1,lbfgs,uniform,0.650390625
relu,ball_tree,14,gini,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,40,constant,24,sqrt,18,40,nnClassifier,8,10,adam,uniform,0.994140625
logistic,auto,22,gini,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,21,adaptive,14,sqrt,16,32,nnClassifier,8,6,sgd,distance,0.994140625
tanh,auto,10,gini,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,14,invscaling,2,auto,14,23,randomForestClassifier,9,7,adam,distance,0.013671875
relu,auto,21,gini,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,35,constant,84,log2,19,12,kneighborsClassifier,7,7,lbfgs,distance,0.033203125
tanh,brute,15,entropy,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,15,invscaling,89,log2,4,9,kneighborsClassifier,9,2,sgd,distance,0.017578125
relu,brute,13,gini,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,12,adaptive,93,auto,2,17,nnClassifier,10,4,adam,uniform,0.98828125
tanh,ball_tree,22,entropy,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,18,adaptive,39,sqrt,9,30,kneighborsClassifier,4,5,lbfgs,distance,0.01171875
relu,brute,15,gini,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,36,constant,89,sqrt,15,13,kneighborsClassifier,3,7,adam,distance,0.013671875
logistic,auto,22,entropy,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,23,invscaling,50,auto,18,27,kneighborsClassifier,9,9,sgd,distance,0.0078125
tanh,auto,22,entropy,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,33,invscaling,4,auto,17,37,randomForestClassifier,9,8,sgd,distance,0.205078125
