activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,ball_tree,15,gini,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,26,adaptive,28,log2,19,7,kneighborsClassifier,2,5,adam,distance,0.015625
identity,ball_tree,24,gini,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,10,constant,34,auto,4,21,nnClassifier,2,2,adam,uniform,0.98828125
tanh,brute,18,gini,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,33,adaptive,8,sqrt,2,30,randomForestClassifier,9,1,adam,uniform,0.130859375
relu,kd_tree,32,gini,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,29,adaptive,14,auto,7,40,nnClassifier,10,7,sgd,uniform,0.994140625
tanh,kd_tree,30,gini,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,16,invscaling,53,sqrt,5,14,nnClassifier,6,4,sgd,distance,0.99609375
identity,ball_tree,24,gini,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,20,invscaling,20,auto,3,28,nnClassifier,3,7,sgd,distance,0.99609375
identity,auto,15,entropy,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,24,invscaling,79,sqrt,20,35,nnClassifier,1,8,sgd,uniform,0.99609375
identity,kd_tree,21,entropy,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,31,constant,62,log2,11,30,kneighborsClassifier,6,7,sgd,uniform,0.01953125
identity,kd_tree,19,entropy,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,3,adaptive,51,auto,10,20,nnClassifier,1,10,sgd,distance,0.98828125
relu,ball_tree,27,entropy,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,7,constant,68,sqrt,18,36,randomForestClassifier,4,8,lbfgs,distance,0.05859375
