activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,17,gini,1,1,1,19,constant,74,auto,16,19,nnClassifier,1,7,adam,distance,0.9319319319319319,831.4189637720119
relu,auto,25,gini,1,1,1,21,constant,90,auto,10,4,nnClassifier,5,4,adam,distance,0.93993993993994,831.4189956008922
relu,auto,22,gini,1,1,1,10,constant,86,auto,11,11,nnClassifier,6,4,adam,distance,0.9359359359359359,831.4190274609718
relu,auto,25,gini,1,1,1,17,constant,35,auto,14,15,nnClassifier,8,4,adam,distance,0.9329329329329329,831.4190592099912
relu,auto,27,gini,1,1,1,29,constant,52,auto,16,18,nnClassifier,6,4,adam,distance,0.9309309309309309,831.4190908800811
relu,auto,16,gini,1,1,1,23,constant,27,auto,10,8,nnClassifier,5,3,adam,distance,0.9369369369369369,831.4191225790419
relu,auto,22,gini,1,1,1,15,constant,42,auto,15,6,nnClassifier,8,5,adam,distance,0.9319319319319319,831.4191544090863
relu,auto,24,gini,1,1,1,29,constant,74,auto,7,35,nnClassifier,6,4,adam,distance,0.933933933933934,831.4191860090941
relu,auto,27,gini,1,1,1,26,constant,82,auto,9,2,nnClassifier,1,5,adam,distance,0.9309309309309309,831.4192177080549
relu,auto,20,gini,1,1,1,26,constant,45,auto,14,5,nnClassifier,4,5,adam,distance,0.9359359359359359,831.4192492780276
relu,auto,22,gini,1,1,1,7,constant,66,auto,2,19,nnClassifier,5,4,adam,distance,0.9329329329329329,831.4192810470704
relu,auto,25,gini,1,1,1,29,constant,19,auto,10,4,nnClassifier,6,4,adam,distance,0.9319319319319319,831.4193127769977
relu,auto,26,gini,1,1,1,26,constant,15,auto,14,7,nnClassifier,8,6,adam,distance,0.9329329329329329,831.4193445360288
relu,auto,28,gini,1,1,1,23,constant,45,auto,12,17,nnClassifier,7,4,adam,distance,0.933933933933934,831.4193760659546
relu,auto,23,gini,1,1,1,18,constant,34,auto,12,18,nnClassifier,4,3,adam,distance,0.933933933933934,1496.4347521970049
relu,auto,25,gini,1,1,1,16,constant,90,auto,13,2,nnClassifier,5,4,adam,distance,0.93993993993994,1496.4348212759942
relu,auto,28,gini,1,1,1,17,constant,46,auto,10,6,nnClassifier,4,6,adam,distance,0.9319319319319319,1496.434854005929
relu,auto,25,gini,1,1,1,13,constant,54,auto,17,20,nnClassifier,6,5,adam,distance,0.933933933933934,1496.4348857449368
relu,auto,27,gini,1,1,1,14,constant,89,auto,15,11,nnClassifier,5,3,adam,distance,0.93993993993994,1496.4349171048962
relu,auto,20,gini,1,1,1,26,constant,77,auto,9,26,nnClassifier,5,3,adam,distance,0.9319319319319319,1496.4349483540282
relu,auto,21,gini,1,1,1,22,constant,78,auto,13,15,nnClassifier,3,3,adam,distance,0.9329329329329329,1496.4349793940783
relu,auto,24,gini,1,1,1,17,constant,91,auto,10,8,nnClassifier,5,4,adam,distance,0.93993993993994,1496.4350232731085
relu,auto,18,gini,1,1,1,14,constant,90,auto,11,7,nnClassifier,5,4,adam,distance,0.934934934934935,1496.4350544731133
relu,auto,23,gini,1,1,1,16,constant,39,auto,10,11,nnClassifier,4,6,adam,distance,0.9319319319319319,1496.4350858218968
relu,auto,27,gini,1,1,1,25,constant,56,auto,12,14,nnClassifier,5,4,adam,distance,0.9359359359359359,1496.4351168619469
relu,auto,20,gini,1,1,1,20,constant,31,auto,14,6,nnClassifier,3,7,adam,distance,0.933933933933934,1496.4351478021126
relu,auto,18,gini,1,1,1,11,constant,46,auto,12,5,nnClassifier,6,5,adam,distance,0.9329329329329329,1496.435178931104
relu,auto,21,gini,1,1,1,33,constant,78,auto,6,31,nnClassifier,10,4,adam,distance,0.9359359359359359,1496.4352099709213
relu,auto,23,gini,1,1,1,22,constant,86,auto,10,3,nnClassifier,5,4,adam,distance,0.9319319319319319,1496.4352408701088
relu,auto,16,gini,1,1,1,25,constant,49,auto,13,2,nnClassifier,5,7,adam,distance,0.934934934934935,1496.4352717499714
relu,auto,23,gini,1,1,1,5,constant,70,auto,6,17,nnClassifier,5,4,adam,distance,0.938938938938939,1496.4353031890932
relu,auto,24,gini,1,1,1,25,constant,23,auto,9,6,nnClassifier,6,4,adam,distance,0.9369369369369369,1496.4353343390394
relu,auto,25,gini,1,1,1,30,constant,19,auto,10,11,nnClassifier,4,10,adam,distance,0.933933933933934,1496.4353649381083
relu,auto,29,gini,1,1,1,25,constant,49,auto,12,13,nnClassifier,4,7,adam,distance,0.9319319319319319,1496.4353956880514
relu,auto,26,gini,1,1,1,22,constant,38,auto,11,14,nnClassifier,4,5,adam,distance,0.9329329329329329,2145.0959887930658
relu,auto,25,gini,1,1,1,16,constant,90,auto,13,2,nnClassifier,5,4,adam,distance,0.93993993993994,2145.0960369019303
relu,auto,28,gini,1,1,1,21,constant,50,auto,6,10,nnClassifier,6,8,adam,distance,0.9309309309309309,2145.0960697620176
relu,auto,25,gini,1,1,1,14,constant,50,auto,15,19,nnClassifier,6,4,adam,distance,0.9369369369369369,2145.0961013711058
relu,auto,23,gini,1,1,1,18,constant,89,auto,11,10,nnClassifier,5,1,adam,distance,0.938938938938939,2145.0961334910244
relu,auto,24,gini,1,1,1,24,constant,81,auto,6,22,nnClassifier,8,4,adam,distance,0.9329329329329329,2145.0961649299134
relu,auto,23,gini,1,1,1,20,constant,74,auto,13,11,nnClassifier,3,4,adam,distance,0.9369369369369369,2145.096196309896
relu,auto,25,gini,1,1,1,21,constant,88,auto,14,4,nnClassifier,5,4,adam,distance,0.938938938938939,2145.0962276801
relu,auto,14,gini,1,1,1,10,constant,86,auto,15,8,nnClassifier,3,4,adam,distance,0.9329329329329329,2145.096258749021
relu,auto,21,gini,1,1,1,15,constant,43,auto,12,15,nnClassifier,6,6,adam,distance,0.9329329329329329,2145.0962897089776
relu,auto,23,gini,1,1,1,25,constant,60,auto,9,10,nnClassifier,5,4,adam,distance,0.938938938938939,2145.096321168123
relu,auto,16,gini,1,1,1,19,constant,35,auto,14,8,nnClassifier,4,10,adam,distance,0.9369369369369369,2145.0963526379783
relu,auto,22,gini,1,1,1,15,constant,50,auto,16,9,nnClassifier,3,6,adam,distance,0.9359359359359359,2145.0963840570766
relu,auto,22,gini,1,1,1,29,constant,74,auto,8,27,nnClassifier,7,4,adam,distance,0.9319319319319319,2145.096415677108
relu,auto,19,gini,1,1,1,26,constant,88,auto,10,4,nnClassifier,1,2,adam,distance,0.9379379379379379,2145.0964468868915
relu,auto,15,gini,1,1,1,21,constant,52,auto,13,6,nnClassifier,4,7,adam,distance,0.933933933933934,2145.0964781760704
relu,auto,24,gini,1,1,1,9,constant,66,auto,10,21,nnClassifier,5,4,adam,distance,0.9379379379379379,2145.096509316005
relu,auto,26,gini,1,1,1,29,constant,27,auto,13,8,nnClassifier,5,4,adam,distance,0.9359359359359359,2145.096540735103
relu,auto,29,gini,1,1,1,26,constant,23,auto,6,7,nnClassifier,8,6,adam,distance,0.92992992992993,2145.096571935108
relu,auto,25,gini,1,1,1,21,constant,51,auto,13,9,nnClassifier,6,5,adam,distance,0.92992992992993,2145.096602933947
