activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,ball_tree,26,entropy,0,1,1,16,invscaling,6,auto,19,33,kneighborsClassifier,6,1,adam,uniform,0.960960960960961,159.86798042384908
tanh,kd_tree,22,entropy,0,1,1,19,invscaling,94,auto,10,10,nnClassifier,10,5,adam,distance,0.9309309309309309,159.868031402817
relu,kd_tree,28,gini,0,1,1,20,constant,76,auto,20,11,nnClassifier,8,1,adam,uniform,0.9369369369369369,159.86806328292005
tanh,kd_tree,18,entropy,0,0,1,16,invscaling,13,auto,20,28,randomForestClassifier,10,1,adam,uniform,0.968968968968969,159.86809454183094
tanh,kd_tree,22,entropy,1,0,1,17,invscaling,23,auto,6,12,kneighborsClassifier,5,1,adam,distance,0.960960960960961,159.86812609201297
relu,ball_tree,27,entropy,1,0,1,17,constant,62,auto,20,28,nnClassifier,8,4,adam,uniform,0.934934934934935,159.86815680097789
tanh,kd_tree,18,gini,0,0,1,16,invscaling,14,auto,5,24,kneighborsClassifier,9,2,adam,uniform,0.9569569569569569,159.86818734090775
relu,ball_tree,12,entropy,0,1,1,25,invscaling,32,auto,20,21,nnClassifier,9,1,adam,uniform,0.9359359359359359,159.86822931980714
tanh,kd_tree,21,gini,1,0,1,16,invscaling,81,auto,20,31,nnClassifier,10,1,adam,uniform,0.9329329329329329,159.86826013890095
tanh,kd_tree,18,entropy,0,0,1,8,invscaling,36,auto,14,30,kneighborsClassifier,7,4,adam,uniform,0.963963963963964,159.86829020897858
tanh,auto,17,entropy,1,0,1,13,constant,82,auto,8,34,kneighborsClassifier,10,5,adam,distance,0.960960960960961,159.8683204879053
tanh,auto,19,entropy,0,1,1,17,invscaling,30,auto,6,29,kneighborsClassifier,6,2,adam,uniform,0.95995995995996,159.868350737961
tanh,auto,19,entropy,0,0,1,27,invscaling,44,auto,20,11,nnClassifier,8,1,adam,uniform,0,159.86838085693307
tanh,auto,15,gini,0,1,1,34,invscaling,20,auto,11,6,nnClassifier,10,3,adam,distance,0.958958958958959,159.8684101968538
tanh,kd_tree,15,entropy,0,1,1,33,invscaling,90,auto,7,32,kneighborsClassifier,5,6,adam,uniform,0.960960960960961,159.86844031699002
tanh,ball_tree,22,entropy,0,0,1,30,invscaling,41,auto,16,7,nnClassifier,10,1,adam,distance,0,159.86847050581127
tanh,kd_tree,16,gini,0,0,1,18,constant,83,auto,16,28,nnClassifier,8,6,adam,distance,0.9359359359359359,159.86849994584918
tanh,kd_tree,13,gini,0,1,1,10,constant,78,auto,9,10,nnClassifier,10,5,adam,uniform,0.933933933933934,159.8685299649369
tanh,kd_tree,14,entropy,0,1,1,36,constant,49,auto,15,13,randomForestClassifier,5,6,adam,uniform,0.9679679679679679,159.86855999496765
relu,kd_tree,23,gini,0,0,1,13,constant,86,auto,15,32,randomForestClassifier,9,2,adam,uniform,0,159.86859017401002
relu,auto,22,gini,1,1,1,17,constant,10,auto,16,29,nnClassifier,4,2,adam,distance,0.9459459459459459,346.0018420140259
relu,auto,18,gini,1,1,1,15,constant,90,auto,13,14,nnClassifier,10,1,adam,distance,0.9369369369369369,346.00189369288273
relu,auto,24,gini,1,1,1,18,constant,72,auto,20,15,nnClassifier,8,1,adam,distance,0.9279279279279279,346.00192582188174
