activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,ball_tree,26,poisson,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,11,invscaling,74,auto,2,13,kneighborsRegressor,7,8,lbfgs,distance,0.4020209566061944
logistic,ball_tree,8,mae,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,14,constant,80,log2,14,36,kneighborsRegressor,10,4,adam,distance,0.4409461520962752
tanh,brute,13,mae,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,9,adaptive,50,log2,5,6,nnRegressor,8,4,lbfgs,uniform,0.4247817324482459
tanh,auto,31,mse,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,35,constant,21,log2,17,5,randomForestRegressor,1,4,lbfgs,uniform,0.3363310371460506
logistic,ball_tree,18,mae,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,11,constant,34,auto,14,31,kneighborsRegressor,8,3,sgd,uniform,0.42849096690532396
relu,ball_tree,9,mse,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,6,constant,38,sqrt,13,32,kneighborsRegressor,8,1,sgd,distance,0.0017926641533637655
identity,brute,21,poisson,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,10,constant,30,log2,12,19,nnRegressor,5,10,adam,uniform,0.5054339464987769
logistic,ball_tree,25,mse,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,16,invscaling,32,log2,17,21,kneighborsRegressor,3,1,adam,uniform,-1.0027134078862323
logistic,auto,13,mae,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,3,invscaling,12,sqrt,4,33,nnRegressor,1,6,lbfgs,uniform,0.6001288623409577
identity,brute,16,poisson,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,4,adaptive,70,log2,3,38,randomForestRegressor,1,3,adam,distance,0.1446081294432746
logistic,auto,8,poisson,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,32,invscaling,96,log2,6,39,randomForestRegressor,5,8,sgd,distance,0.24185913661842018
relu,brute,27,mse,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,17,invscaling,16,sqrt,2,36,nnRegressor,3,4,lbfgs,distance,-0.05254216248766563
