activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,kd_tree,23,mse,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,30,constant,86,log2,12,38,randomForestRegressor,9,10,sgd,distance,0.3894474531471902
relu,kd_tree,14,poisson,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,27,adaptive,100,auto,8,36,randomForestRegressor,9,6,adam,uniform,0.3422525424760088
identity,ball_tree,23,mse,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,23,adaptive,49,sqrt,17,8,kneighborsRegressor,6,4,sgd,distance,0.28543029077898996
identity,brute,31,mse,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,7,constant,96,log2,7,22,nnRegressor,3,6,adam,distance,0.16869658254644515
relu,ball_tree,10,mse,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,38,invscaling,22,sqrt,7,32,nnRegressor,4,4,lbfgs,uniform,0.1462893905367867
relu,ball_tree,24,mae,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,20,constant,85,auto,19,6,nnRegressor,8,4,sgd,uniform,0.21210173794142406
tanh,brute,17,mae,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,34,constant,76,auto,3,4,nnRegressor,10,1,adam,distance,0.35656134934783046
identity,brute,17,poisson,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,8,invscaling,88,log2,6,22,randomForestRegressor,9,6,adam,uniform,0.19375981932139985
identity,kd_tree,8,mae,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,4,adaptive,48,auto,3,13,randomForestRegressor,6,7,lbfgs,distance,-0.005426396238130904
relu,brute,12,poisson,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,31,constant,72,auto,4,25,nnRegressor,10,1,sgd,uniform,0.36448811440717255
identity,brute,21,mae,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,25,adaptive,29,log2,9,35,kneighborsRegressor,6,3,sgd,uniform,-0.12916347971936082
logistic,ball_tree,13,poisson,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,31,invscaling,87,auto,19,11,kneighborsRegressor,4,10,sgd,uniform,0.39624358166746354
tanh,ball_tree,10,mse,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,38,invscaling,69,log2,8,6,kneighborsRegressor,1,7,lbfgs,distance,0.4308070776680114
identity,kd_tree,15,mse,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,13,invscaling,74,auto,20,4,kneighborsRegressor,9,4,adam,distance,-0.10751835485323546
relu,auto,28,mse,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,24,constant,39,auto,15,8,nnRegressor,2,4,adam,uniform,0.0026858293377302056
identity,ball_tree,23,mae,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,34,adaptive,89,log2,9,28,kneighborsRegressor,5,4,sgd,distance,-0.2399913071279518
