activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_5,feature_50,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,auto,30,entropy,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,14,adaptive,92,auto,5,34,randomForestClassifier,2,9,adam,distance,0.5620915032679739
logistic,kd_tree,8,gini,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,17,invscaling,88,log2,3,17,nnClassifier,5,2,sgd,uniform,0.0
identity,ball_tree,11,entropy,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,13,invscaling,56,auto,17,35,kneighborsClassifier,3,1,adam,distance,0.5555555555555556
logistic,brute,20,gini,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,22,constant,55,log2,15,13,randomForestClassifier,9,6,sgd,distance,0.5506535947712419
relu,kd_tree,25,gini,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,17,constant,87,auto,6,38,randomForestClassifier,5,1,sgd,distance,0.5686274509803921
logistic,auto,21,gini,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,31,adaptive,88,sqrt,17,16,kneighborsClassifier,7,1,lbfgs,uniform,0.5555555555555556
relu,kd_tree,27,gini,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,29,adaptive,30,auto,18,16,kneighborsClassifier,4,4,adam,distance,0.5816993464052288
tanh,brute,17,gini,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,8,adaptive,95,log2,5,11,kneighborsClassifier,5,6,sgd,uniform,0.5408496732026143
tanh,auto,18,gini,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,40,constant,61,log2,17,4,kneighborsClassifier,8,9,sgd,uniform,0.5392156862745098
tanh,kd_tree,32,entropy,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,9,adaptive,72,auto,10,8,nnClassifier,4,4,sgd,uniform,0.1715686274509804
relu,auto,31,entropy,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,35,adaptive,1,log2,19,5,kneighborsClassifier,9,3,adam,uniform,0.5490196078431373
identity,kd_tree,12,gini,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,10,constant,30,log2,20,4,kneighborsClassifier,6,5,lbfgs,distance,0.5931372549019608
tanh,auto,26,gini,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,10,invscaling,12,auto,10,27,randomForestClassifier,8,8,adam,distance,0.5735294117647058
identity,auto,10,entropy,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,10,adaptive,23,auto,3,37,kneighborsClassifier,2,2,sgd,distance,0.5588235294117647
identity,kd_tree,8,gini,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,29,constant,79,sqrt,20,19,nnClassifier,6,4,adam,distance,0.14215686274509803
relu,ball_tree,10,gini,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,39,constant,48,log2,20,11,kneighborsClassifier,4,6,sgd,distance,0.5849673202614379
logistic,ball_tree,31,entropy,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,36,invscaling,81,auto,16,9,randomForestClassifier,6,10,sgd,distance,0.5424836601307189
logistic,brute,32,entropy,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,10,constant,36,auto,16,11,randomForestClassifier,4,10,sgd,uniform,0.545751633986928
relu,auto,14,entropy,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,15,adaptive,27,sqrt,11,24,randomForestClassifier,6,3,sgd,uniform,0.5588235294117647
tanh,auto,17,entropy,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,35,invscaling,32,sqrt,5,37,randomForestClassifier,3,10,adam,distance,0.5555555555555556
logistic,ball_tree,16,entropy,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,25,invscaling,48,sqrt,18,10,kneighborsClassifier,5,10,lbfgs,distance,0.5800653594771242
identity,auto,25,gini,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,26,invscaling,7,sqrt,11,13,randomForestClassifier,2,8,sgd,uniform,0.511437908496732
identity,brute,15,entropy,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,15,adaptive,44,log2,10,12,kneighborsClassifier,1,3,sgd,uniform,0.5408496732026143
logistic,auto,25,gini,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,34,invscaling,84,auto,6,40,kneighborsClassifier,1,1,lbfgs,uniform,0.5588235294117647
logistic,brute,15,gini,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,4,invscaling,13,log2,8,14,randomForestClassifier,9,7,lbfgs,uniform,0.5702614379084967
logistic,auto,27,entropy,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,20,invscaling,23,sqrt,16,8,kneighborsClassifier,2,9,lbfgs,distance,0.5931372549019608
identity,brute,16,gini,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,37,adaptive,66,log2,14,22,randomForestClassifier,2,1,lbfgs,uniform,0.5506535947712419
identity,brute,22,entropy,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,34,adaptive,33,log2,16,32,randomForestClassifier,2,5,adam,distance,0.5261437908496732
identity,ball_tree,14,entropy,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,39,constant,38,log2,17,27,kneighborsClassifier,6,2,adam,uniform,0.5424836601307189
