activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_5,feature_50,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,kd_tree,17,gini,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,27,adaptive,89,auto,6,27,randomForestClassifier,3,9,sgd,uniform,0.5849673202614379
tanh,brute,26,entropy,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,38,adaptive,16,sqrt,8,16,randomForestClassifier,3,1,sgd,distance,0.5882352941176471
relu,kd_tree,20,entropy,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,11,invscaling,92,sqrt,13,5,nnClassifier,9,10,adam,distance,0.20098039215686275
logistic,ball_tree,15,entropy,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,3,invscaling,97,sqrt,7,39,nnClassifier,1,7,lbfgs,uniform,0.14215686274509803
identity,kd_tree,9,entropy,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,27,invscaling,24,log2,2,16,kneighborsClassifier,1,2,sgd,uniform,0.5016339869281046
identity,auto,18,entropy,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,32,constant,76,sqrt,18,40,kneighborsClassifier,9,3,lbfgs,uniform,0.545751633986928
tanh,auto,15,entropy,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,6,adaptive,99,sqrt,5,25,randomForestClassifier,8,3,sgd,distance,0.5784313725490197
identity,ball_tree,15,entropy,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,7,invscaling,93,sqrt,3,15,kneighborsClassifier,6,1,adam,uniform,0.5473856209150327
relu,kd_tree,15,entropy,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,12,adaptive,27,auto,14,25,nnClassifier,1,3,lbfgs,distance,0.16666666666666666
identity,kd_tree,11,entropy,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,26,constant,29,sqrt,6,2,randomForestClassifier,7,2,sgd,uniform,0.5915032679738562
identity,ball_tree,11,gini,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,14,constant,97,auto,11,11,kneighborsClassifier,3,7,sgd,distance,0.5816993464052288
identity,brute,32,entropy,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,22,constant,33,log2,13,32,randomForestClassifier,7,6,adam,distance,0.565359477124183
tanh,kd_tree,9,entropy,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,40,invscaling,26,auto,7,13,randomForestClassifier,8,5,adam,uniform,0.5915032679738562
relu,brute,8,gini,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,34,adaptive,90,log2,8,16,nnClassifier,6,10,lbfgs,distance,0.1781045751633987
identity,auto,23,entropy,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,18,adaptive,59,log2,15,37,randomForestClassifier,6,9,sgd,uniform,0.5571895424836601
identity,ball_tree,11,gini,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,36,invscaling,12,auto,10,38,nnClassifier,1,5,adam,uniform,0.10620915032679738
relu,auto,31,entropy,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,34,adaptive,7,log2,6,16,randomForestClassifier,1,3,adam,uniform,0.5424836601307189
tanh,kd_tree,17,entropy,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,16,constant,32,auto,20,12,nnClassifier,4,8,lbfgs,uniform,0.16013071895424835
