,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
33,0,0,1,0,1,1,1,1,1,1,0,0,nnRegressor,identity,None,22.0,None,None,invscaling,None,None,None,None,8.0,None,adam,None,0.9999995927694157,ok,225.6076389758382
34,0,0,1,0,1,1,1,1,1,1,0,0,randomForestRegressor,None,None,None,mae,None,None,97,log2,2,37,None,None,None,None,0.9795888643279829,ok,338.6446513850242
35,0,0,1,0,1,1,1,1,1,1,1,0,nnRegressor,identity,None,31.0,None,None,adaptive,None,None,None,None,9.0,None,adam,None,0.999999998948387,ok,341.14605983998626
36,0,0,1,0,1,1,1,1,1,1,1,0,nnRegressor,identity,None,32.0,None,None,adaptive,None,None,None,None,9.0,None,lbfgs,None,0.999995596723683,ok,341.58738042600453
37,0,0,1,0,1,1,1,1,1,1,1,0,randomForestRegressor,None,None,None,mae,None,None,43,auto,20,28,None,None,None,None,0.9998613333431692,ok,658.9720945609733
38,0,0,1,0,1,1,1,1,1,1,1,0,nnRegressor,identity,None,29.0,None,None,adaptive,None,None,None,None,9.0,None,sgd,None,0.9999999999935815,ok,668.5703165850136
39,0,0,1,0,1,1,1,1,1,1,1,0,kneighborsRegressor,None,auto,None,None,28.0,None,None,None,None,None,None,9.0,None,uniform,0.6743742092322401,ok,668.6452438440174
40,1,0,1,0,0,1,1,1,1,1,1,0,randomForestRegressor,None,None,None,mae,None,None,25,auto,3,30,None,None,None,None,0.9999447098858465,ok,966.9559407348279
41,0,0,0,0,1,1,1,1,0,1,1,0,nnRegressor,identity,None,32.0,None,None,adaptive,None,None,None,None,9.0,None,sgd,None,0.054087925348158206,ok,977.2236848918255
42,0,0,1,0,0,1,0,0,1,1,1,0,kneighborsRegressor,None,brute,None,None,26.0,None,None,None,None,None,None,4.0,None,uniform,0.46907978029442443,ok,977.6772195498925
43,1,0,1,0,1,1,1,1,1,1,1,0,randomForestRegressor,None,None,None,poisson,None,None,59,log2,17,28,None,None,None,None,0.8379300744680772,ok,992.7696688829456
44,0,0,0,0,1,1,0,0,1,1,1,0,nnRegressor,identity,None,29.0,None,None,adaptive,None,None,None,None,9.0,None,sgd,None,0.04903757833816791,ok,1004.27410921501
45,1,0,1,0,0,1,1,1,0,0,1,0,kneighborsRegressor,None,brute,None,None,40.0,None,None,None,None,None,None,9.0,None,uniform,0.4411387420956616,ok,1004.7376448370051
46,0,0,0,0,1,1,1,1,1,1,1,0,nnRegressor,identity,None,27.0,None,None,adaptive,None,None,None,None,8.0,None,sgd,None,0.05410368764699525,ok,1016.3413341999985
47,0,0,1,1,0,1,0,0,1,0,1,0,randomForestRegressor,None,None,None,mae,None,None,4,log2,15,13,None,None,None,None,0.8775465388979592,ok,1102.2552308628801
48,1,0,1,0,1,1,1,1,0,1,1,0,nnRegressor,relu,None,30.0,None,None,adaptive,None,None,None,None,8.0,None,sgd,None,0.9968446952858098,ok,1115.0220822410192
49,0,0,0,1,1,1,0,0,1,0,1,0,kneighborsRegressor,None,auto,None,None,38.0,None,None,None,None,None,None,4.0,None,distance,0.6053986863550096,ok,1115.0822922638617
50,1,0,1,0,0,1,1,1,0,1,1,0,nnRegressor,identity,None,25.0,None,None,adaptive,None,None,None,None,10.0,None,sgd,None,0.9999999999898921,ok,1126.0668878150173
51,1,0,1,1,0,1,1,1,0,1,1,1,nnRegressor,identity,None,26.0,None,None,adaptive,None,None,None,None,10.0,None,sgd,None,0.9999999999961395,ok,1136.7061167068314
52,1,0,0,1,0,1,0,0,0,0,1,1,kneighborsRegressor,None,brute,None,None,4.0,None,None,None,None,None,None,1.0,None,distance,-0.021185453759866357,ok,1136.9360083839856
53,1,0,1,1,0,1,1,1,0,1,1,1,randomForestRegressor,None,None,None,poisson,None,None,100,auto,5,21,None,None,None,None,0.7419480603631937,ok,1220.5934465078171
54,1,0,1,1,0,1,1,1,0,1,1,1,nnRegressor,relu,None,26.0,None,None,adaptive,None,None,None,None,10.0,None,sgd,None,0.9963682789977004,ok,1234.9287323600147
