,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,0,1,1,1,0,0,1,1,0,1,0,kneighborsRegressor,None,auto,None,None,4,None,None,None,None,None,None,2,None,distance,0.5577406824154842,ok,0.07278967997990549
1,1,0,0,0,0,0,0,1,0,1,0,0,randomForestRegressor,None,None,None,mse,None,None,89.0,sqrt,13.0,27.0,None,None,None,None,0.4574687952847004,ok,1.2192325389478356
2,0,1,0,0,1,1,0,1,0,0,0,0,kneighborsRegressor,None,brute,None,None,29,None,None,None,None,None,None,4,None,uniform,0.5286400347075875,ok,1.722616947023198
3,0,0,0,0,0,0,0,1,0,1,1,0,kneighborsRegressor,None,auto,None,None,12,None,None,None,None,None,None,2,None,distance,0.13104677055634528,ok,1.7632691080216318
4,1,0,0,0,0,0,0,1,0,0,1,0,kneighborsRegressor,None,ball_tree,None,None,5,None,None,None,None,None,None,6,None,distance,0.23499287129454904,ok,1.8060729508288205
5,1,0,1,1,0,0,1,0,0,1,0,1,nnRegressor,tanh,None,18.0,None,None,invscaling,None,None,None,None,3.0,None,adam,None,0.9963514817211179,ok,6.8794786899816245
6,1,0,0,1,1,0,1,0,1,0,1,0,nnRegressor,relu,None,30.0,None,None,invscaling,None,None,None,None,6.0,None,sgd,None,0.17679325612379448,ok,9.003657371969894
7,1,1,0,1,0,0,1,1,1,0,1,0,nnRegressor,tanh,None,16.0,None,None,constant,None,None,None,None,8.0,None,sgd,None,0.45836182166527806,ok,26.82098360103555
8,1,1,0,0,0,0,1,1,0,1,0,1,kneighborsRegressor,None,auto,None,None,39,None,None,None,None,None,None,9,None,uniform,0.5090438549025953,ok,26.863809692906216
9,1,1,1,0,0,0,0,1,0,1,0,1,randomForestRegressor,None,None,None,mae,None,None,8.0,sqrt,12.0,26.0,None,None,None,None,0.9709591824243561,ok,104.16825530887581
10,1,0,1,0,0,0,0,1,0,1,1,0,kneighborsRegressor,None,kd_tree,None,None,7,None,None,None,None,None,None,6,None,uniform,0.3215696200279342,ok,104.21503398800269
11,0,0,0,1,0,0,1,1,0,1,0,1,nnRegressor,identity,None,23.0,None,None,constant,None,None,None,None,7.0,None,sgd,None,0.04519139453513776,ok,106.45931812701747
12,1,0,1,1,1,1,0,0,0,1,1,0,randomForestRegressor,None,None,None,poisson,None,None,56.0,log2,7.0,6.0,None,None,None,None,0.8375089367080157,ok,115.95937770581804
13,1,1,0,1,0,0,1,1,1,1,1,1,randomForestRegressor,None,None,None,mae,None,None,61.0,auto,11.0,37.0,None,None,None,None,0.7453317589946744,ok,467.53717869194224
14,0,1,1,0,0,1,1,1,0,0,0,1,kneighborsRegressor,None,ball_tree,None,None,39,None,None,None,None,None,None,4,None,distance,0.46169593364619677,ok,467.5884355639573
15,0,1,0,0,0,1,0,0,0,0,1,0,nnRegressor,tanh,None,31.0,None,None,invscaling,None,None,None,None,2.0,None,adam,None,0.31337442121403614,ok,475.9891389759723
16,0,1,1,1,0,1,0,0,0,0,1,0,kneighborsRegressor,None,kd_tree,None,None,24,None,None,None,None,None,None,4,None,distance,0.4575804601868607,ok,476.0280278278515
17,1,1,0,1,1,0,1,1,0,0,0,0,kneighborsRegressor,None,auto,None,None,39,None,None,None,None,None,None,8,None,distance,0.511703924195246,ok,476.06946791382506
18,1,1,0,0,0,1,0,0,0,1,0,1,randomForestRegressor,None,None,None,mae,None,None,52.0,log2,16.0,7.0,None,None,None,None,0.6153842238979093,ok,562.5322455409914
19,1,0,0,0,0,0,1,0,1,0,0,0,randomForestRegressor,None,None,None,mae,None,None,27.0,auto,18.0,12.0,None,None,None,None,0.4195560143759449,ok,707.5815581688657
20,1,1,1,1,0,0,1,0,0,1,0,1,nnRegressor,logistic,None,9.0,None,None,adaptive,None,None,None,None,2.0,None,lbfgs,None,0.9996634085594637,ok,712.2828665690031
21,1,0,1,1,0,0,1,0,0,1,0,1,nnRegressor,logistic,None,9.0,None,None,adaptive,None,None,None,None,2.0,None,lbfgs,None,0.9989391990397832,ok,716.2736158808693
22,1,1,1,1,0,0,1,0,0,1,0,1,nnRegressor,logistic,None,8.0,None,None,adaptive,None,None,None,None,1.0,None,lbfgs,None,0.9982746998477825,ok,721.3709090850316
23,1,0,1,1,0,0,1,0,0,1,0,1,nnRegressor,logistic,None,8.0,None,None,adaptive,None,None,None,None,4.0,None,lbfgs,None,0.9995561589332218,ok,723.5386399708223
24,1,1,1,1,0,0,1,0,0,1,0,1,nnRegressor,logistic,None,11.0,None,None,adaptive,None,None,None,None,4.0,None,lbfgs,None,0.9988829538433678,ok,726.9654925249051
25,1,0,1,1,1,0,1,0,1,1,0,1,nnRegressor,logistic,None,13.0,None,None,adaptive,None,None,None,None,4.0,None,lbfgs,None,0.9996009450211896,ok,730.9532844990026
26,1,1,1,1,1,0,1,0,1,1,0,1,nnRegressor,logistic,None,13.0,None,None,adaptive,None,None,None,None,5.0,None,lbfgs,None,0.999702343714434,ok,734.1278164498508
27,1,1,1,1,1,0,1,0,1,1,0,1,nnRegressor,relu,None,22.0,None,None,adaptive,None,None,None,None,10.0,None,lbfgs,None,0.9996661153063944,ok,737.6727694969159
28,1,1,1,1,1,0,1,0,1,1,0,1,nnRegressor,relu,None,23.0,None,None,adaptive,None,None,None,None,10.0,None,lbfgs,None,0.9996661153063944,ok,741.215475903824
29,1,1,1,1,1,1,1,0,1,1,0,1,nnRegressor,relu,None,24.0,None,None,adaptive,None,None,None,None,10.0,None,lbfgs,None,0.99952228141526,ok,745.2366474678274
30,0,1,1,1,1,0,1,0,1,1,0,1,nnRegressor,identity,None,27.0,None,None,constant,None,None,None,None,6.0,None,adam,None,0.9999928279997732,ok,748.1501437178813
31,0,1,1,1,1,0,1,0,1,1,0,1,nnRegressor,identity,None,27.0,None,None,constant,None,None,None,None,8.0,None,adam,None,0.9999951545417622,ok,750.7051579919644
32,0,1,1,1,1,0,1,0,1,1,0,1,nnRegressor,identity,None,27.0,None,None,constant,None,None,None,None,8.0,None,adam,None,0.9999951545417622,ok,753.2748819948174
33,0,1,1,1,1,1,1,0,1,1,0,1,nnRegressor,identity,None,27.0,None,None,constant,None,None,None,None,8.0,None,adam,None,0.9999250896540999,ok,755.9041791898198
34,0,1,1,1,1,0,1,0,1,1,0,1,nnRegressor,identity,None,28.0,None,None,constant,None,None,None,None,8.0,None,adam,None,0.9996772180701691,ok,758.3793756349478
