,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,1,0,1,0,0,1,1,0,1,0,0,kneighborsRegressor,None,brute,None,None,25,None,None,None,None,None,None,6,None,uniform,0.5176127391228837,ok,0.5394592431839556
1,0,1,0,0,1,0,0,0,1,1,0,1,randomForestRegressor,None,None,None,poisson,None,None,9.0,sqrt,4.0,22.0,None,None,None,None,0.25808586934112954,ok,2.9249122391920537
2,1,0,1,0,1,0,0,0,0,0,0,1,nnRegressor,logistic,None,20.0,None,None,invscaling,None,None,None,None,7.0,None,adam,None,0.9997465319730587,ok,7.440150982001796
3,0,0,0,0,1,0,0,1,1,1,0,0,nnRegressor,relu,None,12.0,None,None,adaptive,None,None,None,None,2.0,None,lbfgs,None,0.4588112280206973,ok,12.244711405131966
4,1,0,1,0,0,0,1,1,0,0,1,1,randomForestRegressor,None,None,None,poisson,None,None,97.0,auto,6.0,28.0,None,None,None,None,0.7415253037694731,ok,54.24132508621551
5,0,1,0,1,1,1,1,0,0,0,1,1,kneighborsRegressor,None,ball_tree,None,None,21,None,None,None,None,None,None,3,None,distance,0.47900116963120043,ok,54.28777807112783
6,1,0,1,1,1,0,0,1,0,1,1,1,randomForestRegressor,None,None,None,poisson,None,None,77.0,sqrt,20.0,14.0,None,None,None,None,0.874700286458993,ok,61.1147641481366
7,1,1,1,1,0,1,0,0,0,0,0,1,randomForestRegressor,None,None,None,mae,None,None,41.0,sqrt,10.0,38.0,None,None,None,None,0.9874933646320312,ok,141.8325563450344
8,0,0,1,1,0,1,0,0,1,0,1,1,randomForestRegressor,None,None,None,poisson,None,None,40.0,sqrt,11.0,18.0,None,None,None,None,0.8113223851144599,ok,148.86331696715206
9,0,0,1,1,1,1,1,0,1,0,0,1,nnRegressor,relu,None,11.0,None,None,invscaling,None,None,None,None,10.0,None,sgd,None,0.9834228152993715,ok,154.072892322205
10,0,0,1,0,0,0,0,0,0,0,1,1,randomForestRegressor,None,None,None,mse,None,None,33.0,auto,10.0,15.0,None,None,None,None,0.9999647806745278,ok,155.13294047908857
11,1,1,1,0,0,0,0,1,0,0,1,0,randomForestRegressor,None,None,None,poisson,None,None,41.0,log2,7.0,24.0,None,None,None,None,0.7249556439073666,ok,160.979229927063
12,1,0,1,0,1,0,0,0,1,0,0,0,nnRegressor,tanh,None,15.0,None,None,constant,None,None,None,None,7.0,None,lbfgs,None,0.9994616898216003,ok,164.6964611141011
13,1,0,0,0,1,0,1,0,0,1,0,1,kneighborsRegressor,None,ball_tree,None,None,8,None,None,None,None,None,None,2,None,distance,0.2954824661855958,ok,164.75755593623035
14,1,1,0,0,1,1,1,1,0,1,0,1,randomForestRegressor,None,None,None,mse,None,None,58.0,log2,17.0,32.0,None,None,None,None,0.7912448148373946,ok,167.15152182616293
15,1,0,0,0,0,0,0,1,1,1,0,0,randomForestRegressor,None,None,None,mae,None,None,24.0,sqrt,11.0,30.0,None,None,None,None,0.4779212524606339,ok,281.5259599820711
16,1,1,1,0,0,1,1,0,0,1,0,1,kneighborsRegressor,None,ball_tree,None,None,16,None,None,None,None,None,None,6,None,uniform,0.42274145284777487,ok,281.5739148100838
17,0,0,0,1,0,1,1,1,1,1,0,0,randomForestRegressor,None,None,None,mae,None,None,20.0,log2,12.0,16.0,None,None,None,None,0.6556003013977647,ok,412.48565838322975
18,1,0,1,1,0,0,1,0,0,0,1,1,nnRegressor,logistic,None,10.0,None,None,constant,None,None,None,None,3.0,None,lbfgs,None,0.9991776738957371,ok,414.94668386201374
19,0,1,1,1,0,0,1,1,1,0,1,0,nnRegressor,identity,None,31.0,None,None,invscaling,None,None,None,None,6.0,None,sgd,None,0.9968112375363882,ok,416.6797302921768
20,0,0,1,0,1,0,0,0,0,0,1,1,nnRegressor,logistic,None,26.0,None,None,invscaling,None,None,None,None,10.0,None,adam,None,0.9999067813677396,ok,420.3486793402117
21,0,0,1,0,1,0,0,0,0,0,1,1,nnRegressor,logistic,None,32.0,None,None,adaptive,None,None,None,None,10.0,None,adam,None,0.9998345748369185,ok,423.65445512905717
22,0,0,1,0,0,0,0,0,0,0,1,1,nnRegressor,identity,None,25.0,None,None,invscaling,None,None,None,None,9.0,None,adam,None,0.9999999996516893,ok,426.5600913690869
23,0,0,1,0,0,0,0,0,0,0,1,1,nnRegressor,identity,None,24.0,None,None,invscaling,None,None,None,None,4.0,None,adam,None,0.9913310400256002,ok,429.12354485318065
24,0,0,1,0,0,0,0,0,0,0,1,1,kneighborsRegressor,None,auto,None,None,39,None,None,None,None,None,None,9,None,uniform,0.8456096023461697,ok,429.25207393220626
25,0,0,1,0,0,0,0,0,0,0,1,1,nnRegressor,identity,None,27.0,None,None,adaptive,None,None,None,None,8.0,None,adam,None,0.9999999999861178,ok,431.6054814560339
