,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,nnClassifier,logistic,None,18,None,None,constant,None,None,None,None,5,None,sgd,None,0.02727272727272727,ok,14.236305288039148
1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,kneighborsClassifier,None,brute,None,None,8.0,None,None,None,None,None,None,1.0,None,distance,0.9854545454545455,ok,14.291164985159412
2,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,kneighborsClassifier,None,auto,None,None,10.0,None,None,None,None,None,None,2.0,None,uniform,0.9763636363636363,ok,14.364456605166197
3,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,40.0,auto,3.0,6.0,None,None,None,None,0.96,ok,16.6102320139762
4,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,kneighborsClassifier,None,kd_tree,None,None,21.0,None,None,None,None,None,None,7.0,None,uniform,0.9709090909090909,ok,16.768302707001567
5,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,kneighborsClassifier,None,auto,None,None,32.0,None,None,None,None,None,None,10.0,None,uniform,0.9745454545454545,ok,16.836134589044377
6,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,nnClassifier,identity,None,14,None,None,adaptive,None,None,None,None,4,None,lbfgs,None,0.06363636363636363,ok,18.280778059037402
7,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,79.0,log2,15.0,21.0,None,None,None,None,0.9436363636363636,ok,19.416751416167244
8,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,nnClassifier,identity,None,21,None,None,constant,None,None,None,None,9,None,adam,None,0.0890909090909091,ok,28.07304479717277
9,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,randomForestClassifier,None,None,None,gini,None,None,92.0,log2,8.0,20.0,None,None,None,None,0.9490909090909091,ok,29.259916990995407
10,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,kneighborsClassifier,None,kd_tree,None,None,22.0,None,None,None,None,None,None,3.0,None,distance,0.9763636363636363,ok,29.32222261512652
11,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,3.0,sqrt,12.0,27.0,None,None,None,None,0.72,ok,29.950211426010355
12,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,44.0,auto,9.0,8.0,None,None,None,None,0.9563636363636364,ok,32.07563338102773
13,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,86.0,sqrt,4.0,31.0,None,None,None,None,0.9472727272727273,ok,34.176316555123776
14,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,nnClassifier,tanh,None,23,None,None,constant,None,None,None,None,6,None,lbfgs,None,0.09090909090909091,ok,38.284091057954356
15,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,76.0,sqrt,4.0,19.0,None,None,None,None,0.9545454545454546,ok,39.298956802114844
16,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,kneighborsClassifier,None,ball_tree,None,None,11.0,None,None,None,None,None,None,3.0,None,uniform,0.98,ok,39.368026121053845
17,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,kneighborsClassifier,None,kd_tree,None,None,17.0,None,None,None,None,None,None,4.0,None,uniform,0.9654545454545455,ok,39.44425691710785
18,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,nnClassifier,identity,None,29,None,None,invscaling,None,None,None,None,4,None,adam,None,0.06909090909090909,ok,49.06033745408058
