,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,32,None,None,None,None,None,None,4,None,distance,0.9763636363636363,ok,0.10738843004219234
1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,nnClassifier,tanh,None,29.0,None,None,invscaling,None,None,None,None,5.0,None,adam,None,0.07272727272727272,ok,12.572407813044265
2,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,6.0,auto,16.0,21.0,None,None,None,None,0.8672727272727273,ok,14.268368378048763
3,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,kneighborsClassifier,None,ball_tree,None,None,31,None,None,None,None,None,None,7,None,uniform,0.9454545454545454,ok,14.337330593029037
4,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,nnClassifier,relu,None,10.0,None,None,adaptive,None,None,None,None,4.0,None,lbfgs,None,0.02909090909090909,ok,16.88515252294019
5,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,76.0,log2,4.0,32.0,None,None,None,None,0.9290909090909091,ok,18.98119546682574
6,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,randomForestClassifier,None,None,None,gini,None,None,14.0,auto,16.0,4.0,None,None,None,None,0.9309090909090909,ok,20.134891620837152
7,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,nnClassifier,relu,None,8.0,None,None,invscaling,None,None,None,None,9.0,None,lbfgs,None,0.07454545454545454,ok,22.57691611093469
8,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,88.0,sqrt,5.0,30.0,None,None,None,None,0.9254545454545454,ok,23.759028014959767
9,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,kneighborsClassifier,None,ball_tree,None,None,6,None,None,None,None,None,None,9,None,distance,0.9636363636363636,ok,23.817332888953388
10,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,74.0,sqrt,8.0,32.0,None,None,None,None,0.9272727272727272,ok,24.988385499920696
11,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,nnClassifier,relu,None,30.0,None,None,constant,None,None,None,None,1.0,None,adam,None,0.0,ok,28.842932222876698
12,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,kneighborsClassifier,None,brute,None,None,17,None,None,None,None,None,None,6,None,distance,0.9781818181818182,ok,28.92704590689391
13,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,nnClassifier,identity,None,24.0,None,None,constant,None,None,None,None,6.0,None,adam,None,0.06909090909090909,ok,40.28548080404289
14,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,50.0,sqrt,9.0,33.0,None,None,None,None,0.9381818181818182,ok,42.33303223294206
15,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,kneighborsClassifier,None,brute,None,None,9,None,None,None,None,None,None,3,None,distance,0.9763636363636363,ok,42.40390516282059
16,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,72.0,sqrt,12.0,16.0,None,None,None,None,0.94,ok,43.6141586790327
17,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,nnClassifier,identity,None,20.0,None,None,constant,None,None,None,None,8.0,None,adam,None,0.07272727272727272,ok,50.99036757694557
18,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,87.0,sqrt,4.0,17.0,None,None,None,None,0.9436363636363636,ok,53.19685611501336
19,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,18.0,sqrt,8.0,30.0,None,None,None,None,0.9327272727272727,ok,54.51535755302757
20,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,kneighborsClassifier,None,kd_tree,None,None,25,None,None,None,None,None,None,4,None,distance,0.9854545454545455,ok,54.605535303941
